년도,출자분야,운용사,조합명,만기일,금액,약정액
2019,민간제안,코리아에셋투자증권,KAI-KVIC 스마트공장 투자조합,2027-11-21,30000.0,14800.0
2019,민간제안,에이치비인베스트먼트,2019 HB일자리기술금융투자조합,2027-10-21,40000.0,10000.0
2019,민간제안,메가인베스트먼트,메가 청년일자리 레버리지 투자조합,2027-08-25,50000.0,10000.0
2019,민간제안,에스비아이인베스트먼트,2019 SBI 일자리창출 펀드,2026-09-10,53000.0,10000.0
2019,민간제안,린드먼아시아인베스트먼트,린드먼글로벌4차산업혁명투자조합제15호,2027-12-19,50100.0,15000.0
2019,민간제안,스톤브릿지벤처스,아이비케이 스톤브릿지 혁신성장 사모투자합자회사,2027-09-03,126500.0,36000.0
2019,창업초기,동훈인베스트먼트,동훈 테크스타 5호 투자조합,2027-07-14,15000.0,8000.0
2019,창업초기,더시드인베스트먼트,더시드2호펀드,2026-07-18,15000.0,9000.0
2019,창업초기,에이벤처스,에이벤처스 가슴뛰는 창업투자조합,2026-09-23,20000.0,11000.0
2019,창업초기,비에이파트너스,비에이피제2호 퍼스트펭귄투자조합,2027-06-04,22000.0,12000.0
2019,창업초기,패스파인더에이치,패스파인더 스타트업 투자조합,2027-11-14,20000.0,12000.0
2019,창업초기,스퀘어벤처스,신한-스퀘어 스타트업 기술금융 투자조합,2027-09-03,20510.0,12000.0
2019,창업초기,인터밸류파트너스,인터밸류3호 혁신창업 투자조합,2027-07-25,20000.0,12000.0
2019,창업초기,티인베스트먼트,티인베스트먼트창업초기1호,2027-10-17,30000.0,15000.0
2019,창업초기,메디톡스벤처투자,메디톡스투자조합1호,2027-07-14,30000.0,15000.0
2019,창업초기,엘에스케이인베스트먼트,LSK 헬스케어 2호 펀드,2027-07-22,45000.0,24000.0
2019,창업초기,세마트랜스링크인베스트먼트,SETI-KIF창업투자조합IV,2027-11-12,27250.0,12000.0
2019,창업초기,서울투자파트너스,서울투자 혁신모험 벤처조합,2027-10-23,34000.0,15000.0
2019,창업초기,이노폴리스파트너스,이노폴리스 2019 창업초기 투자조합,2027-07-23,25600.0,15000.0
2019,창업초기,씨케이디창업투자,CKD Start-Up 3호 벤처투자조합,2027-09-23,23500.0,10000.0
2019,창업초기,엘앤에스벤처캐피탈,엘앤에스 10호 Early Stage III 투자조합,2027-11-10,20500.0,10000.0
2019,창업초기,어니스트벤처스,어니스트 스마트시티 첨단산업 투자조합,2027-11-21,19000.0,10000.0
2019,창업초기,데일리파트너스,데일리 왓슨 바이오 헬스케어 펀드,2026-07-25,24700.0,10000.0
2018,IP직접투자,케이그라운드벤처스,케이그라운드-홍릉 첨단과학기술사업화 제1호 투자조합,2027-05-14,17910.0,10000.0
2018,IP직접투자,아이디어브릿지자산운용,[아이디어브릿지] 지식재산 1호 창업벤처전문 사모투자합자회사,2027-08-26,14700.0,8000.0
2018,민간제안,인터베스트,인터베스트4차산업투자조합Ⅱ,2026-12-27,158500.0,1000.0
2018,미래환경산업,포스코기술투자,피씨씨-코나 제1호 미래환경산업펀드,2027-04-29,22000.0,13000.0
2018,청년창업,라구나인베스트먼트,라구나 청년창업 투자조합 제1호,2026-12-26,14000.0,4000.0
2018,혁신성장,케이앤투자파트너스,BNK-케이앤 동남권일자리창출1호 투자조합,2026-12-27,32500.0,13000.0
2018,혁신성장,가이아벤처파트너스,가이아혁신성장마케팅투자조합1호 ,2027-01-29,10010.0,3000.0
2018,민간제안,스마일게이트인베스트먼트,스마일게이트패스파인더펀드,2026-12-27,129000.0,1000.0
2018,소셜임팩트,전북지역대학연합기술지주,미래 ESV 투자조합 제1호,2026-12-19,12500.0,10000.0
2018,중저예산 한국영화,대성창업투자,대성굿무비투자조합,2023-10-23,17000.0,12000.0
2018,관광산업육성,마그나인베스트먼트,마그나-액시스 관광산업육성 펀드,2027-03-10,28000.0,17000.0
2018,문화-ICT 해외진출,케이비인베스트먼트,케이비 문화 디지털 콘텐츠 해외진출 투자조합,2027-03-17,40000.0,24000.0
2018,한-아시아 문화산업 공동발전,미시간벤처캐피탈,미시간팬아시아콘텐츠투자조합,2027-03-03,35000.0,20000.0
2018,콘텐츠기업육성,메이플투자파트너스,MIP글로벌콘텐츠투자조합,2027-03-03,20500.0,10000.0
2018,게임,데브시스터즈벤처스,데브-KDBC 문화투자조합,2026-12-06,20000.0,12000.0
2018,자조합출자,한국벤처투자,KEB하나-KVIC 유니콘 모펀드,2028-08-20,110000.0,100.0
2018,일자리매칭,한국벤처투자,일자리 창출 성장지원 펀드,2026-08-15,50600.0,50000.0
2018,창업초기,제이엑스파트너스,제이엑스 3호 투자조합,2027-01-13,20000.0,12000.0
2018,창업초기,이앤벤처파트너스,이앤벤처1호 창업초기투자조합,2026-12-06,20000.0,12000.0
2018,창업초기,퀀텀벤처스코리아,퀀텀창업초기1호투자조합,2026-12-09,21300.0,12000.0
2018,창업초기,비엔에이치인베스트먼트,비엔에이치스타트업3호투자조합,2026-11-04,49500.0,18000.0
2018,창업초기,에스제이투자파트너스,전북-에스제이 퍼스트무버 벤처펀드,2027-01-21,18000.0,9000.0
2018,창업초기,이에스인베스터,이에스5호스타트업펀드,2028-02-13,10000.0,6000.0
2018,창업초기,데브시스터즈벤처스,데브-혁신모험초기 투자조합 4호,2026-09-10,10000.0,6000.0
2018,창업초기,원익투자파트너스,원익 2019 Start-Up 파트너쉽 투자조합,2027-02-13,40000.0,24000.0
2018,창업초기,디에이밸류인베스트먼트,디에이밸류플러스 신기술투자조합,2026-09-16,15000.0,9000.0
2018,창업초기,동문파트너즈,다산창업초기투자조합,2027-01-30,30000.0,18000.0
2018,창업초기,네오플럭스,뉴웨이브 제6호 투자조합,2027-02-19,50000.0,30000.0
2018,혁신성장,유티씨인베스트먼트,유티씨이공일팔의일호(UTC2018-1)사모투자합자회사,2026-12-16,100000.0,40000.0
2018,해외IP수익화,케이비인베스트먼트,케이비 지식재산 투자조합 2호,2026-10-24,40000.0,10000.0
2018,해외IP수익화,아이디벤처스,IDV Global IP Growth 투자조합,2026-12-18,11800.0,7000.0
2018,소셜임팩트,미시간벤처캐피탈,미시간글로벌소셜임팩트투자조합,2026-11-19,12500.0,10000.0
2018,소셜임팩트,다담인베스트먼트,다담 4차산업 소셜임팩트 투자조합,2026-11-15,14500.0,10000.0
2018,소셜임팩트,쿨리지코너인베스트먼트,CCVC 코리아임팩트 펀드,2026-11-28,19500.0,14000.0
2018,민간제안,미래에셋벤처투자,미래에셋 청년창업 투자조합 3호,2026-11-19,20000.0,8000.0
2018,민간제안,한화투자증권,2018한화IoT전문신기술금융투자펀드,2025-04-12,30000.0,8000.0
2018,민간제안,프리미어파트너스,2018 KIF-프리미어 기술금융 투자조합,2025-11-04,63000.0,5400.0
2018,민간제안,아이엠엠인베스트먼트,2018 IMM 벤처펀드,2025-12-05,113500.0,5500.0
2018,민간제안,현대기술투자,울산-현대 신성장산업 육성펀드,2027-09-16,14000.0,8000.0
2018,혁신성장,뉴레이크얼라이언스매니지먼트,뉴레이크 그로쓰 캐피탈 파트너스 사모투자합자회사,2029-02-14,80000.0,20000.0
2018,창업초기,대교인베스트먼트,DKI Growing Star 4호 투자조합,2026-11-15,12500.0,7500.0
