회사명,종류,회차,발행액(억원),만기일,평가종류,직전등급,현재등급,평가일,리포트,Type
뉴스타와니제삼차,ABCP,3,330,,본,,A2 (sf),2021.07.20,S,자산유동화증권
랜드마크경산제이차,ABSTB,3-3,400,,본,,A3 (sf),2021.07.20,S,자산유동화증권
비케이베스트제10차,ABCP,1,2000,,본,,A1 (sf),2021.07.20,S,자산유동화증권
비케이베스트제10차,ABS,1(사모사채),3.47,,본,,AAA (sf),2021.07.20,S,자산유동화증권
비케이베스트제9차,ABCP,3,2000,,본,,A1 (sf),2021.07.20,S,자산유동화증권
비케이베스트제9차,ABS,3(사모사채),3.47,,본,,AAA (sf),2021.07.20,S,자산유동화증권
산업기반신보제이십오차유동화전문,ABS,1,2945.4,2041.07.07,정기,AAA (sf),AAA (sf),2021.07.20,S,자산유동화증권
에스와이선화,ABSTB,46,640,,정기,A1 (sf),A1 (sf),2021.07.20,S,자산유동화증권
제이비우리캐피탈오토제이십이차유동화전문,ABS,1-4,60,2021.08.19,수시,AAA (sf),WR,2021.07.20,S,자산유동화증권
카바시크제오차,ABSTB,9,30,,정기,A1 (sf),A1 (sf),2021.07.20,S,자산유동화증권
카바시크제칠차,ABSTB,9,60,,정기,A1 (sf),A1 (sf),2021.07.20,S,자산유동화증권
티월드제사십오차유동화전문,ABS,1-7,80,2021.09.19,수시,AAA (sf),WR,2021.07.20,S,자산유동화증권
효성캐피탈제이십팔차유동화전문,ABS,1-7,100,2021.11.17,수시,AAA (sf),WR,2021.07.20,S,자산유동화증권
니드원제사차,ABCP,1,100,,본,,A1 (sf),2021.07.19,S,자산유동화증권
데메테르제일차,ABSTB,5,3269,,본,,A1 (sf),2021.07.19,S,자산유동화증권
에코코알라,ABSTB,1,810,,본,,A2+ (sf),2021.07.19,S,자산유동화증권
에코코알라,ABCP,2,810,,본,,A2+ (sf),2021.07.19,S,자산유동화증권
와이케이서초제일차,ABSTB,9,100,,본,,A1 (sf),2021.07.19,S,자산유동화증권
제이유제사차,ABSTB,4,15,,본,,A1 (sf),2021.07.19,S,자산유동화증권
지아이비엘제일차,ABSTB,30,634.9,,본,,A2+ (sf),2021.07.19,S,자산유동화증권
크레테유제일차,ABSTB,9,400,,본,,A1 (sf),2021.07.19,S,자산유동화증권
뉴테란제육차,ABSTB,5,85,,본,,A2- (sf),2021.07.16,S,자산유동화증권
디비벨제일차,ABSTB,4,60,,수시,A1 (sf),A1 (sf),2021.07.16,S,자산유동화증권
블루다이아제육차,ABSTB,8,600,,정기,A1 (sf),A1 (sf),2021.07.16,S,자산유동화증권
쥐피에스21제십차,ABSTB,9,160,,본,,A1 (sf),2021.07.16,S,자산유동화증권
지아이비솔루션제일차,ABSTB,14,661.94,,본,,A1 (sf),2021.07.16,S,자산유동화증권
케이에스포항제일차,ABSTB,9,20,,본,,A1 (sf),2021.07.16,S,자산유동화증권
케이티비케이피제일차,ABSTB,3,100,,본,,A2- (sf),2021.07.16,S,자산유동화증권
티와이제일차,ABCP,20,303,,정기,A1 (sf),A1 (sf),2021.07.16,S,자산유동화증권
핸드바이핸드,ABSTB,4,300,,본,,A3+ (sf),2021.07.16,S,자산유동화증권
화이트우드제십차,ABSTB,1,1500,,본,,A2 (sf),2021.07.16,S,자산유동화증권
덕수궁가온누리제이차,ABSTB,3,18,,본,,A1 (sf),2021.07.15,S,자산유동화증권
비케이에이스제십칠차,ABSTB,45,87,,본,,A1 (sf),2021.07.15,S,자산유동화증권
비티에스제일차,ABSTB,12,120,,수시,,A1 (sf),2021.07.15,S,자산유동화증권
사우스레이크제일차,ABSTB,8-2,168,,본,,A1 (sf),2021.07.15,S,자산유동화증권
사우스레이크제일차,ABCP,8-3,168,,본,,A1 (sf),2021.07.15,S,자산유동화증권
에이블루제이차,ABSTB,9,130,,본,,A1 (sf),2021.07.15,S,자산유동화증권
엠에스스마트,ABSTB,32,180,,수시,,A1 (sf),2021.07.15,S,자산유동화증권
케이아이에스대체제십오차,ABSTB,9,30,,본,,A1 (sf),2021.07.15,S,자산유동화증권
트루프랜드경산제육차,ABCP,7,530,,본,,A1 (sf),2021.07.15,S,자산유동화증권
티더블유광천제일차,ABSTB,4,180,,본,,A1 (sf),2021.07.15,S,자산유동화증권
프로젝트월산,ABSTB,1-6,40,,본,,A1 (sf),2021.07.15,S,자산유동화증권
프로젝트월산,ABCP,2-2,80,,본,,A1 (sf),2021.07.15,S,자산유동화증권
광화문제이차,ABSTB,17-1,60,,본,,A3- (sf),2021.07.14,S,자산유동화증권
글로에스본동,ABCP,2,500,,본,,A1 (sf),2021.07.14,S,자산유동화증권
글로에스본동,ABSTB,9,500,,본,,A1 (sf),2021.07.14,S,자산유동화증권
뉴마레제구차,ABS,1(사모사채),2.5,,본,,AAA (sf),2021.07.14,S,자산유동화증권
뉴마레제구차,ABCP,1-1,580,,본,,A1 (sf),2021.07.14,S,자산유동화증권
대구본동제일차,ABSTB,9,600,,본,,A1 (sf),2021.07.14,S,자산유동화증권
산업기반신보제구차유동화전문,ABS,1,945,2039.12.24,정기,AAA (sf),AAA (sf),2021.07.14,S,자산유동화증권
아이리스제오차,ABSTB,10,506,,본,,A1 (sf),2021.07.14,S,자산유동화증권
아이비고덕제일차,ABSTB,9,200,,본,,A1 (sf),2021.07.14,S,자산유동화증권
에이블피티제일차,ABSTB,9,100,,본,,A1 (sf),2021.07.14,S,자산유동화증권
에이치디비에이,ABS,4(사모사채),361,,본,,AA- (sf),2021.07.14,S,자산유동화증권
에이치디비에이제일차,ABS,1(사모사채),100,,본,,AA- (sf),2021.07.14,S,자산유동화증권
에이치케이제이제일차,ABSTB,5,1350,,본,,A2 (sf),2021.07.14,S,자산유동화증권
엠에이에스속초,ABSTB,2,930,,본,,A2+ (sf),2021.07.14,S,자산유동화증권
오아시스제일차,ABCP,1,2450,,본,,A1 (sf),2021.07.14,S,자산유동화증권
오아시스제일차,ABS,1(사모사채),4,,본,,AAA (sf),2021.07.14,S,자산유동화증권
유보라제일차,ABSTB,9,30,,본,,A1 (sf),2021.07.14,S,자산유동화증권
지디포프로젝트원유동화전문,ABS,1(사모사채),1100,,본,,AAA (sf),2021.07.14,S,자산유동화증권
청주고속디투,ABSTB,9,400,,본,,A1 (sf),2021.07.14,S,자산유동화증권
청주고속비원,ABSTB,9,590,,본,,A1 (sf),2021.07.14,S,자산유동화증권
청주고속에이원,ABSTB,9,690,,본,,A1 (sf),2021.07.14,S,자산유동화증권
청주고속에이투,ABSTB,9-2,220,,본,,A1 (sf),2021.07.14,S,자산유동화증권
케이브이엠제사차,ABSTB,21,80,,정기,A1 (sf),A1 (sf),2021.07.14,S,자산유동화증권
케이브이엠제오차,ABSTB,21,10,,정기,A1 (sf),A1 (sf),2021.07.14,S,자산유동화증권
케이브이엠제일차,ABCP,21,1260,,정기,A1 (sf),A1 (sf),2021.07.14,S,자산유동화증권
플랜업유로제일차,ABSTB,9,236,,정기,A1 (sf),A1 (sf),2021.07.14,S,자산유동화증권
피케이일차,ABSTB,6,166,,본,,A2- (sf),2021.07.14,S,자산유동화증권
피티프리미엄제일차,ABSTB,9,200,,본,,A1 (sf),2021.07.14,S,자산유동화증권
하이원당제일차,ABSTB,4,140,,본,,A1 (sf),2021.07.14,S,자산유동화증권
로지스라이온즈파크제일차,ABSTB,4,100,,본,,A1 (sf),2021.07.13,S R,자산유동화증권
비케이베스트제9차,ABCP,2,2450,,본,,A1 (sf),2021.07.13,S,자산유동화증권
비케이베스트제9차,ABS,2(사모사채),4.06,,본,,AAA (sf),2021.07.13,S,자산유동화증권
비케이에이스제십사차,ABSTB,12,258,,본,,A2- (sf),2021.07.13,S,자산유동화증권
써머레인제일차,ABCP,1-1,2450,,본,,A1 (sf),2021.07.13,S,자산유동화증권
써머레인제일차,ABS,1-2(사모사채),4.1,,본,,AAA (sf),2021.07.13,S,자산유동화증권
에코로투스,ABCP,2,360,,본,,A2 (sf),2021.07.13,S,자산유동화증권
와이클라스제일차,ABSTB,9,315,,수시,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
파라다이스영종제사차,ABCP,20,500,,정기,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
파라다이스영종제이차,ABSTB,20,200,,정기,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
파라다이스영종제일차,ABSTB,20,500,,정기,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
히어로즈브이원제오차,ABSTB,9,1000,,수시,A1 (sf),A1 (sf),2021.07.13,S,자산유동화증권
바바리안스카이코리아제4차유동화전문,ABS,1-9,100,,본,,AAA (sf),2021.07.12,S,자산유동화증권
부전마산비티엘,ABCP,24,5800,,본,,A1 (sf),2021.07.12,S,자산유동화증권
브라이트스타제오차,ABSTB,9,450,,본,,A1 (sf),2021.07.12,S R,자산유동화증권
에스제이그레이트제십차,ABS,1(사모사채),500,,본,,A+ (sf),2021.07.12,S R,자산유동화증권
엠스퀘어클라우드,ABCP,7,1680,,수시,A1 (sf),A1 (sf),2021.07.12,S,자산유동화증권
오토피아제육십오차유동화전문,ABS,1-9,150,2021.10.18,정기,AAA (sf),AAA (sf),2021.07.12,S,자산유동화증권
이너피스제십차,ABCP,3,1500,,본,,A1 (sf),2021.07.12,S,자산유동화증권
이너피스제십차,ABS,3(사모사채),2.9,,본,,AA+ (sf),2021.07.12,S,자산유동화증권
인터그레이트제삼차,ABSTB,2,300,,본,,A3 (sf),2021.07.12,S,자산유동화증권
쥐피아이제십사차,ABSTB,1-6,173,,본,,A1 (sf),2021.07.12,S,자산유동화증권
거북섬오션웨이브제일차,ABSTB,8,30,,본,,A1 (sf),2021.07.09,S R,자산유동화증권
나이스파동제일차,ABSTB,9,400,,본,,A1 (sf),2021.07.09,S,자산유동화증권
나이스향동제일차,ABSTB,9,360,,본,,A1 (sf),2021.07.09,S R,자산유동화증권
와이케이수원7제일차,ABSTB,9,185,,정기,A1 (sf),A1 (sf),2021.07.09,S,자산유동화증권
퀀텀점프제일차,ABCP,9,100,,정기,A1 (sf),A1 (sf),2021.07.09,S,자산유동화증권
뉴마레제칠차,ABS,1(사모사채),5.1,,본,,AAA (sf),2021.07.08,S,자산유동화증권
뉴마레제칠차,ABCP,1-1,1150,,본,,A1 (sf),2021.07.08,S,자산유동화증권
뉴살라시아제이차,ABSTB,33,62,,본,,A2+ (sf),2021.07.08,S,자산유동화증권
베스트디와이제사차,ABSTB,9,500,,본,,A1 (sf),2021.07.08,S,자산유동화증권
베스트디와이제삼차,ABSTB,9,1350,,본,,A1 (sf),2021.07.08,S R,자산유동화증권
비케이에이스제십칠차,ABSTB,44,48,,본,,A1 (sf),2021.07.08,S,자산유동화증권
비케이퍼스트제일차,ABSTB,9,100,,정기,A1 (sf),A1 (sf),2021.07.08,S,자산유동화증권
와이지천안제일차,ABSTB,8,10,,본,,A1 (sf),2021.07.08,S R,자산유동화증권
유승퍼스트파크,ABCP,9,950,,정기,A1 (sf),A1 (sf),2021.07.08,S,자산유동화증권
인트그린제이차,ABSTB,6,150,,본,,A1 (sf),2021.07.08,S R,자산유동화증권
제이온천안,ABSTB,2,32,,본,,A2- (sf),2021.07.08,S,자산유동화증권
지아이비에이치에스제사차,ABSTB,4,300,,본,,A3+ (sf),2021.07.08,S,자산유동화증권
컬티베이션제일차,ABSTB,8,164,,본,,A2- (sf),2021.07.08,S,자산유동화증권
케이마스터제사차,ABSTB,9,1150,,정기,A1 (sf),A1 (sf),2021.07.08,S,자산유동화증권
케이에스와이컴퍼니,ABCP,3,2000,,본,,A1 (sf),2021.07.08,S,자산유동화증권
케이에스와이컴퍼니,ABS,3(사모사채),4,,본,,AAA (sf),2021.07.08,S,자산유동화증권
케이향동제일차,ABSTB,9,230,,수시,A1 (sf),A1 (sf),2021.07.08,S,자산유동화증권
키스플러스제사차,ABSTB,1,200,,본,,A3 (sf),2021.07.08,S,자산유동화증권
페덱스제일차,ABCP,1,82,,본,,A1 (sf),2021.07.08,S R,자산유동화증권
페덱스제일차,ABSTB,4,82,,본,,A1 (sf),2021.07.08,S R,자산유동화증권
한국주택금융공사,BC,KHFC MBS 2021-15,100,,본,,AAA (sf),2021.07.08,S,자산유동화증권
기은센아이비제십오차,ABCP,16,830,,본,,A2+ (sf),2021.07.07,S,자산유동화증권
랜드마크경산제일차,ABSTB,2-4,400,,본,,A3 (sf),2021.07.07,S,자산유동화증권
리치게이트신설,ABSTB,9,119,,본,,A1 (sf),2021.07.07,S R,자산유동화증권
벨류베스천제이차,ABSTB,8,1156,,본,,A1 (sf),2021.07.07,S,자산유동화증권
블랙윙제일차,ABSTB,9,300,,정기,A1 (sf),A1 (sf),2021.07.07,S,자산유동화증권
아이비글로벌제십칠차,ABSTB,9,35,,정기,A1 (sf),A1 (sf),2021.07.07,S,자산유동화증권
장강제십칠차,ABSTB,4,232,,수시,A3 (sf),A3 (sf),2021.07.07,S,자산유동화증권
에이블루제육차,ABSTB,4,250,,본,,A1 (sf),2021.07.06,S R,자산유동화증권
에이치에이치아이제일차,ABCP,12,37.5,,정기,A1 (sf),A1 (sf),2021.07.06,S,자산유동화증권
클래식블루,ABCP,5-4,506,,수시,A1 (sf),A1 (sf),2021.07.06,S,자산유동화증권
클래식블루,ABSTB,9,1110,,수시,A1 (sf),A1 (sf),2021.07.06,S,자산유동화증권
테헤란롯데,ABSTB,20,550,,정기,A1 (sf),A1 (sf),2021.07.06,S,자산유동화증권
하나롯데제일차,ABSTB,20,550,,정기,A1 (sf),A1 (sf),2021.07.06,S,자산유동화증권
더에스에프제이차,ABCP,1-1,2450,,본,,A1 (sf),2021.07.05,S,자산유동화증권
더에스에프제이차,ABS,1-2(사모사채),2.6,,본,,AAA (sf),2021.07.05,S,자산유동화증권
에이아이엠유동화제일차,ABSTB,5,420,,본,,A1 (sf),2021.07.05,S R,자산유동화증권
에이치봉덕,ABSTB,2,50,,본,,A1 (sf),2021.07.05,S,자산유동화증권
에프더블에스제이십이차,ABSTB,5,100,,본,,A1 (sf),2021.07.05,S R,자산유동화증권
이너피스제구차,ABCP,3,2000,,본,,A1 (sf),2021.07.05,S,자산유동화증권
이너피스제구차,ABS,3(사모사채),3.6,,본,,AAA (sf),2021.07.05,S,자산유동화증권
이너피스제팔차,ABCP,3,2000,,본,,A1 (sf),2021.07.05,S,자산유동화증권
이너피스제팔차,ABS,3(사모사채),3.6,,본,,AAA (sf),2021.07.05,S,자산유동화증권
케이뉴스타트제13차,ABCP,2,2425,,본,,A1 (sf),2021.07.05,S,자산유동화증권
케이뉴스타트제13차,ABS,2(사모사채),4.46,,본,,AAA (sf),2021.07.05,S,자산유동화증권
하이오션커미트제십일차,ABSTB,9,70,,본,,A1 (sf),2021.07.05,S,자산유동화증권
바다사랑제십차,ABS,1(사모사채),3.67,2022.12.30,본,,AAA (sf),2021.07.02,S,자산유동화증권
바다사랑제십차,ABCP,1-2,2000,,본,,A1 (sf),2021.07.02,S,자산유동화증권
선천제십오차,ABCP,2-1,2450,,본,,A1 (sf),2021.07.02,S,자산유동화증권
선천제십오차,ABS,2-2(사모사채),4.5,,본,,AAA (sf),2021.07.02,S,자산유동화증권
선천제십육차,ABCP,2-1,2450,,본,,A1 (sf),2021.07.02,S,자산유동화증권
선천제십육차,ABS,2-2(사모사채),4.5,,본,,AAA (sf),2021.07.02,S,자산유동화증권
스마트청라제일차,ABSTB,1,600,,본,,A2+ (sf),2021.07.02,S R,자산유동화증권
엑스매드제구차,ABSTB,9,4,,본,,A1 (sf),2021.07.02,S R,자산유동화증권
우리드림제일차,ABCP,25,270,,본,,A1 (sf),2021.07.02,S,자산유동화증권
퍼스트와이제이제일차,ABSTB,9,20,,본,,A1 (sf),2021.07.02,S,자산유동화증권
해유동제일차,ABSTB,8,280,,본,,A1 (sf),2021.07.02,S,자산유동화증권
그레이트왕산제이차,ABSTB,4,2000,,본,,A1 (sf),2021.07.01,S,자산유동화증권
그레이트풍세제일차,ABSTB,3,751,,본,,A3+ (sf),2021.07.01,S,자산유동화증권
디케이제이차,ABSTB,9,40,,본,,A1 (sf),2021.07.01,S R,자산유동화증권
디케이제일차,ABSTB,9,40,,본,,A1 (sf),2021.07.01,S R,자산유동화증권
리디파인여수죽림,ABSTB,17,300,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
리치게이트대명,ABSTB,18,1100,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
리치게이트제십이차,ABSTB,1-14,400,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
마에스트로디큐브,ABSTB,1-9,500,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
마에스트로에이치,ABSTB,9,500,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
비케이에이스제십칠차,ABSTB,43,22,,본,,A1 (sf),2021.07.01,S,자산유동화증권
스마트디큐브,ABCP,1-9,300,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
스마트와이유제일차,ABSTB,33,315,,본,,A2+ (sf),2021.07.01,S,자산유동화증권
에스지엠에스제십차,ABSTB,9,367,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
엠케이드림제이차,ABSTB,19,750,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
와이에스디,ABSTB,4,50,,본,,A1 (sf),2021.07.01,S R,자산유동화증권
와이에스디제일차,ABSTB,9,140,,본,,A1 (sf),2021.07.01,S R,자산유동화증권
유진티이피제일차,ABSTB,15,945,,수시,A2+ (sf),A2+ (sf),2021.07.01,S,자산유동화증권
유진티이피제일차,ABSTB,60,945,,본,,A2+ (sf),2021.07.01,S,자산유동화증권
제이유제오차,ABCP,1,500,,본,,A2 (sf),2021.07.01,S,자산유동화증권
찬스리테일,ABSTB,9,621,,정기,A1 (sf),A1 (sf),2021.07.01,S,자산유동화증권
하이오션커미트제십칠차,ABSTB,5,60,,본,,A1 (sf),2021.07.01,S,자산유동화증권
2019제2차스케일업유동화전문,ABS,1-3,634,2022.12.19,정기,AAA (sf),AAA (sf),2021.06.30,S,자산유동화증권
2019제2차스케일업유동화전문,ABS,2,160,2022.12.19,정기,BBB (sf),BBB (sf),2021.06.30,S,자산유동화증권
거북섬이비자가든제일차,ABSTB,8,60,,본,,A1 (sf),2021.06.30,S,자산유동화증권
더블리치제오차,ABSTB,8,10,,수시,A1 (sf),A1 (sf),2021.06.30,S,자산유동화증권
더블리치제오차,ABSTB,9,10,,본,,A1 (sf),2021.06.30,S,자산유동화증권
더케이원제십차,ABSTB,9,150,,본,,A1 (sf),2021.06.30,S,자산유동화증권
더크로스비제일차,ABCP,5,400,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
더퍼스트지엠제십삼차,ABSTB,9,100,,본,,A2+ (sf),2021.06.30,S R,자산유동화증권
디아이에프옥정제이차,ABSTB,8,90,,본,,A1 (sf),2021.06.30,S,자산유동화증권
디아이에프옥정제일차,ABSTB,8,90,,본,,A1 (sf),2021.06.30,S,자산유동화증권
르네상스제이차,ABSTB,9,250,,본,,A1 (sf),2021.06.30,S,자산유동화증권
마이원상도,ABSTB,2-9,800,,본,,A1 (sf),2021.06.30,S,자산유동화증권
에스브라이트판교,ABSTB,9,400,,본,,A1 (sf),2021.06.30,S,자산유동화증권
에이치방배제일차,ABSTB,1,30,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
에이치칠암제일차,ABSTB,2,30,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
에이치칠암제일차,ABCP,9,30,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
에프엔사일제이차,ABCP,1,300,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
에프엔사일제이차,ABSTB,9,300,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
에프엔사일제일차,ABSTB,9,1200,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
엠아이제오차,ABSTB,3,50,,수시,A1 (sf),A1 (sf),2021.06.30,S,자산유동화증권
오시리아파크제이차,ABCP,9,500,,본,,A1 (sf),2021.06.30,S,자산유동화증권
와이엠무비제일차,ABSTB,2,202,,수시,A3+ (sf),A3 (sf),2021.06.30,S,자산유동화증권
웨스트안동제삼차,ABSTB,9,200,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
웨스트안동제이차,ABSTB,9,200,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
웨스트안동제일차,ABSTB,9,100,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
인트그린제일차,ABSTB,9,1400,,본,,A1 (sf),2021.06.30,S,자산유동화증권
장승배기역역세권개발제이차,ABCP,1,1900,,본,,A2 (sf),2021.06.30,S,자산유동화증권
장승배기역역세권개발제일차,ABCP,3,250,,본,,A2 (sf),2021.06.30,S,자산유동화증권
제이티화정제일차,ABCP,1,24,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
제이티화정제일차,ABSTB,3,24,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
카이로스제육차,ABSTB,4,15,,본,,A2- (sf),2021.06.30,S R,자산유동화증권
케이시큐제일차,ABCP,2,10,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
케이시큐제일차,ABSTB,7,10,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
케이아이에스대체제사차,ABSTB,24,326,,본,,A1 (sf),2021.06.30,S,자산유동화증권
케이테라제오차,ABSTB,4,20,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
트루옥정제일차,ABSTB,8,100,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
페이레터원큐제일차,ABCP,9,150,,본,,A1 (sf),2021.06.30,S,자산유동화증권
플레인스워커제십이차,ABCP,62-2,0.2,,본,,A1 (sf),2021.06.30,S,자산유동화증권
하나디엘제일차,ABCP,9,500,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
하나터미너스제일차,ABCP,9,500,,본,,A1 (sf),2021.06.30,S R,자산유동화증권
갤럭시아원큐제일차,ABCP,9,150,,본,,A1 (sf),2021.06.29,S,자산유동화증권
뉴테란제오차,ABSTB,5,100,,본,,A2- (sf),2021.06.29,S,자산유동화증권
더블에스삼양,ABCP,1-1,500,,본,,A1 (sf),2021.06.29,S R,자산유동화증권
더블에스삼양,ABSTB,9,1150,,본,,A1 (sf),2021.06.29,S R,자산유동화증권
더하이스트제십구차,ABSTB,9,100,,본,,A1 (sf),2021.06.29,S R,자산유동화증권
로지스이천죽당제일차,ABSTB,8,140,,본,,A1 (sf),2021.06.29,S,자산유동화증권
비욘드캐슬제이차,ABCP,15,30,,본,,A1 (sf),2021.06.29,S,자산유동화증권
신한지아이비마미,ABSTB,9,150,,본,,A1 (sf),2021.06.29,S R,자산유동화증권
에이원에디터,ABSTB,9,200,,본,,A1 (sf),2021.06.29,S R,자산유동화증권
에이치디비에이,ABS,3(사모사채),333,2025.12.01,본,,AA- (sf),2021.06.29,S,자산유동화증권
엠아이제육차,ABSTB,9,40,,수시,A1 (sf),A1 (sf),2021.06.29,S,자산유동화증권
우리에이치스퀘어제일차,ABCP,9,439,,본,,A1 (sf),2021.06.29,S,자산유동화증권
원더풀지엠제십사차,ABCP,2,2450,,본,,A1 (sf),2021.06.29,S,자산유동화증권
원더풀지엠제십사차,ABS,2(사모사채),4.44,2023.01.31,본,,AAA (sf),2021.06.29,S,자산유동화증권
제이케이평택제일차,ABSTB,9,100,,본,,A2- (sf),2021.06.29,S,자산유동화증권
주피터제일차,ABCP,1,30,,본,,A1 (sf),2021.06.29,S,자산유동화증권
주피터제일차,ABSTB,4,30,,본,,A1 (sf),2021.06.29,S,자산유동화증권
쥐피아이제십구차,ABSTB,1-1,630,,본,,A1 (sf),2021.06.29,S,자산유동화증권
케이비랜드스케이프제일차,ABCP,9,1000,,본,,A1 (sf),2021.06.29,S,자산유동화증권
키스비케이제일차,ABSTB,3,"13,600,000(USD)",,본,,A2+ (sf),2021.06.29,S,자산유동화증권
트루진천제일차,ABSTB,6,50,,본,,A1 (sf),2021.06.29,S R,자산유동화증권
퍼스트익산제일차,ABSTB,6,30,,본,,A1 (sf),2021.06.29,S,자산유동화증권
하이미단스테이,ABSTB,9,70,,본,,A1 (sf),2021.06.29,S,자산유동화증권
하이오션커미트제십차,ABSTB,9,100,,본,,A1 (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2009-3,19681.12,2039.10.25,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2011-4,100,2031.04.13,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2013-13,1624.12,2048.04.25,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2013-16,100,2033.04.18,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2014-9,100,2034.04.24,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2017-10,100,2037.04.21,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2017-11,1500,2037.04.27,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2017-9,100,2037.04.07,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2018-10,1700,2038.04.27,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2018-8,100,2038.04.06,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2018-9,100,2038.04.20,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2020-10,100,2040.04.14,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2020-11,200,2040.04.21,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2020-12,200,2040.04.28,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
한국주택금융공사,BC,MBS 2020-9,100,2040.04.03,정기,AAA (sf),AAA (sf),2021.06.29,S,자산유동화증권
디시티제이차,ABSTB,3,103.5,,본,,A1 (sf),2021.06.28,S,자산유동화증권
디시티제일차,ABSTB,3,103.5,,본,,A1 (sf),2021.06.28,S,자산유동화증권
비엔케이금남,ABSTB,6,95,,본,,A1 (sf),2021.06.28,S,자산유동화증권
스마트시티제일차,ABCP,1,1550,,본,,A2+ (sf),2021.06.28,S R,자산유동화증권
에프엔파라다이스,ABCP,2,150,,본,,A1 (sf),2021.06.28,S,자산유동화증권
오비케이월드,ABSTB,36,802,,본,,A1 (sf),2021.06.28,S,자산유동화증권
웰메이드제일차,ABSTB,2-1,666,,본,,A1 (sf),2021.06.28,S,자산유동화증권
자양파이브제이차,ABCP,2,460,,본,,A2- (sf),2021.06.28,S,자산유동화증권
제이드권선6유동화전문,ABS,1,1080,2023.04.28,정기,AA+ (sf),AA+ (sf),2021.06.28,S,자산유동화증권
큐브이엠제삼차,ABCP,1,400,,본,,A1 (sf),2021.06.28,S,자산유동화증권
큐브이엠제오차,ABCP,5-2,300,,본,,A1 (sf),2021.06.28,S,자산유동화증권
큐브이엠제일차,ABSTB,1,800,,본,,A1 (sf),2021.06.28,S,자산유동화증권
피닉스교문제일차,ABSTB,16,200,,정기,A1 (sf),A1 (sf),2021.06.28,S,자산유동화증권
더불어제십일차,ABCP,1-1,2424.2,,본,,A1 (sf),2021.06.25,S,자산유동화증권
더불어제십일차,ABS,1-2(사모사채),4.4,2022.12.23,본,,AAA (sf),2021.06.25,S,자산유동화증권
디토넥스,ABSTB,5,10,,본,,A2+ (sf),2021.06.25,S R,자산유동화증권
