회사명,재무기준일,평가종류,직전등급,직전Outlook,현재등급,현재Outlook,기준통화,평가일,리포트,Type
디엘이앤씨,,본,,,AA-,안정적,원화/외화,2021.02.08,S,Issuer Rating
비엔케이투자증권,2019.12.31,본,,,A+,안정적,원화/외화,2021.02.04,S,Issuer Rating
삼성증권,2019.12.31,본,,,AA+,안정적,원화/외화,2021.02.01,S,Issuer Rating
아이비케이투자증권,2019.12.31,본,,,A+,긍정적,원화/외화,2021.02.01,S,Issuer Rating
제이알글로벌위탁관리부동산투자회사,2020.06.30,본,,,A-,안정적,원화/외화,2021.01.20,S,Issuer Rating
한국토지신탁,2019.12.31,본,,,A,안정적,원화/외화,2021.01.15,S,Issuer Rating
경남은행,2019.12.31,본,,,AA+,안정적,원화/외화,2021.01.11,S,Issuer Rating
신세계푸드,2019.12.31,본,,,A+,안정적,원화/외화,2020.12.29,S,Issuer Rating
대신자산신탁,2019.12.31,수시,,,BBB,안정적,원화/외화,2020.12.18,S,Issuer Rating
한솔케미칼,2019.12.31,본,,,A,긍정적,원화/외화,2020.12.15,S,Issuer Rating
중국농업은행주식유한회사,2019.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2020.12.04,S,Issuer Rating
중국동방항공 주식유한공사,2019.12.31,본,AA-,부정적,AA-,부정적,원화/외화,2020.11.24,S,Issuer Rating
한양증권,2019.12.31,본,A,안정적,A,안정적,원화/외화,2020.11.04,S,Issuer Rating
하나은행,2019.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2020.10.30,S,Issuer Rating
엘아이지,2019.12.31,본,A+,안정적,A+,안정적,원화/외화,2020.10.22,S,Issuer Rating
한전KPS,2019.12.31,본,AA,안정적,AA,안정적,원화/외화,2020.10.08,S,Issuer Rating
크레디트스위스은행서울지점,2019.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2020.09.25,S,Issuer Rating
비엔케이저축은행,2019.12.31,본,,,A,안정적,원화/외화,2020.09.21,S,Issuer Rating
우리종합금융,2019.12.31,본,,,A,안정적,원화/외화,2020.09.21,S,Issuer Rating
에스비아이저축은행,2019.12.31,본,A-,안정적,A-,안정적,원화/외화,2020.09.15,S,Issuer Rating
신한저축은행,2019.12.31,본,,,A,안정적,원화/외화,2020.09.14,S,Issuer Rating
동국제강,2019.12.31,본,,,BBB-,안정적,원화/외화,2020.09.09,S,Issuer Rating
케이비저축은행,2019.12.31,본,,,A,안정적,원화/외화,2020.09.07,S,Issuer Rating
푸른상호저축은행,2019.12.31,본,,,BBB+,안정적,원화/외화,2020.09.04,S,Issuer Rating
한국해양진흥공사,2019.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2020.08.07,S,Issuer Rating
아이비케이저축은행,2019.12.31,본,A,안정적,A,안정적,원화/외화,2020.08.05,S,Issuer Rating
경기평택항만공사,2019.12.31,본,AA,안정적,AA,안정적,원화/외화,2020.07.31,S,Issuer Rating
효성티앤씨,2019.12.31,본,,,A,안정적,원화/외화,2020.07.28,S R,Issuer Rating
농협금융지주,2019.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2020.07.22,S,Issuer Rating
