회사명,시리즈,유형,공여기관,한도액(억원),약정만료일,평가종류,직전등급,현재등급,평가일,리포트,Type
퍼스트파이브지제오십육차유동화전문,,신용공여,신한은행,88.0,2025.11.28,본,,AAA (sf),2021.04.22,S,유동화익스포져
신보2021제5차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,3998.67,2024.05.09,본,,AAA (sf),2021.04.21,S,유동화익스포져
신보2021제6차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,1769.023,2024.05.09,본,,AAA (sf),2021.04.21,S,유동화익스포져
신보2021제7차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,1536.1359,2023.05.09,본,,AAA (sf),2021.04.21,S,유동화익스포져
티월드제육십삼차유동화전문,,신용공여,국민은행,75.0,2024.10.30,본,,AAA (sf),2021.04.21,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,정기,BBB (sf),AA (sf),2021.04.13,S,유동화익스포져
유플러스파이브지제오십육차유동화전문,,신용공여,하나은행,22.0,2025.11.07,본,,AAA (sf),2021.03.29,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,정기,BBB (sf),BBB (sf),2021.03.26,S,유동화익스포져
신보2021제4차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,612.7018,2023.04.09,수시,AAA (sf),AAA (sf),2021.03.23,S,유동화익스포져
2019기보제이차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,440.1941,2021.11.24,정기,AAA (sf),AAA (sf),2021.03.22,S,유동화익스포져
티월드제육십이차유동화전문,,신용공여,국민은행,90.0,2025.09.30,본,,AAA (sf),2021.03.22,S,유동화익스포져
신보2021제4차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,619.1922,2023.04.09,본,,AAA (sf),2021.03.19,S,유동화익스포져
에스에이치이노제일차,,유동성 및 신용공여,신한은행,700.0,2021.10.18,정기,AA- (sf),AA- (sf),2021.03.16,S,유동화익스포져
에스타이거제팔차,,유동성공여,신한은행,3.0,2023.05.28,정기,A (sf),A (sf),2021.03.16,S,유동화익스포져
제이지베스트제육차,,유동성 및 신용공여,교보증권,250.0,2022.11.01,정기,A+ (sf),A+ (sf),2021.03.16,S,유동화익스포져
티월드제사십오차유동화전문,,신용공여,국민은행,900.0,2024.03.19,정기,AAA (sf),AAA (sf),2021.03.11,S,유동화익스포져
신한웨이제일차,,유동성 및 신용공여,신한은행,200.0,2021.12.18,정기,A (sf),A (sf),2021.03.10,S,유동화익스포져
티월드제사십사차유동화전문,,신용공여,신한은행,75.0,2023.05.29,정기,AAA (sf),AAA (sf),2021.03.09,S,유동화익스포져
