회사명,시리즈,유형,공여기관,한도액(억원),약정만료일,평가종류,직전등급,현재등급,평가일,리포트,Type
신보2020제10차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,1524.8406,2022.07.06,수시,AAA (sf),AAA (sf),2020.06.19,S,유동화익스포져
신보2020제10차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,1563.96462,2022.07.06,본,,AAA (sf),2020.06.18,S,유동화익스포져
신보2020제8차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,3145.38,2023.07.06,본,,AAA (sf),2020.06.18,S,유동화익스포져
제이지베스트제육차,,유동성 및 신용공여,교보증권,250.0,2022.11.01,수시,A (sf),A+ (sf),2020.06.18,S,유동화익스포져
티월드제오십삼차유동화전문,,신용공여,국민은행,110.0,2024.12.29,본,,AAA (sf),2020.06.18,S,유동화익스포져
신보2020제9차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,6754.7,2023.07.06,본,,AAA (sf),2020.06.17,S,유동화익스포져
티월드제이십일차유동화전문,,신용공여,신한은행,80.0,2021.08.12,정기,AAA (sf),AAA (sf),2020.06.17,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,수시,BBB (sf)↑,BBB (sf)↕,2020.06.12,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,수시,BBB (sf)↑,BBB (sf)↕,2020.06.12,S,유동화익스포져
효성캐피탈제이십팔차유동화전문,,신용공여,농협은행,200.0,2022.01.17,본,,AAA (sf),2020.06.08,S,유동화익스포져
티월드제오십일차유동화전문,,신용공여,국민은행,470.0,2024.09.12,본,,AAA (sf),2020.06.04,S,유동화익스포져
2020기보제일차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,324.6843,2022.12.08,본,,AAA (sf),2020.05.29,S,유동화익스포져
기가엘티이제사십이차유동화전문,,신용공여,농협은행,103.2,2022.07.22,정기,AAA (sf),AAA (sf),2020.05.29,S,유동화익스포져
기가엘티이제삼십육차유동화전문,,신용공여,농협은행,97.5,2021.07.28,정기,AAA (sf),AAA (sf),2020.05.29,S,유동화익스포져
유플러스파이브지제오십일차유동화전문,,신용공여,국민은행,22.0,2025.01.08,본,,AAA (sf),2020.05.29,S,유동화익스포져
우리디스플레이제삼차,,유동성 및 신용공여,우리은행,1000.0,2023.01.28,정기,A+ (sf),A+ (sf),2020.05.22,S,유동화익스포져
우리디스플레이제이차,,유동성 및 신용공여,우리은행,2000.0,2023.03.02,정기,A+ (sf),A+ (sf),2020.05.22,S,유동화익스포져
신보2020제6차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,4911.78,2023.06.08,본,,AAA (sf),2020.05.21,S,유동화익스포져
엔에이치디스플레이제일차,,유동성 및 신용공여,농협은행,2005.0,2021.08.09,정기,A+ (sf),A+ (sf),2020.05.20,S,유동화익스포져
티월드제오십이차유동화전문,,신용공여,국민은행,70.0,2023.11.29,본,,AAA (sf),2020.05.20,S,유동화익스포져
티월드제삼십일차유동화전문,,신용공여,신한은행,50.0,2022.06.27,정기,AAA (sf),AAA (sf),2020.05.18,S,유동화익스포져
제이비우리캐피탈오토제이십일차유동화전문,,신용공여,농협은행,350.0,2023.05.08,본,,AAA (sf),2020.04.23,S,유동화익스포져
퍼스트파이브지제오십차유동화전문,,신용공여,신한은행,96.0,2024.12.04,본,,AAA (sf),2020.04.22,S,유동화익스포져
신보2020제3차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1464.495,2023.05.04,수시,AAA (sf),AAA (sf),2020.04.20,S,유동화익스포져
신보2020제4차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1515.8026,2022.05.04,수시,AAA (sf),AAA (sf),2020.04.20,S,유동화익스포져
티월드제오십차유동화전문,,신용공여,국민은행,90.0,2023.10.29,본,,AAA (sf),2020.04.20,S,유동화익스포져
신보2018제6차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,3290.3443,2021.11.05,정기,AAA (sf),AAA (sf),2020.04.17,S,유동화익스포져
티월드제삼십차유동화전문,,신용공여,신한은행,35.0,2022.06.03,정기,AAA (sf),AAA (sf),2020.04.17,S,유동화익스포져
신보2020제3차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1479.105,2023.05.04,본,,AAA (sf),2020.04.16,S,유동화익스포져
신보2020제4차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1535.091,2022.05.04,본,,AAA (sf),2020.04.16,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,정기,BBB+ (sf)↕,BBB (sf)↑,2020.04.10,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,정기,BBB+ (sf)↕,BBB (sf)↑,2020.04.10,S,유동화익스포져
유플러스엘티이제사십이차유동화전문,,신용공여,하나은행,33.0,2022.06.07,정기,AAA (sf),AAA (sf),2020.04.10,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,수시,BBB+ (sf)↕,BBB+ (sf)↕,2020.04.01,S,유동화익스포져
유플러스파이브지제오십차유동화전문,,신용공여,하나은행,22.0,2024.11.07,본,,AAA (sf),2020.03.30,S,유동화익스포져
신보2020제1차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,914.176,2023.04.06,수시,AAA (sf),AAA (sf),2020.03.23,S,유동화익스포져
신보2020제2차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,792.1436,2022.04.06,수시,AAA (sf),AAA (sf),2020.03.23,S,유동화익스포져
티월드제사십구차유동화전문,,신용공여,신한은행,80.0,2023.09.30,본,,AAA (sf),2020.03.20,S,유동화익스포져
신보2020제1차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,923.816,2023.04.06,본,,AAA (sf),2020.03.19,S,유동화익스포져
신보2020제2차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,795.7463,2022.04.06,본,,AAA (sf),2020.03.19,S,유동화익스포져
기가엘티이제사십일차유동화전문,,신용공여,신한은행,99.6,2022.05.31,정기,AAA (sf),AAA (sf),2020.03.17,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,수시,BBB+ (sf)↑,BBB+ (sf)↕,2020.03.12,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,수시,BBB+ (sf)↑,BBB+ (sf)↕,2020.03.12,S,유동화익스포져
신한웨이제일차,,유동성 및 신용공여,신한은행,200.0,2021.12.18,정기,A (sf),A (sf),2020.03.10,S,유동화익스포져
메리츠오토제칠차유동화전문,,신용공여,농협은행,500.0,2022.09.18,본,,AAA (sf),2020.03.09,S,유동화익스포져
티월드제이십구차유동화전문,,신용공여,신한은행,45.0,2022.04.30,정기,AAA (sf),AAA (sf),2020.03.06,S,유동화익스포져
티월드제이십팔차유동화전문,,신용공여,신한은행,25.0,2022.03.28,정기,AAA (sf),AAA (sf),2020.03.06,S,유동화익스포져
에스에이치이노제일차,,유동성 및 신용공여,신한은행,700.0,2021.10.18,정기,AA- (sf),AA- (sf),2020.03.05,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,수시,BBB+ (sf)↑,BBB+ (sf)↑,2020.03.03,S,유동화익스포져
퍼스트파이브지제사십구차유동화전문,,신용공여,농협은행,120.3,2024.10.04,본,,AAA (sf),2020.02.26,S,유동화익스포져
기가엘티이제사십차유동화전문,,신용공여,중소기업은행,92.4,2022.03.31,정기,AAA (sf),AAA (sf),2020.02.24,S,유동화익스포져
티월드제사십팔차유동화전문,,신용공여,신한은행,120.0,2024.08.28,본,,AAA (sf),2020.02.20,S,유동화익스포져
엔에이치디스플레이제일차,,유동성 및 신용공여,농협은행,2005.0,2021.08.09,수시,AA- (sf),A+ (sf),2020.02.19,S,유동화익스포져
우리디스플레이제삼차,,유동성 및 신용공여,우리은행,1000.0,2023.01.28,수시,AA- (sf),A+ (sf),2020.02.19,S,유동화익스포져
우리디스플레이제이차,,유동성 및 신용공여,우리은행,2000.0,2023.03.02,수시,AA- (sf),A+ (sf),2020.02.19,S,유동화익스포져
하나디스플레이제일차,,유동성 및 신용공여,하나은행,2000.0,2023.03.27,수시,AA- (sf),A+ (sf),2020.02.19,S,유동화익스포져
유플러스엘티이제사십일차유동화전문,,신용공여,국민은행,22.0,2022.04.12,정기,AAA (sf),AAA (sf),2020.02.05,S,유동화익스포져
오션드림제일차,,유동성 및 신용공여,하나은행,250.0,2022.07.30,정기,A- (sf),A- (sf),2020.01.30,S,유동화익스포져
유플러스엘티이제사십차유동화전문,,신용공여,신한은행,22.0,2022.02.08,정기,AAA (sf),AAA (sf),2020.01.29,S,유동화익스포져
유플러스파이브지제사십구차유동화전문,,신용공여,신한은행,22.0,2024.09.07,본,,AAA (sf),2020.01.29,S,유동화익스포져
보령터미널제일차,,유동성공여,우리은행,20.0,2037.01.28,정기,AA- (sf),AA- (sf),2020.01.21,S,유동화익스포져
에스솔루션제일차,,유동성 및 신용공여,신한은행,137.68,2021.11.29,정기,AA (sf),AA (sf),2020.01.20,S,유동화익스포져
티월드제사십칠차유동화전문,,신용공여,신한은행,100.0,2023.07.31,본,,AAA (sf),2020.01.20,S,유동화익스포져
티월드제이십육차유동화전문,,신용공여,국민은행,40.0,2022.01.31,정기,AAA (sf),AAA (sf),2020.01.20,S,유동화익스포져
아시아나사이공,,유동성 및 신용공여,우리은행,572.0,2023.07.19,정기,CCC (sf),CCC (sf),2020.01.17,S,유동화익스포져
금호트러스트제일차,,유동성 및 신용공여,우리은행,902.0,2023.07.19,정기,BB+ (sf),BB+ (sf),2020.01.16,S,유동화익스포져
티월드제이십칠차유동화전문,,신용공여,국민은행,35.0,2022.02.28,정기,AAA (sf),AAA (sf),2020.01.10,S,유동화익스포져
마에스트로신반포,,유동성 및 신용공여,신한은행,600.0,2022.10.31,정기,A+ (sf),A+ (sf),2020.01.08,S,유동화익스포져
에스타이거제이차,,유동성 및 신용공여,우리은행,200.0,2021.07.23,정기,A- (sf),A- (sf),2020.01.08,S,유동화익스포져
에스타이거제팔차,,유동성공여,신한은행,3.0,2023.05.28,수시,AA- (sf)↓,A (sf),2020.01.03,S,유동화익스포져
신한웨이제일차,,유동성 및 신용공여,신한은행,200.0,2021.12.18,수시,A (sf),A (sf),2019.12.31,S,유동화익스포져
지아이비에어,,유동성 및 신용공여,신한은행,100.0,2021.08.30,수시,A- (sf),A- (sf),2019.12.31,S,유동화익스포져
에스타이거제팔차,,유동성공여,신한은행,3.0,2023.05.28,수시,AA- (sf)↓,AA- (sf)↓,2019.12.30,S,유동화익스포져
티월드제이십오차유동화전문,,신용공여,국민은행,40.0,2022.01.02,정기,AAA (sf),AAA (sf),2019.12.30,S,유동화익스포져
2019기보제삼차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,16.46051802,2021.12.08,본,,AAA (sf),2019.12.23,S,유동화익스포져
2019제2차스케일업유동화전문,,신용공여,한국산업은행,989.0,2022.12.19,본,,A- (sf),2019.12.19,S,유동화익스포져
기가엘티이제삼십구차유동화전문,,신용공여,우리은행,90.6,2022.01.28,정기,AAA (sf),AAA (sf),2019.12.17,S,유동화익스포져
티월드제사십육차유동화전문,,신용공여,신한은행,130.0,2022.06.27,본,,AAA (sf),2019.12.17,S,유동화익스포져
에스타이거동방,,유동성 및 신용공여,신한은행,200.0,2022.12.06,본,,AA- (sf),2019.12.16,S,유동화익스포져
퍼스트파이브지제사십팔차유동화전문,,신용공여,중소기업은행,88.4,2024.07.23,본,,AAA (sf),2019.12.13,S,유동화익스포져
유승퍼스트파크,,유동성 및 신용공여,수협은행,200.0,2023.03.31,본,,AAA (sf),2019.12.11,S,유동화익스포져
티월드제사십오차유동화전문,,신용공여,국민은행,900.0,2024.03.19,본,,AAA (sf),2019.12.11,S,유동화익스포져
마에스트로신반포,,유동성 및 신용공여,신한은행,600.0,2022.10.31,수시,A (sf),A+ (sf),2019.12.10,S,유동화익스포져
유플러스파이브지제사십팔차유동화전문,,신용공여,하나은행,22.0,2024.07.09,본,,AAA (sf),2019.11.29,S,유동화익스포져
에스타이거제팔차,,유동성공여,신한은행,3.0,2023.05.28,본,,AA- (sf)↓,2019.11.28,S,유동화익스포져
티월드제이십사차유동화전문,,신용공여,국민은행,30.0,2021.11.30,정기,AAA (sf),AAA (sf),2019.11.27,S,유동화익스포져
신보2019제12차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1536.1523,2021.12.09,수시,AAA (sf),AAA (sf),2019.11.25,S,유동화익스포져
신보2019제12차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1567.8248,2021.12.09,본,,AAA (sf),2019.11.21,S,유동화익스포져
티월드제사십사차유동화전문,,신용공여,신한은행,75.0,2023.05.29,본,,AAA (sf),2019.11.20,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,수시,BBB+ (sf)↓,BBB+ (sf)↑,2019.11.15,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,수시,BBB+ (sf)↓,BBB+ (sf)↑,2019.11.15,S,유동화익스포져
유플러스엘티이제삼십구차유동화전문,,신용공여,하나은행,33.0,2021.12.07,정기,AAA (sf),AAA (sf),2019.11.14,S,유동화익스포져
에이스오토인베스트제사십팔차유동화전문,,신용공여,우리은행,440.0,2022.03.14,본,,AAA (sf),2019.11.06,S,유동화익스포져
제이지베스트제육차,,유동성 및 신용공여,교보증권,250.0,2022.11.01,본,,A (sf),2019.10.31,S,유동화익스포져
퍼스트파이브지제사십칠차유동화전문,,신용공여,우리은행,96.3,2024.05.31,본,,AAA (sf),2019.10.23,S,유동화익스포져
티월드제사십삼차유동화전문,,신용공여,국민은행,85.0,2023.04.30,본,,AAA (sf),2019.10.22,S,유동화익스포져
신보2019제10차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,1467.971,2021.11.04,수시,AAA (sf),AAA (sf),2019.10.21,S,유동화익스포져
신보2019제9차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,2775.025,2022.11.04,수시,AAA (sf),AAA (sf),2019.10.21,S,유동화익스포져
카드오토제이차유동화전문,,신용공여,국민은행,100.0,2023.04.27,본,,AAA (sf),2019.10.17,S,유동화익스포져
신보2019제10차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,1493.4116,2021.11.04,본,,AAA (sf),2019.10.16,S,유동화익스포져
신보2019제9차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,2818.495,2022.11.04,본,,AAA (sf),2019.10.16,S,유동화익스포져
티월드제이십삼차유동화전문,,신용공여,국민은행,75.0,2021.10.30,정기,AAA (sf),AAA (sf),2019.10.14,S,유동화익스포져
기가엘티이제삼십팔차유동화전문,,신용공여,국민은행,96.3,2021.11.30,정기,AAA (sf),AAA (sf),2019.10.11,S,유동화익스포져
유플러스파이브지제사십칠차유동화전문,,신용공여,하나은행,33.0,2023.04.11,본,,AAA (sf),2019.09.30,S,유동화익스포져
엔에이치현중홀딩스,,유동성 및 신용공여,농협은행,502.0,2024.12.20,본,,A- (sf),2019.09.19,S,유동화익스포져
우리한숲제일차,,유동성공여,우리은행,5.0,2024.06.24,수시,A+ (sf),AA- (sf),2019.09.19,S,유동화익스포져
티월드제사십일차유동화전문,,신용공여,국민은행,75.0,2023.03.30,본,,AAA (sf),2019.09.19,S,유동화익스포져
2019기보제이차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,440.1941,2021.11.24,수시,AAA (sf),AAA (sf),2019.09.18,S,유동화익스포져
제이비우리캐피탈오토제이십차유동화전문,,신용공여,농협은행,150.0,2023.09.27,본,,AAA (sf),2019.09.18,S,유동화익스포져
2019기보제이차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,469.2436,2021.11.24,본,,AAA (sf),2019.09.16,S,유동화익스포져
유플러스엘티이제삼십팔차유동화전문,,신용공여,하나은행,22.0,2021.10.11,정기,AAA (sf),AAA (sf),2019.09.06,S,유동화익스포져
티월드제이십이차유동화전문,,신용공여,신한은행,35.0,2021.09.27,정기,AAA (sf),AAA (sf),2019.08.30,S,유동화익스포져
지아이비에어,,유동성 및 신용공여,신한은행,100.0,2021.08.30,본,,A- (sf),2019.08.29,S,유동화익스포져
엘터미널제이차,,유동성 및 신용공여,중소기업은행,700.0,2023.02.23,정기,AA- (sf),AA- (sf),2019.08.22,S,유동화익스포져
퍼스트파이브지제사십육차유동화전문,,신용공여,신한은행,85.8,2024.03.29,본,,AAA (sf),2019.08.22,S,유동화익스포져
티월드제사십차유동화전문,,신용공여,국민은행,60.0,2023.02.28,본,,AAA (sf),2019.08.21,S,유동화익스포져
엘에이치마이홈오차유동화전문,,신용공여,우리은행,325.0,2023.02.25,정기,AAA (sf),AAA (sf),2019.08.13,S,유동화익스포져
에스타이거제오차,,유동성 및 신용공여,신한은행,520.0,2022.08.07,본,,A- (sf),2019.08.07,S,유동화익스포져
유플러스파이브지제사십육차유동화전문,,신용공여,신한은행,22.0,2023.02.07,본,,AAA (sf),2019.07.29,S,유동화익스포져
티월드제삼십구차유동화전문,,신용공여,국민은행,75.0,2023.01.31,본,,AAA (sf),2019.07.23,S,유동화익스포져
하나디스플레이제일차,,유동성 및 신용공여,하나은행,2000.0,2023.03.27,정기,AA- (sf),AA- (sf),2019.07.09,S,유동화익스포져
기가엘티이제삼십칠차유동화전문,,신용공여,신한은행,120.0,2021.10.06,정기,AAA (sf),AAA (sf),2019.07.03,S,유동화익스포져
티월드제이십일차유동화전문,,신용공여,신한은행,80.0,2021.08.12,정기,AAA (sf),AAA (sf),2019.07.03,S,유동화익스포져
불두제일차,,유동성 및 신용공여,중소기업은행,648.0,2024.04.01,정기,AA- (sf),AA- (sf),2019.07.02,S,유동화익스포져
스텔라인천제일차,,유동성 및 신용공여,하나은행,1137.0,2023.08.01,본,,A+ (sf),2019.07.01,S,유동화익스포져
엔에이치디스플레이제일차,,유동성 및 신용공여,농협은행,2005.0,2021.08.09,정기,AA- (sf),AA- (sf),2019.06.27,S,유동화익스포져
신보2019제7차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,2049.10902,2022.07.08,수시,AAA (sf),AAA (sf),2019.06.24,S,유동화익스포져
우리한숲제일차,,유동성공여,우리은행,5.0,2024.06.24,본,,A+ (sf),2019.06.24,S,유동화익스포져
퍼스트파이브지제사십오차유동화전문,,신용공여,국민은행,96.9,2024.02.02,본,,AAA (sf),2019.06.24,S,유동화익스포져
신보2019제7차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,2065.97606,2022.07.08,본,,AAA (sf),2019.06.20,S,유동화익스포져
티월드제삼십팔차유동화전문,,신용공여,신한은행,75.0,2022.12.28,본,,AAA (sf),2019.06.19,S,유동화익스포져
하나에이치인더홀딩스제일차,,유동성 및 신용공여,하나은행,1500.0,2024.06.04,본,,A- (sf),2019.06.04,S,유동화익스포져
기가엘티이제삼십육차유동화전문,,신용공여,농협은행,97.5,2021.07.28,정기,AAA (sf),AAA (sf),2019.05.30,S,유동화익스포져
유플러스엘티이제사십오차유동화전문,,신용공여,하나은행,22.0,2022.12.07,본,,AAA (sf),2019.05.29,S,유동화익스포져
신보2019제5차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,2025.705,2022.06.10,수시,AAA (sf),AAA (sf),2019.05.27,S,유동화익스포져
유플러스엘티이제삼십칠차유동화전문,,신용공여,신한은행,22.0,2021.08.09,정기,AAA (sf),AAA (sf),2019.05.24,S,유동화익스포져
신보2019제5차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,2068.5,2022.06.10,본,,AAA (sf),2019.05.22,S,유동화익스포져
티월드제삼십육차유동화전문,,신용공여,신한은행,90.0,2022.11.30,본,,AAA (sf),2019.05.22,S,유동화익스포져
카드오토제일차유동화전문,,신용공여,국민은행,100.0,2022.11.27,본,,AAA (sf),2019.05.10,S,유동화익스포져
리디파인여수죽림,,유동성 및 신용공여,신한은행,300.0,2022.01.22,본,,AA- (sf),2019.04.22,S,유동화익스포져
퍼스트파이브지제사십사차유동화전문,,신용공여,중소기업은행,88.2,2022.11.30,본,,AAA (sf),2019.04.22,S,유동화익스포져
티월드제삼십오차유동화전문,,신용공여,신한은행,40.0,2022.10.30,본,,AAA (sf),2019.04.19,S,유동화익스포져
리치게이트대명,,유동성 및 신용공여,중소기업은행,400.0,2023.11.02,본,,AAA (sf),2019.04.12,S,유동화익스포져
써니금융제십차,,유동성 및 신용공여,신한은행,300.0,2022.04.05,본,,A (sf),2019.04.05,S,유동화익스포져
우리에이치제이제삼차,,유동성 및 신용공여,우리은행,300.0,2022.04.04,본,,A- (sf),2019.04.03,S,유동화익스포져
유플러스엘티이제사십사차유동화전문,,신용공여,국민은행,22.0,2022.10.08,본,,AAA (sf),2019.03.29,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,수시,BBB+ (sf),BBB+ (sf)↓,2019.03.22,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,수시,BBB+ (sf),BBB+ (sf)↓,2019.03.22,S,유동화익스포져
신보2019제1차유동화전문,한국산업은행이 제공하는 신용공여,신용공여,한국산업은행,1074.75,2022.04.08,본,,AAA (sf),2019.03.21,S,유동화익스포져
티월드제삼십사차유동화전문,,신용공여,국민은행,30.0,2022.09.28,본,,AAA (sf),2019.03.19,S,유동화익스포져
우리디스플레이제이차,,유동성 및 신용공여,우리은행,2000.0,2023.03.02,정기,AA- (sf),AA- (sf),2019.03.13,S,유동화익스포져
에스에이치이노제일차,,유동성 및 신용공여,신한은행,700.0,2021.10.18,정기,AA- (sf),AA- (sf),2019.03.05,S,유동화익스포져
퍼스트파이브지제사십삼차유동화전문,,신용공여,신한은행,115.5,2022.10.07,본,,AAA (sf),2019.02.27,S,유동화익스포져
티월드제삼십삼차유동화전문,,신용공여,국민은행,30.0,2022.08.28,본,,AAA (sf),2019.02.20,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,정기,BBB+ (sf),BBB+ (sf),2019.02.19,S,유동화익스포져
엔에이치디스플레이제일차,,유동성 및 신용공여,농협은행,2005.0,2021.08.09,수시,AA (sf),AA- (sf),2019.02.13,S,유동화익스포져
우리디스플레이제삼차,,유동성 및 신용공여,우리은행,1000.0,2023.01.28,수시,AA (sf),AA- (sf),2019.02.13,S,유동화익스포져
우리디스플레이제이차,,유동성 및 신용공여,우리은행,2000.0,2023.03.02,수시,AA (sf),AA- (sf),2019.02.13,S,유동화익스포져
하나디스플레이제일차,,유동성 및 신용공여,하나은행,2000.0,2023.03.27,수시,AA (sf),AA- (sf),2019.02.13,S,유동화익스포져
우리디스플레이제삼차,,유동성 및 신용공여,우리은행,1000.0,2023.01.28,본,,AA (sf),2019.01.25,S,유동화익스포져
유플러스엘티이제사십삼차유동화전문,,신용공여,신한은행,27.5,2022.08.07,본,,AAA (sf),2019.01.24,S,유동화익스포져
에스솔루션제일차,,유동성 및 신용공여,신한은행,137.68,2021.11.29,정기,AA (sf),AA (sf),2019.01.23,S,유동화익스포져
티월드제삼십이차유동화전문,,신용공여,국민은행,45.0,2022.07.31,본,,AAA (sf),2019.01.22,S,유동화익스포져
보령터미널제일차,,유동성공여,우리은행,20.0,2037.01.28,정기,AA- (sf),AA- (sf),2019.01.21,S,유동화익스포져
신한웨이제일차,,유동성 및 신용공여,신한은행,300.0,2021.12.18,본,,A (sf),2018.12.18,S,유동화익스포져
티월드제삼십일차유동화전문,,신용공여,신한은행,50.0,2022.06.27,본,,AAA (sf),2018.12.18,S,유동화익스포져
기가엘티이제사십이차유동화전문,,신용공여,농협은행,103.2,2022.07.22,본,,AAA (sf),2018.12.14,S,유동화익스포져
금호트러스트제일차,,유동성 및 신용공여,우리은행,902.0,2023.07.19,정기,BB+ (sf),BB+ (sf),2018.12.04,S,유동화익스포져
유플러스엘티이제사십이차유동화전문,,신용공여,하나은행,33.0,2022.06.07,본,,AAA (sf),2018.11.29,S,유동화익스포져
티월드제삼십차유동화전문,,신용공여,신한은행,35.0,2022.06.03,본,,AAA (sf),2018.11.22,S,유동화익스포져
아시아나사이공,,유동성 및 신용공여,우리은행,572.0,2023.07.19,정기,CCC (sf),CCC (sf),2018.11.07,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,본,,BBB+ (sf),2018.11.01,S,유동화익스포져
기가엘티이제사십일차유동화전문,,신용공여,신한은행,99.6,2022.05.31,본,,AAA (sf),2018.10.23,S,유동화익스포져
티월드제이십구차유동화전문,,신용공여,신한은행,45.0,2022.04.30,본,,AAA (sf),2018.10.23,S,유동화익스포져
신보2018제6차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,3290.3443,2021.11.05,수시,AAA (sf),AAA (sf),2018.10.22,S,유동화익스포져
신보2018제6차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,3351.6319,2021.11.05,본,,AAA (sf),2018.10.17,S,유동화익스포져
유플러스엘티이제사십일차유동화전문,,신용공여,국민은행,22.0,2022.04.12,본,,AAA (sf),2018.10.02,S,유동화익스포져
불두제일차,,유동성 및 신용공여,중소기업은행,648.0,2024.04.01,정기,AA- (sf),AA- (sf),2018.09.28,S,유동화익스포져
티월드제이십팔차유동화전문,,신용공여,신한은행,25.0,2022.03.28,본,,AAA (sf),2018.09.14,S,유동화익스포져
마에스트로신반포,,유동성 및 신용공여,신한은행,600.0,2022.10.31,본,,A (sf),2018.08.30,S,유동화익스포져
기가엘티이제사십차유동화전문,,신용공여,중소기업은행,92.4,2022.03.31,본,,AAA (sf),2018.08.23,S,유동화익스포져
티월드제이십칠차유동화전문,,신용공여,국민은행,35.0,2022.02.28,본,,AAA (sf),2018.08.22,S,유동화익스포져
엘에이치마이홈오차유동화전문,,신용공여,우리은행,325.0,2023.02.25,정기,AAA (sf),AAA (sf),2018.08.14,S,유동화익스포져
오션드림제일차,,유동성 및 신용공여,하나은행,250.0,2022.07.30,본,,A- (sf),2018.07.30,S,유동화익스포져
유플러스엘티이제사십차유동화전문,,신용공여,신한은행,22.0,2022.02.08,본,,AAA (sf),2018.07.30,S,유동화익스포져
에스타이거제이차,,유동성 및 신용공여,우리은행,200.0,2021.07.23,본,,A- (sf),2018.07.23,S,유동화익스포져
티월드제이십육차유동화전문,,신용공여,국민은행,40.0,2022.01.31,본,,AAA (sf),2018.07.20,S,유동화익스포져
기가엘티이제삼십구차유동화전문,,신용공여,우리은행,90.6,2022.01.28,본,,AAA (sf),2018.06.21,S,유동화익스포져
티월드제이십오차유동화전문,,신용공여,국민은행,40.0,2022.01.02,본,,AAA (sf),2018.06.21,S,유동화익스포져
유플러스엘티이제삼십구차유동화전문,,신용공여,하나은행,33.0,2021.12.07,본,,AAA (sf),2018.05.28,S,유동화익스포져
티월드제이십사차유동화전문,,신용공여,국민은행,30.0,2021.11.30,본,,AAA (sf),2018.05.21,S,유동화익스포져
에스솔루션제일차,,유동성 및 신용공여,신한은행,137.68,2021.11.29,수시,AA- (sf),AA (sf),2018.05.17,S,유동화익스포져
기가엘티이제삼십팔차유동화전문,,신용공여,국민은행,96.3,2021.11.30,본,,AAA (sf),2018.04.20,S,유동화익스포져
티월드제이십삼차유동화전문,,신용공여,국민은행,75.0,2021.10.30,본,,AAA (sf),2018.04.19,S,유동화익스포져
