기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,유효기간,요지,재무,보고서,Type
에스케이에코플랜트(주),본,,A2-,2021.07.16,2021.07.19,2020.12.31,2022.06.30,,,,기업어음
에스케이디스커버리(주),본,,A2,2021.07.12,2021.07.13,2020.12.31,2022.06.30,,,,기업어음
넷마블에프앤씨(주)((주)신한은행 보증),본,,A1,2021.07.09,2021.07.09,2020.12.31,2022.06.30,,,,기업어음
(주)세아제강지주,본,,A2,2021.07.07,2021.07.07,2020.12.31,2022.06.30,,,,기업어음
(주)케이이씨((주)신한은행 보증),본,,A1,2021.07.05,2021.07.05,2020.12.31,2022.06.30,,,,기업어음
삼척블루파워(주),본,,A1,2021.07.02,2021.07.05,2020.12.31,2022.06.30,,,,기업어음
벽산페인트(주)((주)신한은행 보증),본,,A1,2021.07.02,2021.07.02,2020.12.31,2022.06.30,,,,기업어음
대동기어(주)((주)대동 보증),본,,A3,2021.07.01,2021.07.01,2020.12.31,2022.06.30,,,,기업어음
(사)한국무역협회,본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(재)한국장학재단,본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)대림,본,,A2+,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)신세계인터내셔날,본,,A2+,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)아모레퍼시픽,본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)엘지하우시스,수시,A1,A2+,2021.06.29,2021.06.30,2020.12.31,2021.06.30,,,,기업어음
(주)우리카드,본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)이랜드리테일,본,,A3+,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)제주대동((주)대동 보증),본,,A3,2021.06.30,2021.06.30,2020.12.31,2022.05.04,,,,기업어음
(주)제주대동((주)대동 보증),본,,A3,2021.06.30,2021.06.30,2020.12.31,2022.04.29,,,,기업어음
(주)조선호텔앤리조트,본,,A2-,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)케이티에스테이트,본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)태영건설,본,,A2,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(주)호텔롯데,본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
대한해운(주),본,,A3,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
롯데쇼핑(주),본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
롯데컬처웍스(주),본,,A2,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
씨제이대한통운(주),본,,A1,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
씨제이포디플렉스(주),본,,A3-,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
에스케이렌터카(주),본,,A2,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
웰릭스캐피탈(주)(웰컴크레디라인대부(주) 보증),본,,A3,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
유진투자증권(주),본,,A2+,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
하나에프앤아이(주),본,,A2,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
한국조폐공사,본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
한국증권금융(주),본,,A1,2021.06.29,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
한국캐피탈(주),본,,A2,2021.06.30,2021.06.30,2020.12.31,2022.06.30,,,,기업어음
(사)과학기술인공제회,본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)대동,본,,A3,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)바디프랜드,본,,A3+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)이랜드월드,본,,A3,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)케이이씨((주)신한은행 보증),본,,A1,2021.06.29,2021.06.29,2020.12.31,2021.07.05,,,,기업어음
(주)코람코자산신탁,본,,A2,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)티에스케이코퍼레이션,본,,A2+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)한국토지신탁,본,,A2,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
군인공제회,본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
대동기어(주)((주)대동 보증),본,,A3,2021.06.29,2021.06.29,2020.12.31,2021.07.23,,,,기업어음
대동기어(주)((주)대동 보증),본,,A3,2021.06.29,2021.06.29,2020.12.31,2021.11.04,,,,기업어음
대한석탄공사,본,,A1,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
롯데제과(주),본,,A1,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
롯데지알에스(주),본,,A2,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
롯데푸드(주),본,,A1,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
신한캐피탈(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
씨제이푸드빌(주),본,,A3,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
에스케이머티리얼즈(주),본,,A2+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
엠캐피탈(주),본,,A2-,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
우리금융캐피탈(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
케이티비네트워크(주),본,,A3+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
코리아신탁(주),본,,A3+,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
하이투자증권(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
한국가스공사,본,,A1,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
한국광물자원공사,본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
한국체인공업(주)((주)대동 보증),본,,A3,2021.06.29,2021.06.29,2020.12.31,2021.09.24,,,,기업어음
한국투자증권(주),본,,A1,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
한양증권(주),본,,A2,2021.06.29,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
현대종합특수강(주),본,,A2-,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
화성산업(주),본,,A3-,2021.06.28,2021.06.29,2020.12.31,2022.06.30,,,,기업어음
(주)부영주택,본,,A3+,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
롯데건설(주),본,,A2+,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
미래에셋증권(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
부국증권(주),본,,A2+,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
에스케이이노베이션(주),본,,A1,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
유안타증권(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
제이티비씨스포츠(주)(제이티비씨스튜디오(주) 보증),본,,A3,2021.06.28,2021.06.28,2020.12.31,2022.01.27,,,,기업어음
제이티비씨플러스(주)(제이티비씨스튜디오(주) 보증),본,,A3,2021.06.28,2021.06.28,2020.12.31,2022.01.27,,,,기업어음
케이비부동산신탁(주),본,,A2+,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
포스코에너지(주),본,,A1,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
한국중부발전(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
한솔피엔에스(주),본,,A3,2021.06.25,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
현대차증권(주),본,,A1,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
흥국증권(주),본,,A3,2021.06.28,2021.06.28,2020.12.31,2022.06.30,,,,기업어음
(주)메리츠금융지주,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)케이비금융지주,본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)한섬,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)현대그린푸드,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)현대백화점,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)현대홈쇼핑,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
JB우리캐피탈(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
두산중공업(주),본,,A3-◆,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
롯데칠성음료(주),본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
벽산페인트(주)((주)신한은행 보증),본,,A1,2021.06.24,2021.06.25,2020.12.31,2021.07.05,,,,기업어음
삼성증권(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
앤알캐피탈대부(주)((주)리드코프 보증),본,,A3-,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
이베스트투자증권(주),본,,A2+,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
중소벤처기업진흥공단,본,,A1,2021.06.24,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
청도유업(주)((주)신한은행 보증),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.03.24,,,,기업어음
한국지역난방공사,본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
한화종합화학(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
한화토탈(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
현대오일뱅크(주),본,,A1,2021.06.25,2021.06.25,2020.12.31,2022.06.30,,,,기업어음
(주)다우데이타,본,,A2,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)리드코프,본,,A3-,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)서울신문사,본,,A3+,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)신한금융지주회사,본,,A1,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)에스비에스,본,,A1,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)엘아이지,본,,A2+,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)지에스,본,,A1,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)지에스스포츠,본,,A3+,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)효성,본,,A2,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
공무원연금공단,본,,A1,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
두산건설(주),본,,B-,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
씨제이(주),본,,A1,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
에스비에스미디어홀딩스(주),본,,A1,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
예스이십사(주)((주)신한은행 보증),본,,A1,2021.06.23,2021.06.24,2020.12.31,2021.12.08,,,,기업어음
지에스에너지(주),본,,A1,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
지에스칼텍스(주),본,,A1,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
케이비증권(주),본,,A1,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
케이티비투자증권(주),본,,A2-,2021.06.23,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
키움증권(주),본,,A1,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
효성첨단소재(주),본,,A2,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
효성티앤씨(주),본,,A2,2021.06.24,2021.06.24,2020.12.31,2022.06.30,,,,기업어음
(주)동방,본,,A3-,2021.06.22,2021.06.23,2020.12.31,2022.06.30,,,,기업어음
(주)신세계,본,,A1,2021.06.22,2021.06.23,2020.12.31,2022.06.30,,,,기업어음
(주)한솔홈데코,본,,A3,2021.06.22,2021.06.23,2020.12.31,2022.06.30,,,,기업어음
아프로파이낸셜대부(주),본,,A2-,2021.06.23,2021.06.23,2020.12.31,2022.06.30,,,,기업어음
오케이홀딩스대부(주)(아프로파이낸셜대부(주) 보증),본,,A2-,2021.06.23,2021.06.23,2020.12.31,2022.06.30,,,,기업어음
웰컴크레디라인대부(주),본,,A3,2021.06.23,2021.06.23,2020.12.31,2022.06.30,,,,기업어음
(주)BNK투자증권,본,,A1,2021.06.21,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
(주)서원유통((주)신한은행 보증),본,,A1,2021.06.22,2021.06.22,2020.12.31,2021.11.24,,,,기업어음
(주)신세계센트럴시티,본,,A1,2021.06.21,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
(주)케이씨씨,본,,A1,2021.06.21,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
(주)포스코아이씨티,본,,A2+,2021.06.21,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
롯데캐피탈(주),본,,A1,2021.06.21,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
신성통상(주),정기,A3-,A3-,2021.06.21,2021.06.22,2020.06.30,2021.12.31,,,,기업어음
신한금융투자(주),본,,A1,2021.06.21,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
한영과학(주)((주)신한은행 보증),본,,A1,2021.06.22,2021.06.22,2020.12.31,2021.10.29,,,,기업어음
한화투자증권(주),본,,A1,2021.06.22,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
현대삼호중공업(주),본,,A2-,2021.06.22,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
현대중공업(주),본,,A2,2021.06.22,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
현대캐피탈(주),본,,A1,2021.06.21,2021.06.22,2020.12.31,2022.06.30,,,,기업어음
(주)갈라인터내셔널((주)신한은행 보증),정기,A1,A1,2021.06.18,2021.06.21,2020.06.30,2021.12.20,,,,기업어음
(주)동원에프앤비,본,,A1,2021.06.18,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
(주)케이씨씨글라스,본,,A1,2021.06.21,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
강원도개발공사,본,,A1,2021.06.18,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
대신에프앤아이(주),본,,A2,2021.06.21,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
롯데알미늄(주),본,,A2+,2021.06.18,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
미래에셋캐피탈(주),본,,A1,2021.06.21,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
엘에스엠트론(주),본,,A2-,2021.06.18,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
하나캐피탈(주),본,,A1,2021.06.21,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
현대커머셜(주),본,,A1,2021.06.21,2021.06.21,2020.12.31,2022.06.30,,,,기업어음
(의)숭인의료재단((주)신한은행 보증),본,,A1,2021.06.18,2021.06.18,2020.12.31,2022.06.17,,,,기업어음
가온전선(주),본,,A2,2021.06.18,2021.06.18,2020.12.31,2022.06.30,,,,기업어음
에스케이루브리컨츠(주),본,,A1,2021.06.17,2021.06.18,2020.12.31,2022.06.30,,,,기업어음
에스케이매직(주),본,,A2+,2021.06.17,2021.06.18,2020.12.31,2022.06.30,,,,기업어음
에스케이실트론(주),본,,A2,2021.06.17,2021.06.18,2020.12.31,2022.06.30,,,,기업어음
에스케이씨(주),본,,A2+,2021.06.17,2021.06.18,2020.12.31,2022.06.30,,,,기업어음
에스케이증권(주),본,,A2+,2021.06.17,2021.06.18,2020.12.31,2022.06.30,,,,기업어음
(주)대창석유((주)신한은행 보증),본,,A1,2021.06.17,2021.06.17,2020.12.31,2022.06.17,,,,기업어음
(주)서부티엔디((주)신한은행 보증),본,,A1,2021.06.17,2021.06.17,2020.12.31,2022.06.16,,,,기업어음
넷마블(주),본,,A1,2021.06.16,2021.06.17,2020.12.31,2022.06.30,,,,기업어음
삼성중공업(주),본,,A3,2021.06.16,2021.06.17,2020.12.31,2022.06.30,,,,기업어음
서영이앤티(주)((주)신한은행 보증),본,,A1,2021.06.17,2021.06.17,2020.12.31,2022.06.17,,,,기업어음
인천도시공사,본,,A1,2021.06.17,2021.06.17,2020.12.31,2022.06.30,,,,기업어음
현대제철(주),본,,A1,2021.06.17,2021.06.17,2020.12.31,2022.06.30,,,,기업어음
(주)세아창원특수강,본,,A2+,2021.06.15,2021.06.16,2020.12.31,2022.06.30,,,,기업어음
(주)에스알,본,,A1,2021.06.16,2021.06.16,2020.12.31,2022.06.30,,,,기업어음
(주)엘지생활건강,본,,A1,2021.06.15,2021.06.16,2020.12.31,2022.06.30,,,,기업어음
(주)평택로지스틱스((주)신한은행 보증),본,,A1,2021.06.16,2021.06.16,2020.12.31,2022.06.16,,,,기업어음
씨제이프레시웨이(주),본,,A2,2021.06.15,2021.06.16,2020.12.31,2022.06.30,,,,기업어음
하이트진로(주),본,,A2,2021.06.15,2021.06.16,2020.12.31,2022.06.30,,,,기업어음
(주)약진통상((주)신한은행 보증),본,,A1,2021.06.14,2021.06.15,2020.12.31,2021.10.14,,,,기업어음
(주)하이프라자,본,,A2+,2021.06.14,2021.06.15,2020.12.31,2022.06.30,,,,기업어음
에스케이텔레콤(주),본,,A1,2021.06.15,2021.06.15,2020.12.31,2022.06.30,,,,기업어음
엔에이치농협캐피탈(주),본,,A1,2021.06.15,2021.06.15,2020.12.31,2022.06.30,,,,기업어음
한국투자캐피탈(주),본,,A2,2021.06.15,2021.06.15,2020.12.31,2022.06.30,,,,기업어음
한국투자캐피탈(주)(한국투자금융지주(주) 보증),본,,A1,2021.06.15,2021.06.15,2020.12.31,2021.12.31,,,,기업어음
(주)광주신세계,본,,A1,2021.06.11,2021.06.14,2020.12.31,2022.06.30,,,,기업어음
(주)메이븐에프씨((주)신한은행 보증),본,,A1,2021.06.14,2021.06.14,2020.12.31,2021.10.25,,,,기업어음
(주)신세계동대구복합환승센터,본,,A2+,2021.06.11,2021.06.14,2020.12.31,2022.06.30,,,,기업어음
(주)아이비케이캐피탈,본,,A1,2021.06.14,2021.06.14,2020.12.31,2022.06.30,,,,기업어음
(주)엔아이스틸((주)신한은행 보증),본,,A1,2021.06.14,2021.06.14,2020.12.31,2022.06.13,,,,기업어음
디엘이앤씨(주),본,,A1,2021.06.14,2021.06.14,,2022.06.30,,,,기업어음
롯데정보통신(주),본,,A1,2021.06.11,2021.06.14,2020.12.31,2022.06.30,,,,기업어음
세메스(주),본,,A1,2021.06.14,2021.06.14,2020.12.31,2022.06.30,,,,기업어음
한국투자금융지주(주),본,,A1,2021.06.11,2021.06.14,2020.12.31,2022.06.30,,,,기업어음
(주)씨제이이엔엠,본,,A1,2021.06.10,2021.06.11,2020.12.31,2022.06.30,,,,기업어음
(주)엘지유플러스,본,,A1,2021.06.10,2021.06.11,2020.12.31,2022.06.30,,,,기업어음
(주)케이티스카이라이프,본,,A1,2021.06.10,2021.06.11,2020.12.31,2022.06.30,,,,기업어음
금호석유화학(주),수시,A2,A2+,2021.06.10,2021.06.11,2020.12.31,2021.06.30,,,,기업어음
롯데카드(주),본,,A1,2021.06.11,2021.06.11,2020.12.31,2022.06.30,,,,기업어음
에스케이네트웍스서비스(주),본,,A2-,2021.06.10,2021.06.11,2020.12.31,2022.06.30,,,,기업어음
한국동서발전(주),본,,A1,2021.06.11,2021.06.11,2020.12.31,2022.06.30,,,,기업어음
(주)DGB캐피탈,본,,A2+,2021.06.09,2021.06.10,2020.12.31,2022.06.30,,,,기업어음
(주)삼천리,본,,A1,2021.06.09,2021.06.10,2020.12.31,2022.06.30,,,,기업어음
대신증권(주),본,,A1,2021.06.09,2021.06.10,2020.12.31,2022.06.30,,,,기업어음
에스케이브로드밴드(주),본,,A1,2021.06.10,2021.06.10,2020.12.31,2022.06.30,,,,기업어음
한국전력공사,본,,A1,2021.06.10,2021.06.10,2020.12.31,2022.06.30,,,,기업어음
(주)애큐온캐피탈,본,,A2,2021.06.09,2021.06.09,2020.12.31,2022.06.30,,,,기업어음
벡스인터코퍼레이션(주)((주)신한은행 보증),본,,A1,2021.06.08,2021.06.09,2020.12.31,2022.03.18,,,,기업어음
삼양화성(주)((주)신한은행 보증),본,,A1,2021.06.08,2021.06.09,2020.12.31,2022.01.13,,,,기업어음
엘에스니꼬동제련(주),본,,A1,2021.06.09,2021.06.09,2020.12.31,2022.06.30,,,,기업어음
키움캐피탈(주),본,,A3+,2021.06.09,2021.06.09,2020.12.31,2022.06.30,,,,기업어음
한국자산관리공사,본,,A1,2021.06.08,2021.06.09,2020.12.31,2022.06.30,,,,기업어음
현대일렉트릭앤에너지시스템(주),본,,A2-,2021.06.08,2021.06.09,2020.12.31,2022.06.30,,,,기업어음
(주)경농((주)신한은행 보증),본,,A1,2021.06.08,2021.06.08,2020.12.31,2022.06.07,,,,기업어음
(주)도화엔지니어링,본,,A2+,2021.06.07,2021.06.08,2020.12.31,2022.06.30,,,,기업어음
(주)두산,본,,A3,2021.06.07,2021.06.08,2020.12.31,2022.06.30,,,,기업어음
(주)비와이씨((주)신한은행 보증),본,,A1,2021.06.07,2021.06.08,2020.12.31,2021.09.17,,,,기업어음
엔에이치투자증권(주),본,,A1,2021.06.07,2021.06.08,2020.12.31,2022.06.30,,,,기업어음
(주)오뚜기,본,,A1,2021.06.04,2021.06.07,2020.12.31,2022.06.30,,,,기업어음
(주)화신,본,,A3,2021.06.07,2021.06.07,2020.12.31,2022.06.30,,,,기업어음
(주)휴세코((주)신한은행 보증),본,,A1,2021.06.07,2021.06.07,2020.12.31,2022.03.15,,,,기업어음
동원건설산업(주),본,,A3+,2021.06.04,2021.06.07,2020.12.31,2022.06.30,,,,기업어음
비엔케이캐피탈(주),본,,A1,2021.06.07,2021.06.07,2020.12.31,2022.06.30,,,,기업어음
서울주택도시공사,본,,A1,2021.06.04,2021.06.04,2020.12.31,2022.06.30,,,,기업어음
한국주택금융공사,본,,A1,2021.06.04,2021.06.04,2020.12.31,2022.06.30,,,,기업어음
한미사이언스(주)((주)신한은행 보증),본,,A1,2021.06.04,2021.06.04,2020.12.31,2022.02.22,,,,기업어음
한미약품(주)((주)신한은행 보증),본,,A1,2021.06.04,2021.06.04,2020.12.31,2022.02.04,,,,기업어음
KB캐피탈(주),본,,A1,2021.06.01,2021.06.02,2020.12.31,2022.06.30,,,,기업어음
(주)대명소노((주)신한은행 보증),본,,A1,2021.06.01,2021.06.01,2020.12.31,2022.03.22,,,,기업어음
(주)한익스프레스((주)신한은행 보증),본,,A1,2021.06.01,2021.06.01,2020.12.31,2022.05.31,,,,기업어음
산은캐피탈(주),본,,A1,2021.06.01,2021.06.01,2020.12.31,2022.06.30,,,,기업어음
(주)반도건설,본,,A3+,2021.05.28,2021.05.31,2020.12.31,2022.06.30,,,,기업어음
(주)케이비국민카드,본,,A1,2021.05.31,2021.05.31,2020.12.31,2022.06.30,,,,기업어음
(주)휠라홀딩스,본,,A2+,2021.05.28,2021.05.31,2020.12.31,2022.06.30,,,,기업어음
극동씨엠씨(주)((주)신한은행 보증),본,,A1,2021.05.31,2021.05.31,2020.12.31,2022.05.30,,,,기업어음
삼성카드(주),본,,A1,2021.05.31,2021.05.31,2020.12.31,2022.06.30,,,,기업어음
신한카드(주),본,,A1,2021.05.31,2021.05.31,2020.12.31,2022.06.30,,,,기업어음
하나카드(주),본,,A1,2021.05.31,2021.05.31,2020.12.31,2022.06.30,,,,기업어음
한화디펜스(주),본,,A1,2021.05.28,2021.05.31,2020.12.31,2022.06.30,,,,기업어음
현대카드(주),본,,A1,2021.05.28,2021.05.31,2020.12.31,2022.06.30,,,,기업어음
(주)케이티,본,,A1,2021.05.28,2021.05.28,2020.12.31,2022.06.30,,,,기업어음
(주)한라,본,,A3+,2021.05.27,2021.05.28,2020.12.31,2022.06.30,,,,기업어음
DB금융투자(주),본,,A1,2021.05.28,2021.05.28,2020.12.31,2022.06.30,,,,기업어음
효성화학(주),본,,A2,2021.05.27,2021.05.28,2020.12.31,2022.06.30,,,,기업어음
(주)삼원가든((주)신한은행 보증),본,,A1,2021.05.26,2021.05.26,2020.12.31,2022.05.26,,,,기업어음
동국제강(주),본,,A3-,2021.05.26,2021.05.26,2020.12.31,2022.06.30,,,,기업어음
(주)흥화,본,,A3,2021.05.25,2021.05.25,2020.12.31,2022.06.30,,,,기업어음
메리츠캐피탈(주),본,,A2+,2021.05.25,2021.05.25,2020.12.31,2022.06.30,,,,기업어음
메리츠캐피탈(주)((주)메리츠금융지주 보증),본,,A1,2021.05.25,2021.05.25,2020.12.31,2021.12.31,,,,기업어음
코스맥스바이오(주)((주)신한은행 보증),본,,A1,2021.05.25,2021.05.25,2020.12.31,2022.05.24,,,,기업어음
(주)조흥((주)신한은행 보증),본,,A1,2021.05.24,2021.05.24,2020.12.31,2022.05.20,,,,기업어음
매크로통상(주)((주)신한은행 보증),본,,A1,2021.05.24,2021.05.24,2020.12.31,2021.10.20,,,,기업어음
에스케이(주),본,,A1,2021.05.24,2021.05.24,2020.12.31,2022.06.30,,,,기업어음
연합자산관리(주),본,,A1,2021.05.24,2021.05.24,2020.12.31,2022.06.30,,,,기업어음
(주)신세계프라퍼티,본,,A2+,2021.05.20,2021.05.21,2020.12.31,2022.06.30,,,,기업어음
메리츠증권(주),본,,A1,2021.05.20,2021.05.21,2020.12.31,2022.06.30,,,,기업어음
세방리튬배터리(주)((주)신한은행 보증),본,,A1,2021.05.21,2021.05.21,2020.12.31,2022.05.23,,,,기업어음
코오롱인더스트리(주),본,,A2,2021.05.21,2021.05.21,2020.12.31,2022.06.30,,,,기업어음
현대로템(주),본,,A3+,2021.05.20,2021.05.20,2020.12.31,2022.06.30,,,,기업어음
(주)동아지질((주)신한은행 보증),본,,A1,2021.05.17,2021.05.17,2020.12.31,2021.11.04,,,,기업어음
(주)세아베스틸,본,,A2+,2021.05.14,2021.05.17,2020.12.31,2022.06.30,,,,기업어음
(주)세아홀딩스,본,,A2,2021.05.14,2021.05.17,2020.12.31,2022.06.30,,,,기업어음
삼성물산(주),본,,A1,2021.05.14,2021.05.14,2020.12.31,2022.06.30,,,,기업어음
쌍용건설(주),본,,A3,2021.05.14,2021.05.14,2020.12.31,2022.06.30,,,,기업어음
에이치디씨현대산업개발(주),본,,A2+,2021.05.13,2021.05.14,2020.12.31,2022.06.30,,,,기업어음
한화에너지(주),본,,A2+,2021.05.13,2021.05.14,2020.12.31,2022.06.30,,,,기업어음
롯데글로벌로지스(주),본,,A2,2021.05.11,2021.05.11,2020.12.31,2022.06.30,,,,기업어음
(주)덕양케미칼((주)신한은행 보증),본,,A1,2021.05.10,2021.05.10,2020.12.31,2022.05.09,,,,기업어음
동원산업(주),본,,A1,2021.05.07,2021.05.10,2020.12.31,2022.06.30,,,,기업어음
