title,date,video_url,view_num,likes_num,unlikes_num,comments
"아마존이 선택한 포인트모바일, 최대주주는 대출? / 공진단 / 한국경제TV",2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 2,614회",좋아요 53개,싫어요 없음,"포인트모바일 2021년 안에 70,000원 넘어간다.|날아가겠네 e커머스 공룡의 물류용 단말기라니...  거기다 대표와 지분이 비슷하다니..."
"시장의 구토현상, 추가 변동성에 대비하라! 뱅가드·블랙록이 노리는 것은? / 이승조의 진짜전략 / 한국경제TV",2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 79,365회","좋아요 2,350개",싫어요 68개,"무극선생님
통찰력은 정말 무극|노후를 대비해서 십년 묻어둘 주식 추천해 주세요~--|이승조 선생님 영상은 매일 챙겨 보고 있습니다.|이승조 선생 독특한 시황관 참 대단합니다.|대표님  감사합니다|감사합니다|이대표님 
👍👍👍👍👍|감사합니다|선생님   감사합니다|감사합니다 ~~~~|감사합니다|^^|현대로템도 큰 수익 보고 있네요
정말 고맙습니다^^|삼성전자 분할로 매도했어요~ 
놓기 가장 힘든 주식이었어요^^|에구 ㅉㅉ|고급정보 감사합니다|역시지존!|두분  고생이  많으십니다
주린이들이  많이  배우고 있습니다
복많이 받으시기를 기도드립니다|ㅎㅎ|무극슨상님감사합니다|와 오늘도 무극 선생님 무쌍 찍으셨다|무극선생님   차바이오텍   cmg주신종목 다 고맙습니다^^|지금이라도 팔아야 하나요|감사합니다|정말로 대단하신분 평생 존경합니다|11:25 까까오 너무 큐트하십니다 선생님|차바이오 수익 감사합니다|대표님  큰그림을 보게해주셔서 감사합니다 대표님 멋있어요  늘 응원합니다|시장에 대한 전략 감사합니다
그동안 종목만 볼려고 했지 시장대응은 신경쓰지않았는데 역시 주린이의 한계였내요 
미리 흐름을 알아두고 투자해야 성공하는 투자가 될수있는 시장..
좋은영상 감사합니다 대표님 다른영상도 찾아봐야겟내요
불사조님 슈카님  보면서 종목 수익만 챙겼었는데 이젠 무극샘님영상도 보며 시장공부할게요 ㅎㅎ|선생님말씀대로가두리네요|굿이예요♡♡♡|날카로운 지적입니다|늘감사드래ㅕ요~~~♡♡♡|감사합니다~~|이승조대표님 대단하십니다
감사합니다|무극 선생님  좋은말씀   감사합니다|선생님 감사합니다|너무 어려워요.|매주 화, 금 두분의 방송을
 기다리고 시청하고 있습니다
두분께 유익한 정보를 주셔서
감사드립니다~~|차바이오텍 대박 감사합니다~~^^"
"[한상춘의 지금세계는] / Fed 회의 이후 ‘7대 수수께기’ 현상…지속시 테슬라와 비트코인 ‘빅쇼트’, 삼전은? / 한국경제TV",2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 6,792회",좋아요 157개,싫어요 15개,
글로벌 급등주 7종목 점검 / THE PULSE  / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 2,535회",좋아요 55개,싫어요 1개,"예뻐요 너무!!^^|캐쥬얼 복장이 신선하네요..!!잘봤습니다.!!|이미 들어가긴 늦음 RSI 지표 보고 괜찮다 판단서면 투자하는거고|오르기전에 알려줘야죠 ㅠㅠ|이미 급등한거 알려주면 설겆이 당함|❤ * 티피씨글로벌 * 열배 간다 = 이재명 (이정훈 대표...동갑,안동출신,안동기업,향우회장)
        (안동기업- 동신건설...매출 300억 적자가 20배 상승...현재 시총 5,000억)
❤ 시총 500억...매출 800억  이익 30억  순자산 1,200억 - 코스닥 해성티피씨 지분만 500억
❤ 전기차&로봇감속기...BMW Crysler Ford TOYOTA  현기차=티피씨글로벌 *시총 1조 간다"
오늘장 놓쳐선 안 될 당신이 잠든사이 일어난 해외 이슈 7 / 출근전 꼭 봐야하는 글로벌 이슈 / 한국경제TV,2021. 6. 22.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 87,759회","좋아요 2,836개",싫어요 46개,"매 아침마다 잘 보고잇습니다|♥♥♥ 방송 날짜 표시 감사드립니다 !!!
표현이 제 의견보다 더 좋습니다 ^^
역시 시청자와 소통하는 방송이군요 ^^|좋은 뉴스 감사합니다.|잘보겠습니다~~!|매일 새벽부터 고생이 많으시네요. 오늘도 좋은 하루 되세요|기분 좋은 소식을 일찍 접하게 되어 행복합니다.
감사합니다.|이런 꺄끄 중독자들~

셀트리온 뭐하나
꺄끄치료제 개발안하고~|오늘하루도 꺄끄로 시작합니다|매일아침 미장 정리 해주셔서 잘 듣고 있습니다. 감사합니다^^|편집자님 설명란에 꺄끄나오는 시간도 추가하셨네 ㅋㅋㅋㅋ 센스 굳|멘트 너무 귀여워요! 꺄끄 ^^로 시작할께요 ~|아랫줄에 날짜도 써주고 .
꺄끄로 하루시작허라는...말 재밌어용.

고운님 꺄꿍♡|꺄끄^^~~~~~~~~~~~~ 얼굴울 한번 보고 오늘도 활기찬 하루 출발|오늘 하루도 꺄끄로 시작하세요!|고운누나의 꺄끄~♡|잘보고 갑니다^^ 채널운영에 좋은 공부가 되었어요~|감사합니다!~~~|고운님대박 오늘 너무이쁜디|좋아요~|감사합니다~~|화욜 꺄끙^^|항상 감사합니다~~|꺄끄로 하루 시작했습니다~|선플 선플~|까끙?|좋아요~~!|ㅋㅋㅋ오늘하루도 꺄끄로 시작하라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|졸려요, 아니 좋아요 꾹 1등. 그리고, 비트코인 32K 달러 깨고 내려가는 중. 업비트 비트코인은 3천8백만원 깨고 내려가는 중.|꺄끄누나 팬많당ㄷㄷ좋아요 눌렀습니다|꽈끄~|꺄끄♡|기분 좋게 시작해봅시다 최고의 하루!|감사합니다 ^^출석하고갑니다|아침마다 잘보고있습니다 항상 감사합니다|감사합니다|감사합니다|감사합니다|간밤 시장정리 이 뉴스로  끝나네요. 감사합니다|아침에 늘 이방송보고 하루를 시작합니다 감사합니다|감사합니다"
"상승하는 강판가격, 역대급 영업이익! '최강의 실적주' / 퇴근길 꼭 봐야할 내일장 공략주 / 성공투자 오후증시 / 한국경제TV",2021. 6. 21.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 8,451회",좋아요 125개,싫어요 2개,"감사합니다 김도윤님  ^^|이경은 아나운서 미인이네요^^|뭐여 성괴네|◆ 삼성전자(우): 강력 매수 신호 발생 -->매수 적기
5달간 조정 마무리: 이젠 급등 시점!
보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
삼전(우): 공매도 제외: 우선주 공매도 염려 없어 상승 유리!

1. D램 슈퍼 사이클 도래
: 향후 3년간 반도체 실적 호황기
최근 D램값 70% 급등으로, 
실적 급증+주가 상승 당연지사!

2. 파운드리(위탁생산): 역대 최고 실적 전망!
올해 20조 이상: 3년전 11조 대비, 100% 성장 전망
특히, 인텔 물량수주로 대박
: 실적과 주가 급등 요인!

3. 스마트폰 최고 실적 전망
: 스마트 3억대 판매 목표!
폴더블 스마트폰: 高價로, 실적증가에 큰 보탬 될 것

4. 삼전(우): 배당 증가 4%: 현금 보유액 110조 이상+향후 3년 실적 급증
향후 주가 급등과 배당 증가 전망
: 매수 이유 충분!

◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더 많아 유리
시스템반도체 성장성 매우 커, 2년내 20만원 전망
-->매수 기회!"
"초성장주 고르는 법 수소, 메타버스, 전기차 / 최성민의 빅샷+ / 최성민 앵커 글로벌 투자 전략가 / 한국경제TV",2021. 6. 21.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 7,733회",좋아요 228개,싫어요 10개,"감사합니다 ^^|감사합니다|최근에 메타버스 열풍을 타고 재출간된 sf소설 <스노 크래시> 추천합니다. 재미있어요. 소개해 주세요~~~|◆ 삼성전자(우): 강력 매수 신호 발생 -->매수 적기
5달간 조정 마무리: 이젠 급등 시점!
보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
삼전(우): 공매도 제외: 우선주 공매도 염려 없어 상승 유리!

1. D램 슈퍼 사이클 도래
: 향후 3년간 반도체 실적 호황기
최근 D램값 70% 급등으로, 
실적 급증+주가 상승 당연지사!

2. 파운드리(위탁생산): 역대 최고 실적 전망!
올해 20조 이상: 3년전 11조 대비, 100% 성장 전망
특히, 인텔 물량수주로 대박
: 실적과 주가 급등 요인!

3. 스마트폰 최고 실적 전망
: 스마트 3억대 판매 목표!
폴더블 스마트폰: 高價로, 실적증가에 큰 보탬 될 것

4. 삼전(우): 배당 증가 4%: 현금 보유액 110조 이상+향후 3년 실적 급증
향후 주가 급등과 배당 증가 전망
: 매수 이유 충분!

◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더 많아 유리
시스템반도체 성장성 매우 커, 2년내 20만원 전망
--> 매수 기회!|❤ * 티피씨글로벌 * 열배 간다 = 이재명 (이정훈 대표..동갑,안동출신,안동기업,향우회장)
        (안동기업- 동신건설...매출 300억 적자가 20배 상승...현재 시총 5,000억)
❤ 시총 500억...매출 800억  이익 30억  순자산 1,200억 - 코스닥 해성티피씨 지분만 500억
❤ 전기차& 로봇감속기..BMW Crysler Ford TOYOTA  현기차=티피씨글로벌 *시총 1조 간다"
반도체 수요는 계속된다 세정 장비주 톱픽은/ 최성민의 빅샷+ / 박영호 와우넷 파트너 / 한국경제TV,2021. 6. 21.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 8,363회",좋아요 195개,싫어요 5개,"^^|매일 경청합니다.
유익한 정보에 감사드립니다 ^^|ㅎㅎㅎㅎㅎㅎ거래정지인데요|삼전  닉스  외인  공매도 로   상 하로  장난질/개인은 안하는게 ~|❤ * 티피씨글로벌 * 열배 간다 = 이재명 (이정훈 대표..동갑,안동출신,안동기업,향우회장)
        (안동기업- 동신건설...매출 300억 적자가 20배 상승...현재 시총 5,000억)
❤ 시총 500억...매출 800억  이익 30억  순자산 1,200억 - 코스닥 해성티피씨 지분만 500억
❤ 전기차& 로봇감속기..BMW Crysler Ford TOYOTA  현기차=티피씨글로벌 *시총 1조 간다|◆ 삼성전자(우): 강력 매수 신호 발생 -->매수 적기
5달간 조정 마무리: 이젠 급등 시점!
보통주와 갭 줄이려, 우선주 급등 시점: 우선주 매수 유리!
삼전(우): 공매도 제외: 우선주 공매도 염려 없어 상승 유리!

1. D램 슈퍼 사이클 도래
: 향후 3년간 반도체 실적 호황기
최근 D램값 70% 급등으로, 
실적 급증+주가 상승 당연지사!

2. 파운드리(위탁생산): 역대 최고 실적 전망!
올해 20조 이상: 3년전 11조 대비, 100% 성장 전망
특히, 인텔 물량수주로 대박
: 실적과 주가 급등 요인!

3. 스마트폰 최고 실적 전망
: 스마트 3억대 판매 목표!
폴더블 스마트폰: 高價로, 실적증가에 큰 보탬 될 것

4. 삼전(우): 배당 증가 4%: 현금 보유액 110조 이상+향후 3년 실적 급증
향후 주가 급등과 배당 증가 전망
: 매수 이유 충분!

◆ 삼성전자(우): 보통주 보다 주가 저렴, 우선주가 배당 15% 더 많아 유리
시스템반도체 성장성 매우 커, 2년내 20만원 전망
--> 매수 기회!"
7월 거리두기 완화! 마스크 벗으면 이 종목을 주목하세요! 클리오·씨앤씨인터내셔널 / 나의 투자 / 도현정 메리츠증권 부장 / 생활 속 종목찾기 / 한국경제TV,2021. 6. 21.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 2,448회",좋아요 33개,싫어요 없음,"나라의 경제를 얘기하는데 모기를 부르신 그 분아닌가요?|클리오 이미 52주 최고가 찍었네요 다들 빠르세요|파리 아저씨 아닌가요 ?|씨앤씨 물려있는데 제발좀 가줘라~~|❤ * 티피씨글로벌 * 열배 간다 = 이재명 (이정훈 대표..동갑,안동출신,안동기업,향우회장)
        (안동기업- 동신건설...매출 300억 적자가 20배 상승...현재 시총 5,000억)
❤ 시총 500억...매출 800억  이익 30억  순자산 1,200억 - 코스닥 해성티피씨 지분만 500억
❤ 전기차& 로봇감속기..BMW Crysler Ford TOYOTA  현기차=티피씨글로벌 *시총 1조 간다"
"하반기 전망 ""반도체, 저가 매수 기회"" / 나의 투자 / 이재윤 유안타증권 연구위원 / 한국경제TV",2021. 6. 21.,http://www.youtube.com/watch?v=RUhpM39BS54,"조회수 39,744회",좋아요 737개,싫어요 20개,"사회자 옜날 그 파리 그분아닌가?  경제를 얘기하는데 파리가|SK하이닉스ᆢ
ㅠㅠ  갖고 있기 힘드네요|반도체에 파리가 앉아서 최근 않좋은 것.|메모리 반도체 는  절대 사지말자 / 단 헐값에만 매수 하자~|삼전 좋은거 누가 모르나.. 중단기적으로는 수급이 좌우. 국민연금 7개월 연속매도가 풀려야 간다 그전에는 가망 없다|조만간  쏜다아아|아무리좋으면무얼합니까ㅡ반도체  말로만십만원간다  이런소리는안했으면좋겠네오|전문가란분들이 지난간 과거을 가지고 해석은 누가나 해용. 실적을 보고 오르는건 누구나 알아영^^|지처요 지쳐|파리아저씨넹|유안타도 반도체에 물린건가|삼성전자 좋다고한것이 선반영된거네요^^|돈벌자 오빠들|그런데,  너희들은 왜 파니?
나쁜 자들이 그입을 놀리나?|한경 전문가들 삼전을 빠져도, 올라도,보합에도 검색 1위에 올려놓고 10전자  삼전 어천가를 불러대더니 이제는 하반기를 보라하네. 국민주는 삼전이 아니라 카카옵니다.|저 유안타증권에 유동원이라는 사람이 반도체, 퀄컴, 신재생에너지 상승여력 100%넘는다고 너무좋으니 매수하라고 약간의 조정왔을땐 흔들리지 말고 추가매수하라고...그런데 지금 퀄컴 (-20%) & 태양광 (-40%) 바닥에서 5개월째 머무르고 있습니다!!! 반도체는 나스닥지수 최고점일때 전고점을 뚫지 못하고 다시하락!!! 본인이 나오면 비난 받으니 이제는  다른 사람을...ㅋㅋㅋ 본인방송에 비난댓글들은 모조리 삭제하고 좋은글만 남겨놓는 당신은 도대체 어떤 사람입니까??? (물론 도를 넘어서는 악플들에 대해선 삭제가능!!!).|주식 이젠 정말 떠나야할때 
코로나 전보다 지금 2배 오른상태
코로나 때문에 돈 풀어서 여기까직왔다 
그렇다고 코로나 전보다 월급이 2배 오른것도 아니고 물가는 지금도 
주식대비  10%정도 오른 상태다 
일시적 인플레이션 웃기는 소리 말아라   아무리 경제하고 담 싸놓고 
말한다고 해도  이것은  거품이고 
초 인플레이션 초입 부분에 있는것이다  
달러 긴축 지금도 늦었다 
그것을 감당 어찌할지 .|❤ * 티피씨글로벌 * 열배 간다 = 이재명 (이정훈 대표..동갑,안동출신,안동기업,향우회장)
        (안동기업- 동신건설...매출 300억 적자가 20배 상승...현재 시총 5,000억)
❤ 시총 500억...매출 800억  이익 30억  순자산 1,200억 - 코스닥 해성티피씨 지분만 500억
❤ 전기차& 로봇감속기..BMW Crysler Ford TOYOTA  현기차=티피씨글로벌 *시총 1조 간다|그놈의 반도체...전부 선반영임|제가 주식유튜브 안보는 채널이 없는데 주식 유튜버중 실시간 실전매매 원탑이네요
주식으로 10만원에서 30억으로 만들고 종목에 대한 매매 날짜랑 가격대 계좌까지 전부 다 까 놓고 매매하는데 승률이 계산해보니 98.7%더군요
[주식의정석]이란 채널인데 아마 은둔고수로 추정이되는데요 입으로 주식하는 사람들하고는 차원이 다르네요
광고 아니니 오해없으시길.."
