,순위,종목코드,종목명,주식종류,시장구분,주당배당금,시가배당율,액면가배당율,액면가,결산월
1201,1202,013690,이랜드리테일,보통주,기타비상장,0,0.00,36.00,"5,000",12
1202,1203,088980,맥쿼리한국인프라투융자회사,보통주,유가증권시장,720,0.00,12.91,0,12
1203,1204,178600,대동고려삼,보통주,코넥스시장,0,0.00,0.00,500,06
1204,1220,017555,수산중공업1우,우선주,기타비상장,15,0.00,3.00,500,12
1205,1221,030215,케이티비투자증권1우,우선주,기타비상장,"2,559",0.00,51.18,"5,000",12
1206,1222,032760,세종,보통주,기타비상장,0,0.00,1.30,"5,000",12
1207,1223,038990,넥스콘테크놀러지,보통주,기타비상장,"281,500",0.00,93.83,"300,000",12
1208,1224,035240,주택도시보증공사,보통주,기타비상장,0,0.00,3.40,"5,000",12
1209,1225,064400,엘지씨엔에스,보통주,기타비상장,855,0.00,171.00,500,12
1210,1226,039885,케이씨씨정보통신1우,우선주,기타비상장,0,0.00,20.00,500,12
1211,1227,050480,마이다스아이티,보통주,프리보드시장,150,0.00,30.00,500,12
1212,1228,046440,케이지모빌리언스,보통주,코스닥시장,220,0.00,44.00,500,12
1213,1229,068410,아코디스,보통주,기타비상장,50,0.00,10.00,500,12
1214,1230,078830,제이오텍,보통주,기타비상장,0,0.00,24.00,500,12
1215,1216,088980,맥쿼리한국인프라투융자회사,보통주,유가증권시장,720,0.00,12.91,0,12
1216,1217,178600,대동고려삼,보통주,코넥스시장,0,0.00,0.00,500,06
1217,1218,343470,케이비평촌리테일위탁관리부동산투자회사,보통주,기타비상장,0,0.00,36.42,"5,000",12
1218,1219,169330,마크로밀엠브레인,보통주,코스닥시장,220,0.00,44.00,500,06
1219,1235,038990,넥스콘테크놀러지,보통주,기타비상장,"281,500",0.00,93.83,"300,000",12
1220,1236,035240,주택도시보증공사,보통주,기타비상장,0,0.00,3.40,"5,000",12
1221,1237,064400,엘지씨엔에스,보통주,기타비상장,855,0.00,171.00,500,12
1222,1238,039885,케이씨씨정보통신1우,우선주,기타비상장,0,0.00,20.00,500,12
1223,1239,050480,마이다스아이티,보통주,프리보드시장,150,0.00,30.00,500,12
1224,1240,046440,케이지모빌리언스,보통주,코스닥시장,220,0.00,44.00,500,12
1225,1241,068410,아코디스,보통주,기타비상장,50,0.00,10.00,500,12
1226,1242,078830,제이오텍,보통주,기타비상장,0,0.00,24.00,500,12
1227,1243,099320,쎄트렉아이,보통주,코스닥시장,340,0.00,68.00,500,12
1228,1244,10384K,우양1우,우선주,기타비상장,50,0.00,50.00,100,12
1229,1245,126340,비나텍,보통주,코스닥시장,0,0.00,0.00,500,12
1230,1231,169330,마크로밀엠브레인,보통주,코스닥시장,220,0.00,44.00,500,06
1231,1232,017555,수산중공업1우,우선주,기타비상장,15,0.00,3.00,500,12
