회사명,채권종류,회차,발행액(억원),만기일,평가종류,직전등급,현재등급,평가일,리포트,Type
모트렉스,PP,7(P-CBO),80.0,,본,,BB-,2021.07.19,S,회사채
모트렉스,PP,7(P-CBO),80.0,,본,,안정적,2021.07.19,S,회사채
산은캐피탈,SB,671,,,본,,AA-,2021.07.19,S,회사채
산은캐피탈,SB,671,,,본,,안정적,2021.07.19,S,회사채
우리금융캐피탈,SB,422,,,본,,AA-,2021.07.19,S,회사채
우리금융캐피탈,SB,422,,,본,,안정적,2021.07.19,S,회사채
트루윈,BW1,11,200.0,2025.06.09,정기,B-,B-,2021.07.19,S,회사채
트루윈,BW1,11,200.0,2025.06.09,정기,안정적,안정적,2021.07.19,S,회사채
하나캐피탈,SB,333,,,본,,AA-,2021.07.19,S,회사채
하나캐피탈,SB,333,,,본,,안정적,2021.07.19,S,회사채
에스케이에코플랜트,SB,168-2,1000.0,,본,,A-,2021.07.16,S,회사채
에스케이에코플랜트,SB,168-2,1000.0,,본,,안정적,2021.07.16,S,회사채
두산인프라코어,SB,79,800.0,,본,,BBB↑,2021.07.15,S,회사채
두산인프라코어,SB,79,800.0,,본,,,2021.07.15,S,회사채
세일석유,PP,1(P-CBO),35.0,2022.12.19,정기,BB,BB,2021.07.15,S,회사채
세일석유,PP,1(P-CBO),35.0,2022.12.19,정기,안정적,안정적,2021.07.15,S,회사채
승진상사,PP,2(P-CBO),50.0,2023.10.28,정기,BB+,BB+,2021.07.15,S,회사채
승진상사,PP,2(P-CBO),50.0,2023.10.28,정기,안정적,안정적,2021.07.15,S,회사채
현대케미칼,SB,3,500.0,,본,,A,2021.07.15,S,회사채
현대케미칼,SB,3,500.0,,본,,안정적,2021.07.15,S,회사채
AJ네트웍스,SB,47,300.0,,본,,BBB+,2021.07.14,S,회사채
AJ네트웍스,SB,47,300.0,,본,,부정적,2021.07.14,S,회사채
대신증권,ELB,573,,,본,,AA-,2021.07.14,S,회사채
대신증권,ELB,573,,,본,,안정적,2021.07.14,S,회사채
디지비캐피탈,SB,73,,,본,,A+,2021.07.14,S,회사채
디지비캐피탈,SB,73,,,본,,안정적,2021.07.14,S,회사채
롯데카드,SB,442,,,본,,AA-,2021.07.14,S,회사채
롯데카드,SB,442,,,본,,안정적,2021.07.14,S,회사채
메리츠증권,ELB,193,,,본,,AA-,2021.07.14,S,회사채
메리츠증권,ELB,193,,,본,,안정적,2021.07.14,S,회사채
메리츠증권,DLB,238(DLB),,,본,,AA-,2021.07.14,S,회사채
메리츠증권,DLB,238(DLB),,,본,,안정적,2021.07.14,S,회사채
서진캠,PP,7(P-CBO),100.0,2023.06.25,정기,BB+,BB+,2021.07.14,S,회사채
서진캠,PP,7(P-CBO),100.0,2023.06.25,정기,안정적,안정적,2021.07.14,S,회사채
신성이엔지,BW1,37,300.0,2022.03.07,정기,B+,B+,2021.07.14,S,회사채
신성이엔지,BW1,37,300.0,2022.03.07,정기,안정적,안정적,2021.07.14,S,회사채
아이비케이캐피탈,SB,239-1,,,본,,AA-,2021.07.14,S,회사채
아이비케이캐피탈,SB,239-1,,,본,,안정적,2021.07.14,S,회사채
위니아딤채,PP,9(P-CBO),200.0,2023.05.28,정기,BB+,BB+,2021.07.14,S,회사채
위니아딤채,PP,9(P-CBO),200.0,2023.05.28,정기,부정적,부정적,2021.07.14,S,회사채
제주국제자유도시개발센터,PFB,9,1000.0,,본,,AAA,2021.07.14,S,회사채
제주국제자유도시개발센터,PFB,9,1000.0,,본,,안정적,2021.07.14,S,회사채
한국투자캐피탈,SB,65,,,본,,A,2021.07.14,S,회사채
한국투자캐피탈,SB,65,,,본,,안정적,2021.07.14,S,회사채
한국투자캐피탈,SB,66(한국투자금융지주 권면보증),,,본,,AA-,2021.07.14,S,회사채
한국투자캐피탈,SB,66(한국투자금융지주 권면보증),,,본,,안정적,2021.07.14,S,회사채
현대카드,SB,828,,,본,,AA,2021.07.14,S,회사채
현대카드,SB,828,,,본,,안정적,2021.07.14,S,회사채
에이디티캡스,SB,6-2,400.0,,본,,A,2021.07.13,S,회사채
에이디티캡스,SB,6-2,400.0,,본,,안정적,2021.07.13,S,회사채
한국석유공사,PFB,15,1000.0,,본,,AAA,2021.07.13,S,회사채
한국석유공사,PFB,15,1000.0,,본,,안정적,2021.07.13,S,회사채
선일다이파스,PP,1(P-CBO),70.0,2023.06.25,정기,BB-,BB-,2021.07.12,S,회사채
선일다이파스,PP,1(P-CBO),70.0,2023.06.25,정기,안정적,안정적,2021.07.12,S,회사채
아주산업,SB,35,700.0,,본,,A-,2021.07.09,S,회사채
아주산업,SB,35,700.0,,본,,안정적,2021.07.09,S,회사채
한국동서발전,SB,39-2,100.0,2031.07.13,본,,AAA,2021.07.09,S,회사채
한국동서발전,SB,39-2,100.0,2031.07.13,본,,안정적,2021.07.09,S,회사채
국동,BW1,9,200.0,2024.12.24,정기,BB-,BB-,2021.07.08,S,회사채
국동,BW1,9,200.0,2024.12.24,정기,안정적,안정적,2021.07.08,S,회사채
모트렉스,PP,3(P-CBO),43.0,2023.05.28,정기,BB-,BB-,2021.07.08,S,회사채
모트렉스,PP,3(P-CBO),43.0,2023.05.28,정기,안정적,안정적,2021.07.08,S,회사채
신한라이프생명보험,HB,1,3000.0,2050.08.11,수시,AA-↑,AA,2021.07.08,S,회사채
신한라이프생명보험,HB,1,3000.0,2050.08.11,수시,,안정적,2021.07.08,S,회사채
한국스탠다드차타드은행,SB,21-07-이02-09,2500.0,2024.07.09,본,,AAA,2021.07.08,S,회사채
한국스탠다드차타드은행,SB,21-07-이02-09,2500.0,2024.07.09,본,,안정적,2021.07.08,S,회사채
한국씨티은행,SB,25-07,,,본,,AAA,2021.07.08,S,회사채
한국씨티은행,SB,25-07,,,본,,안정적,2021.07.08,S,회사채
엠캐피탈,SB,283,,,본,,A-,2021.07.07,S,회사채
엠캐피탈,SB,283,,,본,,안정적,2021.07.07,S,회사채
농협손해보험,SBS,2,1000.0,2031.07.19,본,,A+,2021.07.06,S,회사채
농협손해보험,SBS,2,1000.0,2031.07.19,본,,안정적,2021.07.06,S,회사채
부산교통공사,PFB,2021-07,100.0,2024.07.08,본,,AAA,2021.07.06,S,회사채
부산교통공사,PFB,2021-07,100.0,2024.07.08,본,,안정적,2021.07.06,S,회사채
에코프로비엠,SB,4-2,500.0,2023.07.19,본,,BBB+,2021.07.06,S,회사채
에코프로비엠,SB,4-2,500.0,2023.07.19,본,,안정적,2021.07.06,S,회사채
제일제강공업,BW1,2,200.0,2023.12.04,정기,B,B,2021.07.06,S,회사채
제일제강공업,BW1,2,200.0,2023.12.04,정기,안정적,안정적,2021.07.06,S,회사채
태영건설,SB,68,1000.0,2024.07.19,본,,A,2021.07.06,S,회사채
태영건설,SB,68,1000.0,2024.07.19,본,,안정적,2021.07.06,S,회사채
SK가스,SB,39-2,700.0,,본,,AA-,2021.07.05,S,회사채
SK가스,SB,39-2,700.0,,본,,안정적,2021.07.05,S,회사채
유성티엔에스,PP,32(P-CBO),100.0,2023.04.23,정기,BB+,BB+,2021.07.05,S,회사채
유성티엔에스,PP,32(P-CBO),100.0,2023.04.23,정기,안정적,안정적,2021.07.05,S,회사채
팬스타엔터프라이즈,BW1,22,100.0,2025.06.08,정기,B+,B+,2021.07.05,S,회사채
팬스타엔터프라이즈,BW1,22,100.0,2025.06.08,정기,안정적,안정적,2021.07.05,S,회사채
씨씨에스충북방송,BW1,12,60.0,2022.09.26,정기,CCC,CCC,2021.07.02,S,회사채
씨씨에스충북방송,BW1,12,60.0,2022.09.26,정기,안정적,안정적,2021.07.02,S,회사채
에스앤지컨설턴트,SB,3,33.4,2027.09.27,정기,CCC,CCC,2021.07.02,S,회사채
에스앤지컨설턴트,SB,3,33.4,2027.09.27,정기,안정적,안정적,2021.07.02,S,회사채
한라홀딩스,SB,14-2,350.0,2026.02.02,정기,A,A,2021.07.02,S,회사채
한라홀딩스,SB,14-2,350.0,2026.02.02,정기,안정적,안정적,2021.07.02,S,회사채
오케이캐피탈,SB,400,180.0,2023.01.13,본,,A-,2021.07.01,S,회사채
오케이캐피탈,SB,400,180.0,2023.01.13,본,,안정적,2021.07.01,S,회사채
강원도개발공사,PFB,164,300.0,2022.05.22,정기,AA+,AA+,2021.06.30,S,회사채
강원도개발공사,PFB,164,300.0,2022.05.22,정기,안정적,안정적,2021.06.30,S,회사채
강원도개발공사,PFB,167,320.0,,본,,AA+,2021.06.30,S,회사채
강원도개발공사,PFB,167,320.0,,본,,안정적,2021.06.30,S,회사채
경남은행,SB,2021-07,,,본,,AA+,2021.06.30,S,회사채
경남은행,SB,2021-07,,,본,,안정적,2021.06.30,S,회사채
국민은행,FRN,4107이(01)1변-5,3700.0,2022.07.05,본,,AAA,2021.06.30,S,회사채
국민은행,FRN,4107이(01)1변-5,3700.0,2022.07.05,본,,안정적,2021.06.30,S,회사채
대신에프앤아이,SB,32-2,270.0,2026.07.15,본,,A,2021.06.30,S,회사채
대신에프앤아이,SB,32-2,270.0,2026.07.15,본,,안정적,2021.06.30,S,회사채
롯데위탁관리부동산투자회사,SECB,1,1700.0,2022.07.29,정기,AA-,AA-,2021.06.30,S,회사채
롯데위탁관리부동산투자회사,SECB,1,1700.0,2022.07.29,정기,안정적,안정적,2021.06.30,S,회사채
무림페이퍼,SB,86,100.0,2021.09.20,정기,A-,A-,2021.06.30,S,회사채
무림페이퍼,SB,86,100.0,2021.09.20,정기,안정적,안정적,2021.06.30,S,회사채
무림피앤피,SB,35,150.0,2022.06.20,정기,A-,A-,2021.06.30,S,회사채
무림피앤피,SB,35,150.0,2022.06.20,정기,안정적,안정적,2021.06.30,S,회사채
부산은행,SB,2021-07,,,본,,AAA,2021.06.30,S,회사채
부산은행,SB,2021-07,,,본,,안정적,2021.06.30,S,회사채
삼성카드,SB,2521,,,본,,AA+,2021.06.30,S,회사채
삼성카드,SB,2521,,,본,,안정적,2021.06.30,S,회사채
서울교통공사,PFB,2020-3,1900.0,2030.10.14,정기,AAA,AAA,2021.06.30,S,회사채
서울교통공사,PFB,2020-3,1900.0,2030.10.14,정기,안정적,안정적,2021.06.30,S,회사채
신한은행,SB,25-07-복-20-A,1000.0,2041.07.08,본,,AAA,2021.06.30,S,회사채
신한은행,SB,25-07-복-20-A,1000.0,2041.07.08,본,,안정적,2021.06.30,S,회사채
신한카드,SB,2113,,,본,,AA+,2021.06.30,S,회사채
신한카드,SB,2113,,,본,,안정적,2021.06.30,S,회사채
씨제이대한통운,PP,97,800.0,2025.09.10,정기,AA-,AA-,2021.06.30,S,회사채
씨제이대한통운,PP,97,800.0,2025.09.10,정기,안정적,안정적,2021.06.30,S,회사채
씨제이대한통운,SB,98-3,500.0,2028.02.04,정기,AA-,AA-,2021.06.30,S,회사채
씨제이대한통운,SB,98-3,500.0,2028.02.04,정기,안정적,안정적,2021.06.30,S,회사채
에스이그린에너지,SB,1(한국남동발전 지급보증),1100.0,2024.02.16,정기,AAA,AAA,2021.06.30,S,회사채
에스이그린에너지,SB,1(한국남동발전 지급보증),1100.0,2024.02.16,정기,안정적,안정적,2021.06.30,S,회사채
에스케이루브리컨츠,SB,9-2,700.0,2024.08.27,정기,AA,AA,2021.06.30,S,회사채
에스케이루브리컨츠,SB,9-2,700.0,2024.08.27,정기,안정적,부정적,2021.06.30,S,회사채
에이치케이이노엔,SB,3,500.0,2023.03.10,정기,A-,A-,2021.06.30,S,회사채
에이치케이이노엔,SB,3,500.0,2023.03.10,정기,안정적,안정적,2021.06.30,S,회사채
엔에이치농협캐피탈,SB,166,,,본,,AA-,2021.06.30,S,회사채
엔에이치농협캐피탈,SB,166,,,본,,안정적,2021.06.30,S,회사채
우리은행,SB,25-07,,,본,,AAA,2021.06.30,S,회사채
우리은행,SB,25-07,,,본,,안정적,2021.06.30,S,회사채
우리카드,SB,201,,,본,,AA,2021.06.30,S,회사채
우리카드,SB,201,,,본,,안정적,2021.06.30,S,회사채
이수페타시스,PP,3(P-CBO),50.0,2023.06.25,정기,BB+,BB+,2021.06.30,S,회사채
이수페타시스,PP,3(P-CBO),50.0,2023.06.25,정기,부정적,부정적,2021.06.30,S,회사채
전북은행,SB,25-07,,,본,,AA+,2021.06.30,S,회사채
전북은행,SB,25-07,,,본,,안정적,2021.06.30,S,회사채
지에스이피에스,SB,9-2,700.0,2022.08.27,정기,AA-,AA-,2021.06.30,S,회사채
지에스이피에스,SB,9-2,700.0,2022.08.27,정기,안정적,안정적,2021.06.30,S,회사채
포스코케미칼,SB,16-2,1000.0,2025.06.12,정기,AA-,AA-,2021.06.30,S,회사채
포스코케미칼,SB,16-2,1000.0,2025.06.12,정기,안정적,안정적,2021.06.30,S,회사채
하나은행,SB,44-07,,,본,,AAA,2021.06.30,S,회사채
하나은행,SB,44-07,,,본,,안정적,2021.06.30,S,회사채
하나카드,SB,200,700.0,2024.07.12,본,,AA,2021.06.30,S,회사채
하나카드,SB,200,700.0,2024.07.12,본,,안정적,2021.06.30,S,회사채
한국석유공사,PFB,14,900.0,2031.02.17,정기,AAA,AAA,2021.06.30,S,회사채
한국석유공사,PFB,14,900.0,2031.02.17,정기,안정적,안정적,2021.06.30,S,회사채
한국증권금융,SB,2021-1-2,1000.0,2026.01.22,정기,AAA,AAA,2021.06.30,S,회사채
한국증권금융,SB,2021-1-2,1000.0,2026.01.22,정기,안정적,안정적,2021.06.30,S,회사채
한국증권금융,SB,2021-3-2,1200.0,2026.07.06,본,,AAA,2021.06.30,S,회사채
한국증권금융,SB,2021-3-2,1200.0,2026.07.06,본,,안정적,2021.06.30,S,회사채
한국지역난방공사,PFB,44-3,1000.0,2039.11.06,정기,AAA,AAA,2021.06.30,S,회사채
한국지역난방공사,PFB,44-3,1000.0,2039.11.06,정기,안정적,안정적,2021.06.30,S,회사채
한국지역난방공사,PFB,46-2,1000.0,2024.07.12,본,,AAA,2021.06.30,S,회사채
한국지역난방공사,PFB,46-2,1000.0,2024.07.12,본,,안정적,2021.06.30,S,회사채
한국철도공사,PFB,194,1900.0,2022.11.25,정기,AAA,AAA,2021.06.30,S,회사채
한국철도공사,PFB,194,1900.0,2022.11.25,정기,안정적,안정적,2021.06.30,S,회사채
한국철도공사,SB,83,800.0,2021.08.23,정기,AAA,AAA,2021.06.30,S,회사채
한국철도공사,SB,83,800.0,2021.08.23,정기,안정적,안정적,2021.06.30,S,회사채
한국토지신탁,SB,40,600.0,,본,,A,2021.06.30,S,회사채
한국토지신탁,SB,40,600.0,,본,,안정적,2021.06.30,S,회사채
한국토지주택공사,SB,254(토지주택채권),800.0,2034.01.28,정기,AAA,AAA,2021.06.30,S,회사채
한국토지주택공사,SB,254(토지주택채권),800.0,2034.01.28,정기,안정적,안정적,2021.06.30,S,회사채
한국토지주택공사,PFB,토지주택채권(용지)20-10,0.04,2023.10.31,정기,AAA,AAA,2021.06.30,S,회사채
한국토지주택공사,PFB,토지주택채권(용지)20-10,0.04,2023.10.31,정기,안정적,안정적,2021.06.30,S,회사채
JB금융지주,COCOT1,4,2550.0,2099.12.31,정기,A+,A+,2021.06.29,S,회사채
JB금융지주,COCOT1,4,2550.0,2099.12.31,정기,안정적,안정적,2021.06.29,S,회사채
JB금융지주,SB,8,1300.0,2022.08.25,정기,AA+,AA+,2021.06.29,S,회사채
JB금융지주,SB,8,1300.0,2022.08.25,정기,안정적,안정적,2021.06.29,S,회사채
JB금융지주,COCOT2,조건부(상)5(후),600.0,2026.12.11,정기,AA-,AA-,2021.06.29,S,회사채
JB금융지주,COCOT2,조건부(상)5(후),600.0,2026.12.11,정기,안정적,안정적,2021.06.29,S,회사채
OCI,SB,85,800.0,2023.07.02,정기,A,A,2021.06.29,S,회사채
OCI,SB,85,800.0,2023.07.02,정기,안정적,안정적,2021.06.29,S,회사채
네이버,SB,4-2,4500.0,2026.02.25,정기,AA+,AA+,2021.06.29,S,회사채
네이버,SB,4-2,4500.0,2026.02.25,정기,안정적,안정적,2021.06.29,S,회사채
대신증권,ELB,570,,,본,,AA-,2021.06.29,S,회사채
대신증권,ELB,570,,,본,,안정적,2021.06.29,S,회사채
대신증권,DLB,71(DLB),,,본,,AA-,2021.06.29,S,회사채
대신증권,DLB,71(DLB),,,본,,안정적,2021.06.29,S,회사채
롯데렌탈,SB,54-3,700.0,2028.02.25,정기,AA-,AA-,2021.06.29,S,회사채
롯데렌탈,SB,54-3,700.0,2028.02.25,정기,부정적,부정적,2021.06.29,S,회사채
롯데푸드,SB,37,700.0,2024.02.29,정기,AA,AA,2021.06.29,S,회사채
롯데푸드,SB,37,700.0,2024.02.29,정기,안정적,안정적,2021.06.29,S,회사채
비보존제약,PP,9-3(P-CBO),27.0,2023.09.24,정기,BB-↓,B+,2021.06.29,S,회사채
비보존제약,PP,9-3(P-CBO),27.0,2023.09.24,정기,,부정적,2021.06.29,S,회사채
신세계푸드,SB,1,1000.0,2023.01.30,정기,A+,A+,2021.06.29,S,회사채
신세계푸드,SB,1,1000.0,2023.01.30,정기,안정적,안정적,2021.06.29,S,회사채
에스앤아이코퍼레이션,SB,3-2(서브원 연대보증),1000.0,2023.05.04,정기,AA-,AA-,2021.06.29,S,회사채
에스앤아이코퍼레이션,SB,3-2(서브원 연대보증),1000.0,2023.05.04,정기,안정적,안정적,2021.06.29,S,회사채
엘에스아이앤디,PP,17,220.0,2022.08.25,정기,BBB+,BBB+,2021.06.29,S,회사채
엘에스아이앤디,PP,17,220.0,2022.08.25,정기,부정적,부정적,2021.06.29,S,회사채
엘엑스하우시스,SB,9-2,1000.0,2022.05.26,정기,AA-,AA-,2021.06.29,S,회사채
엘엑스하우시스,SB,9-2,1000.0,2022.05.26,정기,부정적,부정적,2021.06.29,S,회사채
예금보험공사,SB,2015-01호,3500.0,2022.01.21,정기,AAA,AAA,2021.06.29,S,회사채
예금보험공사,SB,2015-01호,3500.0,2022.01.21,정기,안정적,안정적,2021.06.29,S,회사채
지에스리테일,SB,33,1500.0,2023.09.14,정기,AA,AA,2021.06.29,S,회사채
지에스리테일,SB,33,1500.0,2023.09.14,정기,안정적,안정적,2021.06.29,S,회사채
케이비증권,DLB,5185호(DLB),,,본,,AA+,2021.06.29,S,회사채
케이비증권,DLB,5185호(DLB),,,본,,안정적,2021.06.29,S,회사채
케이비증권,ELB,5516호,,,본,,AA+,2021.06.29,S,회사채
케이비증권,ELB,5516호,,,본,,안정적,2021.06.29,S,회사채
코리안리재보험,HB,2,2300.0,2049.10.21,정기,AA,AA,2021.06.29,S,회사채
코리안리재보험,HB,2,2300.0,2049.10.21,정기,안정적,안정적,2021.06.29,S,회사채
태영건설,SB,67(티와이홀딩스 연대보증),1400.0,2023.03.13,정기,A,A,2021.06.29,S,회사채
태영건설,SB,67(티와이홀딩스 연대보증),1400.0,2023.03.13,정기,안정적,안정적,2021.06.29,S,회사채
티에스케이코퍼레이션,SB,2,1100.0,2023.07.14,정기,A+,A+,2021.06.29,S,회사채
티에스케이코퍼레이션,SB,2,1100.0,2023.07.14,정기,안정적,안정적,2021.06.29,S,회사채
포스코에너지,SB,28-3,400.0,2027.08.06,정기,AA-,AA-,2021.06.29,S,회사채
포스코에너지,SB,28-3,400.0,2027.08.06,정기,안정적,안정적,2021.06.29,S,회사채
하나금융투자,ELB,925,,,본,,AA,2021.06.29,S,회사채
하나금융투자,ELB,925,,,본,,안정적,2021.06.29,S,회사채
하나금융투자,DLB,952(DLB),,,본,,AA,2021.06.29,S,회사채
하나금융투자,DLB,952(DLB),,,본,,안정적,2021.06.29,S,회사채
하이투자증권,ELB,266,,,본,,A+,2021.06.29,S,회사채
하이투자증권,ELB,266,,,본,,안정적,2021.06.29,S,회사채
하이투자증권,DLB,47(DLB),,,본,,A+,2021.06.29,S,회사채
하이투자증권,DLB,47(DLB),,,본,,안정적,2021.06.29,S,회사채
한국광물자원공사,PFB,19-5,200.0,2040.04.03,정기,AAA,AAA,2021.06.29,S,회사채
한국광물자원공사,PFB,19-5,200.0,2040.04.03,정기,안정적,안정적,2021.06.29,S,회사채
한국투자증권,DLB,143호(DLB),,,본,,AA,2021.06.29,S,회사채
한국투자증권,DLB,143호(DLB),,,본,,안정적,2021.06.29,S,회사채
한국투자증권,ELB,1582,,,본,,AA,2021.06.29,S,회사채
한국투자증권,ELB,1582,,,본,,안정적,2021.06.29,S,회사채
현대중공업지주,SB,7,800.0,2023.10.16,정기,A-,A-,2021.06.29,S,회사채
현대중공업지주,SB,7,800.0,2023.10.16,정기,안정적,긍정적,2021.06.29,S,회사채
현대차증권,SBS,3,800.0,2025.09.06,정기,A+,A+,2021.06.29,S,회사채
현대차증권,SBS,3,800.0,2025.09.06,정기,안정적,안정적,2021.06.29,S,회사채
현대차증권,ELB,785,21.8371,2021.07.23,정기,AA-,AA-,2021.06.29,S,회사채
현대차증권,ELB,785,21.8371,2021.07.23,정기,안정적,안정적,2021.06.29,S,회사채
효성첨단소재,SB,262-2(효성 외 연대보증),300.0,2023.05.29,정기,A+,A+,2021.06.29,S,회사채
효성첨단소재,SB,262-2(효성 외 연대보증),300.0,2023.05.29,정기,안정적,안정적,2021.06.29,S,회사채
E1,SB,34-2,500.0,2024.09.10,정기,A+,A+,2021.06.28,S,회사채
E1,SB,34-2,500.0,2024.09.10,정기,안정적,안정적,2021.06.28,S,회사채
S-OIL,SB,57-3,400.0,2030.08.28,정기,AA,AA,2021.06.28,S,회사채
S-OIL,SB,57-3,400.0,2030.08.28,정기,안정적,안정적,2021.06.28,S,회사채
SK이노베이션,SB,5-2,1600.0,2026.01.20,정기,AA,AA,2021.06.28,S,회사채
SK이노베이션,SB,5-2,1600.0,2026.01.20,정기,안정적,안정적,2021.06.28,S,회사채
교보증권,ELB,10935,,,본,,AA-,2021.06.28,S,회사채
교보증권,ELB,10935,,,본,,안정적,2021.06.28,S,회사채
교보증권,DLB,940(DLB),,,본,,AA-,2021.06.28,S,회사채
교보증권,DLB,940(DLB),,,본,,안정적,2021.06.28,S,회사채
대전도시공사,PFB,2021-43,800.0,2024.03.18,정기,AA+,AA+,2021.06.28,S,회사채
대전도시공사,PFB,2021-43,800.0,2024.03.18,정기,안정적,안정적,2021.06.28,S,회사채
세아제강,SB,5,800.0,2024.03.04,정기,A+,A+,2021.06.28,S,회사채
세아제강,SB,5,800.0,2024.03.04,정기,안정적,안정적,2021.06.28,S,회사채
에스케이텔레시스,SB,7(SKC 권면보증),300.0,2021.07.20,정기,A+,A+,2021.06.28,S,회사채
에스케이텔레시스,SB,7(SKC 권면보증),300.0,2021.07.20,정기,안정적,안정적,2021.06.28,S,회사채
에이제이셀카,SECB,1-1(한국자산관리공사 지급보증),180.0,2022.12.28,정기,AAA,AAA,2021.06.28,S,회사채
에이제이셀카,SECB,1-1(한국자산관리공사 지급보증),180.0,2022.12.28,정기,안정적,안정적,2021.06.28,S,회사채
오리온,SB,104,700.0,2023.04.23,정기,AA,AA,2021.06.28,S,회사채
오리온,SB,104,700.0,2023.04.23,정기,안정적,안정적,2021.06.28,S,회사채
유진투자증권,ELB,217,200.0,2021.11.05,정기,A,A,2021.06.28,S,회사채
유진투자증권,ELB,217,200.0,2021.11.05,정기,안정적,안정적,2021.06.28,S,회사채
재영솔루텍,BW1,11,250.0,2024.11.29,정기,B,B,2021.06.28,S,회사채
재영솔루텍,BW1,11,250.0,2024.11.29,정기,안정적,안정적,2021.06.28,S,회사채
코리아세븐,SB,16,1300.0,2023.10.27,정기,A+,A+,2021.06.28,S,회사채
코리아세븐,SB,16,1300.0,2023.10.27,정기,안정적,부정적,2021.06.28,S,회사채
키움증권,DLB,152(DLB),,,본,,AA-,2021.06.28,S,회사채
키움증권,DLB,152(DLB),,,본,,안정적,2021.06.28,S,회사채
키움증권,ELB,339,,,본,,AA-,2021.06.28,S,회사채
키움증권,ELB,339,,,본,,안정적,2021.06.28,S,회사채
평택도시공사,PFB,14,900.0,2021.12.17,정기,AA,AA,2021.06.28,S,회사채
평택도시공사,PFB,14,900.0,2021.12.17,정기,안정적,안정적,2021.06.28,S,회사채
현대오일뱅크,SB,125-4,700.0,2031.01.28,정기,AA-,AA-,2021.06.28,S,회사채
현대오일뱅크,SB,125-4,700.0,2031.01.28,정기,안정적,안정적,2021.06.28,S,회사채
AJ네트웍스,SB,38-2,300.0,2023.07.30,정기,BBB+,BBB+,2021.06.25,S,회사채
AJ네트웍스,SB,38-2,300.0,2023.07.30,정기,부정적,부정적,2021.06.25,S,회사채
AJ네트웍스,PP,43-2,100.0,2022.08.08,정기,BBB+,BBB+,2021.06.25,S,회사채
AJ네트웍스,PP,43-2,100.0,2022.08.08,정기,부정적,부정적,2021.06.25,S,회사채
GS,SB,20-2,700.0,2026.01.15,정기,AA,AA,2021.06.25,S,회사채
GS,SB,20-2,700.0,2026.01.15,정기,안정적,안정적,2021.06.25,S,회사채
SKC,SB,142-2,950.0,2025.05.28,정기,A+,A+,2021.06.25,S,회사채
SKC,SB,142-2,950.0,2025.05.28,정기,안정적,안정적,2021.06.25,S,회사채
넥센타이어,SB,54,1500.0,2023.10.06,정기,A+,A+,2021.06.25,S,회사채
넥센타이어,SB,54,1500.0,2023.10.06,정기,안정적,안정적,2021.06.25,S,회사채
대한항공,SB,91-2,1060.0,2023.02.03,정기,BBB+,BBB+,2021.06.25,S,회사채
대한항공,SB,91-2,1060.0,2023.02.03,정기,부정적,부정적,2021.06.25,S,회사채
대한항공,SB,95-3,1440.0,2024.07.05,본,,BBB+,2021.06.25,S,회사채
대한항공,SB,95-3,1440.0,2024.07.05,본,,부정적,2021.06.25,S,회사채
미래에셋증권,DLB,1330(DLB),,,본,,AA,2021.06.25,S,회사채
미래에셋증권,DLB,1330(DLB),,,본,,안정적,2021.06.25,S,회사채
미래에셋증권,ELB,2855,,,본,,AA,2021.06.25,S,회사채
미래에셋증권,ELB,2855,,,본,,안정적,2021.06.25,S,회사채
신한금융투자,ELB,2405,,,본,,AA,2021.06.25,S,회사채
신한금융투자,ELB,2405,,,본,,안정적,2021.06.25,S,회사채
신한금융투자,DLB,3445(DLB),,,본,,AA,2021.06.25,S,회사채
신한금융투자,DLB,3445(DLB),,,본,,안정적,2021.06.25,S,회사채
애큐온캐피탈,SB,153-2,600.0,2023.09.26,정기,A,A,2021.06.25,S,회사채
애큐온캐피탈,SB,153-2,600.0,2023.09.26,정기,안정적,안정적,2021.06.25,S,회사채
에스케이브로드밴드,SB,50,1600.0,2025.09.25,정기,AA,AA,2021.06.25,S,회사채
에스케이브로드밴드,SB,50,1600.0,2025.09.25,정기,안정적,안정적,2021.06.25,S,회사채
에스케이브로드밴드,SB,51,1000.0,2024.07.12,본,,AA,2021.06.25,S,회사채
에스케이브로드밴드,SB,51,1000.0,2024.07.12,본,,안정적,2021.06.25,S,회사채
제이비우리캐피탈,SB,425-2,100.0,2026.06.29,본,,AA-,2021.06.25,S,회사채
제이비우리캐피탈,SB,425-2,100.0,2026.06.29,본,,안정적,2021.06.25,S,회사채
제이티비씨,SB,20,310.0,2023.07.13,본,,BBB+,2021.06.25,S,회사채
제이티비씨,SB,20,310.0,2023.07.13,본,,부정적,2021.06.25,S,회사채
제이티캐피탈,PP,17,40.0,2022.11.18,정기,BBB,BBB,2021.06.25,S,회사채
제이티캐피탈,PP,17,40.0,2022.11.18,정기,안정적,안정적,2021.06.25,S,회사채
지에스에너지,SB,9-2,750.0,2022.10.31,정기,AA,AA,2021.06.25,S,회사채
지에스에너지,SB,9-2,750.0,2022.10.31,정기,안정적,안정적,2021.06.25,S,회사채
지에스칼텍스,SB,141-4,500.0,2036.03.03,정기,AA+,AA+,2021.06.25,S,회사채
지에스칼텍스,SB,141-4,500.0,2036.03.03,정기,안정적,안정적,2021.06.25,S,회사채
태양금속공업,PP,55(P-CBO),30.0,2023.08.20,정기,BB-,B+,2021.06.25,S,회사채
