기업명,회차,종류,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,발행액(억원),요지,재무,보고서,Type
농협은행(주),2021-07 외 선순위 무보증사채,SB,본,,,AAA,Stable,2021.07.19,2021.07.20,,,,,채권
산은캐피탈(주),제671회 외,SB,본,,,AA-,Stable,2021.07.20,2021.07.20,,,,,채권
위너콤(주),1,SB,본,,,BB,Stable,2021.07.19,2021.07.20,,,,,채권
하나금융투자(주),제 7-2회 무보증사채,SB,본,,,AA,Stable,2021.07.20,2021.07.20,1300,,,,채권
메리츠증권(주),제193회 외 주가연계파생결합사채(ELB),ELB,본,,,AA-,Stable,2021.07.19,2021.07.19,,,,,채권
메리츠증권(주),제238회 외 기타파생결합사채(DLB),DLB,본,,,AA-,Stable,2021.07.19,2021.07.19,,,,,채권
삼성증권(주),제1720회 외 주가연계파생결합사채,ELB,본,,,AA+,Stable,2021.07.19,2021.07.19,,,,,채권
삼성증권(주),제959회 외 기타파생결합사채,DLB,본,,,AA+,Stable,2021.07.19,2021.07.19,,,,,채권
에스케이에코플랜트(주),제168-2회,SB,본,,,A-,Stable,2021.07.16,2021.07.19,1000,,,,채권
우리금융캐피탈(주),제 422회 외,SB,본,,,AA-,Stable,2021.07.19,2021.07.19,,,,,채권
(주)위니아딤채,제11회차,SB,수시,,,BB+,Stable,2021.07.16,2021.07.16,250,,,,채권
(주)이랜드리테일,"제122-1회(담보부, 한국자산관리공사 지급보증)",SB,본,,,AAA,Stable,2021.07.16,2021.07.16,320,,,,채권
평택에너지서비스(주),제6회,SB,본,,,A,Stable,2021.07.16,2021.07.16,400,,,,채권
(주)뉴스테이허브제1호위탁관리부동산투자회사,제1회 (주택도시보증공사 권면보증),SB,정기,AAA,Stable,AAA,Stable,2021.07.15,2021.07.15,1000,,,,채권
(주)마니커,제27회,SB,정기,BB,Negative,BB-,Stable,2021.07.14,2021.07.15,150,,,,채권
(주)마니커에프앤지,2,SB,정기,BB+,Stable,BB+,Stable,2021.07.14,2021.07.15,150,,,,채권
(주)정다운,1,SB,정기,BB,Stable,BB,Stable,2021.07.14,2021.07.15,100,,,,채권
(주)지에스리테일,제33회,SB,정기,AA,Stable,AA,Stable,2021.07.15,2021.07.15,1500,,,,채권
(주)토지지원리츠제1호위탁관리부동산투자회사,제2회 (주택도시보증공사 권면보증),SB,정기,AAA,Stable,AAA,Stable,2021.07.15,2021.07.15,700,,,,채권
(주)토지지원리츠제2호위탁관리부동산투자회사,제1-2회 (주택도시보증공사 권면보증),SB,정기,AAA,Stable,AAA,Stable,2021.07.15,2021.07.15,560,,,,채권
(주)팜스토리,제29회,SB,정기,BB+,Stable,BB+,Positive,2021.07.15,2021.07.15,300,,,,채권
롯데위탁관리부동산투자회사(주),제1회(담보부),SB,정기,AA-,Stable,AA-,Stable,2021.07.15,2021.07.15,1700,,,,채권
롯데카드(주),제442회외,SB,본,,,AA-,Stable,2021.07.15,2021.07.15,,,,,채권
우리손에프앤지농업회사법인(주),2,SB,정기,BBB-,Stable,BBB-,Positive,2021.07.15,2021.07.15,150,,,,채권
한국투자캐피탈(주),제 65회 외,SB,본,,,A,Stable,2021.07.15,2021.07.15,,,,,채권
한국투자캐피탈(주),제66회 외(한국투자금융지주(주) 권면보증),SB,본,,,AA-,Stable,2021.07.15,2021.07.15,,,,,채권
현대케미칼(주),3,SB,본,,,A,Stable,2021.07.15,2021.07.15,500,,,,채권
(주)DGB캐피탈,제73회 외,SB,본,,,A+,Stable,2021.07.14,2021.07.14,,,,,채권
(주)LF,9,SB,정기,AA-,Stable,AA-,Stable,2021.07.13,2021.07.14,1000,,,,채권
(주)아이비케이캐피탈,제 239-1회 외 선순위 무보증사채,SB,본,,,AA-,Stable,2021.07.14,2021.07.14,,,,,채권
케이비증권(주),제2020-449회 주가연계파생결합사채,ELB,수시,AA+,Stable,취소,,2021.07.14,2021.07.14,100,,,,채권
(주)코리아세븐,제16회 무보증사채,SB,정기,A+,Stable,A+,Negative,2021.07.12,2021.07.13,1300,,,,채권
한국중부발전(주),제63-3회,SB,본,,,AAA,Stable,2021.07.13,2021.07.13,300,,,,채권
현대카드(주),828회 외,SB,본,,,AA,Stable,2021.07.12,2021.07.13,,,,,채권
신영증권(주),제101회 외 기타파생결합사채,DLB,본,,,AA-,Stable,2021.07.09,2021.07.12,,,,,채권
신영증권(주),제203회 외 주가연계파생결합사채,ELB,본,,,AA-,Stable,2021.07.09,2021.07.12,,,,,채권
한국석유공사,15,SB,본,,,AAA,Stable,2021.07.09,2021.07.12,1000,,,,채권
(주)BNK금융지주,35-2,SB,본,,,AAA,Stable,2021.07.09,2021.07.09,400,,,,채권
(주)우리금융지주,2-2,SB,본,,,AAA,Stable,2021.07.09,2021.07.09,600,,,,채권
인천국제공항공사,161,SB,본,,,AAA,Stable,2021.07.09,2021.07.09,1400,,,,채권
(주)신영,20,SB,정기,BB+,Stable,BB+,Stable,2021.07.08,2021.07.08,40,,,,채권
(주)신원,4,SB,정기,BB-,Stable,BB-,Stable,2021.07.08,2021.07.08,65,,,,채권
(주)애큐온캐피탈,158,SB,본,,,A,Stable,2021.07.08,2021.07.08,300,,,,채권
(주)하나은행,하나은행[21_07 이 240 갑 20],SB,본,,,AAA,Stable,2021.07.08,2021.07.08,50 백만USD,,,,채권
비엔케이캐피탈(주),255-2,SB,본,,,AA-,Stable,2021.07.08,2021.07.08,200,,,,채권
엔에이치투자증권(주),제1480회 외 기타파생결합사채(DLB),DLB,본,,,AA+,Stable,2021.07.08,2021.07.08,,,,,채권
엔에이치투자증권(주),제2098회 외 주가연계파생결합사채(ELB),ELB,본,,,AA+,Stable,2021.07.08,2021.07.08,,,,,채권
키움캐피탈(주),제92-2회,SB,본,,,BBB+,Positive,2021.07.08,2021.07.08,30,,,,채권
한국산업은행,산금21신이0200-0719-2,SB,본,,,AAA,Stable,2021.07.08,2021.07.08,2400,,,,채권
엠캐피탈(주),제283회 외,SB,본,,,A-,Stable,2021.07.07,2021.07.07,,,,,채권
한국캐피탈(주),460,SB,본,,,A,Stable,2021.07.07,2021.07.07,200,,,,채권
(주)신세계센트럴시티,제7회,SB,본,,,AA-,Stable,2021.07.06,2021.07.06,1200,,,,채권
(주)태영건설,제68회,SB,본,,,A,Stable,2021.07.06,2021.07.06,1000,,,,채권
(주)한진,94-2,SB,본,,,BBB+,Stable,2021.07.06,2021.07.06,700,,,,채권
부산교통공사,2021-07,SB,본,,,AAA,Stable,2021.07.06,2021.07.06,100,,,,채권
(주)에코프로비엠,4-2,SB,본,,,BBB+,Stable,2021.07.05,2021.07.05,500,,,,채권
경기주택도시공사,경기주택도시공사보상 21-07-02가,SB,본,,,AAA,Stable,2021.07.05,2021.07.05,32,,,,채권
에스케이텔레시스(주),제8회(SKC㈜ 권면보증),SB,본,,,A+,Stable,2021.07.05,2021.07.05,300,,,,채권
유진투자증권(주),제282회 외 기타파생결합사채,DLB,본,,,A,Stable,2021.07.05,2021.07.05,,,,,채권
KB캐피탈(주),476-4,SB,본,,,AA-,Stable,2021.07.02,2021.07.02,200,,,,채권
에스케이가스(주),39-2,SB,본,,,AA-,Stable,2021.07.02,2021.07.02,700,,,,채권
한국동서발전(주),제39-2회,SB,본,,,AAA,Stable,2021.07.02,2021.07.02,100,,,,채권
한국해외인프라도시개발지원공사,해외인프라도시개발채권 제1-2회,SB,정기,AAA,Stable,AAA,Stable,2021.07.01,2021.07.02,1000,,,,채권
(주)포스코인터내셔널,25-3,SB,정기,AA-,Stable,AA-,Stable,2021.06.30,2021.07.01,500,,,,채권
두산인프라코어(주),60,SB,수시,BBB↓,,취소,,2021.07.01,2021.07.01,740,,,,채권
예금보험공사,제2021-3회 외 예금보험기금 특별계정채권,SB,본,,,AAA,Stable,2021.06.30,2021.07.01,,,,,채권
한화호텔앤드리조트(주),제45회,SB,정기,BBB+,Negative,BBB+,Negative,2021.06.30,2021.07.01,350,,,,채권
휘닉스중앙(주),제2회 무보증 사모사채,SB,정기,BB,Negative,BB-,Stable,2021.06.30,2021.07.01,50,,,,채권
흥아해운(주),제18회,CB,정기,CCC,Stable,CCC,Stable,2021.06.30,2021.07.01,151.79,,,,채권
(주)경남은행,경남은행 2021-07 외 선순위 무보증사채,SB,본,,,AA+,Stable,2021.06.29,2021.06.30,,,,,채권
(주)광주은행,광주은행2021-07이2갑-09(지),SB,본,,,AA+,Stable,2021.06.30,2021.06.30,500,,,,채권
(주)국동,9,BW,정기,BB-,Negative,BB-,Negative,2021.06.29,2021.06.30,200,,,,채권
(주)국민은행,국민은행4107이(01)1변-13,SB,본,,,AAA,Stable,2021.06.30,2021.06.30,3800,,,,채권
(주)대림,39-2,SB,정기,A+,Stable,A+,Stable,2021.06.29,2021.06.30,400,,,,채권
(주)대웅제약,14,SB,정기,A+,Stable,A+,Stable,2021.06.29,2021.06.30,1000,,,,채권
(주)대웅제약,15,SB,본,,,A+,Stable,2021.06.29,2021.06.30,900,,,,채권
(주)모베이스전자,제 4회,SB,정기,BB-,Stable,BB-,Stable,2021.06.29,2021.06.30,70,,,,채권
(주)부산은행,부산은행2021-07 외 선순위 무보증사채,SB,본,,,AAA,Stable,2021.06.29,2021.06.30,,,,,채권
(주)삼양사,4-2,SB,정기,AA-,Stable,AA-,Stable,2021.06.30,2021.06.30,600,,,,채권
(주)상보,제2회,BW,정기,B,Stable,B,Stable,2021.06.29,2021.06.30,170,,,,채권
(주)서울리거,4,BW,정기,B-,Stable,B-,Negative,2021.06.29,2021.06.30,200,,,,채권
(주)신한은행,신한은행25-07-복-20-A,SB,본,,,AAA,Stable,2021.06.30,2021.06.30,1000,,,,채권
(주)엘지하우시스,10-2,SB,정기,AA-,Negative,A+,Stable,2021.06.29,2021.06.30,600,,,,채권
(주)우리은행,25-07외 선순위 무보증사채,SB,본,,,AAA,Stable,2021.06.30,2021.06.30,,,,,채권
(주)우리카드,201회 외,SB,본,,,AA,Stable,2021.06.29,2021.06.30,,,,,채권
(주)웰리브,2,SB,정기,BB-,Negative,BB-,Negative,2021.06.29,2021.06.30,100,,,,채권
(주)윌비스,제28회,SB,정기,BB-,Negative,BB-,Negative,2021.06.29,2021.06.30,30,,,,채권
(주)자연과환경,제10회,CB,정기,B+,Negative,B,Stable,2021.06.29,2021.06.30,110,,,,채권
(주)전북은행,25-07외 선순위 무보증사채,SB,본,,,AA+,Stable,2021.06.30,2021.06.30,,,,,채권
(주)컴투스,1-2,SB,본,,,A,Stable,2021.06.29,2021.06.30,500,,,,채권
(주)케이비국민카드,331-2,SB,본,,,AA+,Stable,2021.06.30,2021.06.30,700,,,,채권
(주)태영건설,67((주)티와이홀딩스 연대보증),SB,정기,A,Stable,A,Stable,2021.06.29,2021.06.30,1400,,,,채권
(주)포스코케미칼,제15-2회,SB,정기,AA-,Stable,AA-,Stable,2021.06.30,2021.06.30,1200,,,,채권
(주)하나은행,44-07외,SB,본,,,AAA,Stable,2021.06.30,2021.06.30,,,,,채권
(주)한국스탠다드차타드은행,스탠다드차타드은행21-07-이02-09,SB,본,,,AAA,Stable,2021.06.30,2021.06.30,2500,,,,채권
(주)한국씨티은행,25-07외 선순위 무보증사채,SB,본,,,AAA,Stable,2021.06.30,2021.06.30,,,,,채권
(주)한진,91-2,SB,정기,BBB+,Stable,BBB+,Stable,2021.06.30,2021.06.30,700,,,,채권
(주)호텔롯데,제60-2회,SB,정기,AA-,Stable,AA-,Stable,2021.06.30,2021.06.30,1100,,,,채권
넥센타이어(주),54,SB,정기,A+,Stable,A+,Stable,2021.06.29,2021.06.30,1500,,,,채권
농협손해보험(주),제1회 무보증 후순위사채,SB,정기,A+,Stable,A+,Stable,2021.06.29,2021.06.30,1000,,,,채권
농협손해보험(주),제2회 무보증 후순위사채,SB,본,,,A+,Stable,2021.06.29,2021.06.30,1000,,,,채권
대성산업(주),73,SB,정기,BB,Stable,BB,Stable,2021.06.30,2021.06.30,100,,,,채권
대신에프앤아이(주),제32-2회 선순위 무보증사채,SB,본,,,A,Stable,2021.06.30,2021.06.30,270,,,,채권
동원파이프(주),6,SB,정기,B+,Stable,B+,Negative,2021.06.30,2021.06.30,9.4,,,,채권
두산큐벡스(주),"1-1(담보부, 한국자산관리공사 지급보증)",SB,정기,AAA,Stable,AAA,Stable,2021.06.30,2021.06.30,200,,,,채권
롯데렌탈(주),제53-2회,SB,정기,AA-,Negative,AA-,Negative,2021.06.29,2021.06.30,700,,,,채권
롯데쇼핑(주),73-3(롯데지주(주) 연대보증),SB,정기,AA,Stable,AA,Stable,2021.06.30,2021.06.30,1000,,,,채권
롯데쇼핑(주),제88-2회,SB,정기,AA,Negative,AA,Negative,2021.06.30,2021.06.30,600,,,,채권
롯데오토리스(주),20,SB,정기,A,Negative,A,Negative,2021.06.29,2021.06.30,100,,,,채권
롯데지주(주),제10-3회,SB,정기,AA,Stable,AA,Stable,2021.06.30,2021.06.30,600,,,,채권
롯데컬처웍스(주),제 1회,SB,정기,A,Negative,A,Negative,2021.06.29,2021.06.30,600,,,,채권
산은캐피탈(주),670-2,SB,본,,,AA-,Stable,2021.06.30,2021.06.30,400,,,,채권
삼성카드(주),2521회 외,SB,본,,,AA+,Stable,2021.06.29,2021.06.30,,,,,채권
씨제이대한통운(주),98-3,SB,정기,AA-,Stable,AA-,Stable,2021.06.30,2021.06.30,500,,,,채권
에스케이렌터카(주),제45-2회,SB,정기,A,Positive,A,Positive,2021.06.29,2021.06.30,980,,,,채권
에이프로젠제약(주),13,BW,정기,B-,Positive,B-,Stable,2021.06.29,2021.06.30,500,,,,채권
엔에이치농협캐피탈(주),제166회 외,SB,본,,,AA-,Stable,2021.06.30,2021.06.30,,,,,채권
유진투자증권(주),제303회 외 주가연계파생결합사채,ELB,본,,,A,Stable,2021.06.29,2021.06.30,,,,,채권
코오롱글로텍(주),"56-1(담보부, 한국자산관리공사 지급보증)",SB,정기,AAA,Stable,AAA,Stable,2021.06.29,2021.06.30,200,,,,채권
평화산업(주),제1회 선순위 무보증 사채(P-CBO),SB,정기,BB-,Negative,BB-,Negative,2021.06.29,2021.06.30,100,,,,채권
평화오일씰공업(주),1,SB,정기,BB+,Stable,BB+,Negative,2021.06.30,2021.06.30,100,,,,채권
하나에프앤아이(주),제181-2회,SB,정기,A,Stable,A,Stable,2021.06.29,2021.06.30,1400,,,,채권
하나카드(주),200,SB,본,,,AA,Stable,2021.06.30,2021.06.30,700,,,,채권
한국주택금융공사,제55회,SB,본,,,AAA,Stable,2021.06.29,2021.06.30,3100,,,,채권
한국증권금융(주),제 2021-3-2회 무보증사채,SB,본,,,AAA,Stable,2021.06.29,2021.06.30,1200,,,,채권
한국캐피탈(주),제410회 무보증사모사채(군인공제회 권면보증),SB,정기,AA+,Stable,AA+,Stable,2021.06.30,2021.06.30,500,,,,채권
한세드림(주),제1회 선순위 무보증 사채(P-CBO),SB,정기,BB+,Stable,BB+,Stable,2021.06.29,2021.06.30,150,,,,채권
현대엘리베이터(주),38,SB,정기,A,Stable,A,Stable,2021.06.29,2021.06.30,1000,,,,채권
(주)JB금융지주,12-2,SB,정기,AA+,Stable,AA+,Stable,2021.06.28,2021.06.29,300,,,,채권
(주)JB금융지주,JB금융지주 제5회 상각형 조건부자본증권(후순위채),SB,정기,AA-,Stable,AA-,Stable,2021.06.28,2021.06.29,600,,,,채권
(주)JB금융지주,제 4회 상각형 조건부자본증권,HB,정기,A+,Stable,A+,Stable,2021.06.28,2021.06.29,2550,,,,채권
(주)신세계푸드,2,SB,정기,A+,Stable,A+,Stable,2021.06.29,2021.06.29,1000,,,,채권
(주)신한은행,신한은행21-02-이-15-A,SB,수시,AAA,Stable,취소,,2021.06.29,2021.06.29,500,,,,채권
(주)티에스케이코퍼레이션,제2회,SB,정기,A+,Stable,A+,Stable,2021.06.28,2021.06.29,1100,,,,채권
(주)한국스탠다드차타드은행,스탠다드차타드은행15-03-이(콜)02-16,SB,수시,AAA,Stable,취소,,2021.06.29,2021.06.29,600,,,,채권
경상북도개발공사,도청신도시(20-05),SB,정기,AA+,Stable,AA+,Stable,2021.06.28,2021.06.29,500,,,,채권
대동기어(주),3,SB,정기,BB-,Stable,BB-,Stable,2021.06.29,2021.06.29,70,,,,채권
대신증권(주),제571회 주가연계파생결합사채,ELB,본,,,AA-,Stable,2021.06.29,2021.06.29,84.2599,,,,채권
대신증권(주),제71회 외 기타파생결합사채,DLB,본,,,AA-,Stable,2021.06.29,2021.06.29,,,,,채권
롯데제과(주),65,SB,정기,AA,Stable,AA,Stable,2021.06.28,2021.06.29,1100,,,,채권
롯데카드(주),441-2,SB,본,,,AA-,Stable,2021.06.29,2021.06.29,800,,,,채권
롯데푸드(주),37,SB,정기,AA,Stable,AA,Stable,2021.06.28,2021.06.29,700,,,,채권
미래에셋자산운용(주),제 6-2회 무보증사채,SB,정기,AA,Stable,AA,Stable,2021.06.29,2021.06.29,500,,,,채권
신한카드(주),제2113회외,SB,본,,,AA+,Stable,2021.06.29,2021.06.29,0,,,,채권
신한캐피탈(주),443-2,SB,본,,,AA-,Stable,2021.06.29,2021.06.29,200,,,,채권
씨제이푸드빌(주),10,SB,정기,BBB+,Negative,BBB,Stable,2021.06.28,2021.06.29,400,,,,채권
에스와이스틸텍(주),제1회,SB,정기,BB-,Negative,B+,Stable,2021.06.28,2021.06.29,50,,,,채권
에스케이하이닉스(주),221-4,SB,정기,AA,Negative,AA,Stable,2021.06.28,2021.06.29,2300,,,,채권
오케이캐피탈(주),337,SB,정기,BBB+,Positive,BBB+,Positive,2021.06.29,2021.06.29,100,,,,채권
케이비아이동국실업(주),8,SB,정기,BB,Stable,BB,Stable,2021.06.29,2021.06.29,150,,,,채권
하나금융투자(주),제917회 주가연계파생결합사채,ELB,본,,,AA,Stable,2021.06.28,2021.06.29,16.33,,,,채권
하나금융투자(주),제951회 기타파생결합사채,DLB,본,,,AA,Stable,2021.06.28,2021.06.29,4.42 백만USD,,,,채권
한국석유공사,14,SB,정기,AAA,Stable,AAA,Stable,2021.06.28,2021.06.29,900,,,,채권
한국지역난방공사,46-1,SB,본,,,AAA,Stable,2021.06.29,2021.06.29,600,,,,채권
한국투자증권(주),제143호 외 기타파생결합사채,DLB,본,,,AA,Stable,2021.06.29,2021.06.29,,,,,채권
한국투자증권(주),제1582회 외 주가연계파생결합사채,ELB,본,,,AA,Stable,2021.06.29,2021.06.29,,,,,채권
현대카드(주),827-2,SB,본,,,AA,Stable,2021.06.28,2021.06.29,800,,,,채권
현대캐피탈(주),1884-1,SB,본,,,AA,Stable,2021.06.29,2021.06.29,800,,,,채권
(주)금양,40회,SB,정기,BB+,Stable,BB+,Stable,2021.06.25,2021.06.28,70,,,,채권
(주)프라코,2,SB,정기,BB,Stable,BB,Stable,2021.06.25,2021.06.28,100,,,,채권
(주)호텔신라,70-3,SB,정기,AA-,Stable,AA-,Stable,2021.06.25,2021.06.28,1300,,,,채권
DB금융투자(주),마이퍼스트 제105회 기타파생결합사채,DLB,본,,,A+,Stable,2021.06.28,2021.06.28,.3,,,,채권
DB금융투자(주),제642회 주가연계파생결합사채,ELB,본,,,A+,Stable,2021.06.28,2021.06.28,1.95,,,,채권
롯데건설(주),제135-2회,SB,정기,A+,Stable,A+,Stable,2021.06.25,2021.06.28,1600,,,,채권
에스케이이노베이션(주),5-3,SB,정기,AA,Stable,AA,Stable,2021.06.25,2021.06.28,900,,,,채권
지에스이피에스(주),제17-3회,SB,정기,AA-,Stable,AA-,Stable,2021.06.25,2021.06.28,900,,,,채권
포스코에너지(주),제28-3회,SB,정기,AA-,Stable,AA-,Stable,2021.06.25,2021.06.28,400,,,,채권
푸본현대생명보험(주),제16회,SB,수시,A,Stable,A,Positive,2021.06.28,2021.06.28,500,,,,채권
한국남동발전(주),제47-1회,SB,정기,AAA,Stable,AAA,Stable,2021.06.28,2021.06.28,300,,,,채권
현대차증권(주),제878회 외 주가연계파생결합사채,ELB,본,,,AA-,Stable,2021.06.28,2021.06.28,,,,,채권
(주)메리츠금융지주,제11회 선순위 무보증사채,SB,정기,AA,Stable,AA,Stable,2021.06.24,2021.06.25,1000,,,,채권
(주)메리츠금융지주,제3회 채권형 신종자본증권,HB,정기,A+,Stable,A+,Stable,2021.06.24,2021.06.25,1000,,,,채권
(주)신성이엔지,제37회,BW,정기,BB-,Stable,BB-,Stable,2021.06.24,2021.06.25,300,,,,채권
JB우리캐피탈(주),426-3,SB,본,,,AA-,Stable,2021.06.25,2021.06.25,400,,,,채권
두산중공업(주),제48회,BW,정기,BBB-◆,,BBB-◆,,2021.06.25,2021.06.25,5000,,,,채권
롯데칠성음료(주),55-3,SB,정기,AA,Stable,AA,Stable,2021.06.24,2021.06.25,500,,,,채권
삼성증권(주),제16-2회 무보증사채,SB,본,,,AA+,Stable,2021.06.25,2021.06.25,2700,,,,채권
엔브이에이치코리아(주),9회,SB,정기,BB+,Stable,BB+,Stable,2021.06.24,2021.06.25,100,,,,채권
한국수력원자력(주),제59-3회,SB,정기,AAA,Stable,AAA,Stable,2021.06.25,2021.06.25,900,,,,채권
한국수력원자력(주),제60-3회,SB,본,,,AAA,Stable,2021.06.25,2021.06.25,1600,,,,채권
한국지역난방공사,45-2,SB,정기,AAA,Stable,AAA,Stable,2021.06.25,2021.06.25,500,,,,채권
한화토탈(주),24-3,SB,정기,AA,Negative,AA,Negative,2021.06.25,2021.06.25,800,,,,채권
현대오일뱅크(주),125-4,SB,정기,AA-,Stable,AA-,Stable,2021.06.25,2021.06.25,700,,,,채권
현대케미칼(주),1-2(사모),SB,정기,A,Stable,A,Stable,2021.06.25,2021.06.25,200,,,,채권
(주)다우데이타,6,SB,정기,A,Stable,A,Stable,2021.06.23,2021.06.24,500,,,,채권
(주)대한항공,95-3,SB,본,,,BBB+,Negative,2021.06.23,2021.06.24,1440,,,,채권
(주)두산,306-2,SB,본,,,BBB,Stable,2021.06.24,2021.06.24,330,,,,채권
(주)서울신문사,"10-1(담보부, 한국자산관리공사 지급보증)",SB,정기,AAA,Stable,AAA,Stable,2021.06.23,2021.06.24,240,,,,채권
(주)서울신문사,12(담보부),SB,정기,A,Stable,A,Stable,2021.06.23,2021.06.24,100,,,,채권
(주)세아제강,5,SB,정기,A+,Stable,A+,Stable,2021.06.23,2021.06.24,800,,,,채권
(주)에스비에스,13-2,SB,정기,AA,Stable,AA,Stable,2021.06.23,2021.06.24,700,,,,채권
(주)에스앤지컨설턴트,제3회,SB,정기,CCC,Stable,CCC,Negative,2021.06.24,2021.06.24,33.4,,,,채권
(주)지에스,20-2,SB,정기,AA,Stable,AA,Stable,2021.06.24,2021.06.24,700,,,,채권
(주)하나금융지주,제53회,SB,본,,,AAA,Stable,2021.06.24,2021.06.24,1000,,,,채권
KR모터스(주),48,BW,정기,B-,Stable,B-,Stable,2021.06.23,2021.06.24,300,,,,채권
메리츠캐피탈(주),186-2,SB,본,,,A+,Stable,2021.06.24,2021.06.24,400,,,,채권
메리츠캐피탈(주),제 186회 외(㈜메리츠금융지주 권면보증),SB,본,,,AA,Stable,2021.06.24,2021.06.24,,,,,채권
씨제이(주),158-2,SB,정기,AA-,Stable,AA-,Stable,2021.06.24,2021.06.24,1500,,,,채권
아주스틸(주),13,SB,정기,BB-,Stable,BB-,Positive,2021.06.23,2021.06.24,25,,,,채권
유신정밀공업(주),2,SB,정기,BB+,Stable,BB+,Stable,2021.06.23,2021.06.24,80,,,,채권
제이티비씨(주),20,SB,본,,,BBB,Stable,2021.06.24,2021.06.24,310,,,,채권
지에스에너지(주),12-2,SB,정기,AA,Stable,AA,Stable,2021.06.24,2021.06.24,900,,,,채권
지에스칼텍스(주),141-4,SB,정기,AA+,Stable,AA+,Stable,2021.06.24,2021.06.24,500,,,,채권
케이비증권(주),KB증권 제5527호 주가연계파생결합사채,ELB,본,,,AA+,Stable,2021.06.24,2021.06.24,77.2204,,,,채권
케이비증권(주),제2021-754회 기타파생결합사채,DLB,본,,,AA+,Stable,2021.06.24,2021.06.24,200,,,,채권
키움증권(주),제152회 외 기타파생결합사채,DLB,본,,,AA-,Stable,2021.06.24,2021.06.24,,,,,채권
키움증권(주),제339회 외 주가연계파생결합사채,ELB,본,,,AA-,Stable,2021.06.24,2021.06.24,,,,,채권
한화생명보험(주),제2회 채권형 신종자본증권,HB,정기,AA,Negative,AA,Negative,2021.06.23,2021.06.24,5000,,,,채권
한화손해보험(주),제 10회 채권형 신종자본증권,HB,정기,A+,Negative,A+,Negative,2021.06.23,2021.06.24,1900,,,,채권
한화손해보험(주),제 11회 무보증 후순위사채,SB,정기,AA-,Negative,AA-,Negative,2021.06.23,2021.06.24,3500,,,,채권
현대트랜시스(주),42-2,SB,정기,AA-,Stable,AA-,Stable,2021.06.23,2021.06.24,1500,,,,채권
효성첨단소재(주),262-2(연대보증부),SB,정기,A+,Stable,A+,Stable,2021.06.24,2021.06.24,300,,,,채권
효성첨단소재(주),3-1,SB,정기,A,Stable,A,Stable,2021.06.24,2021.06.24,500,,,,채권
흥국생명보험(주),1,SB,정기,AA-,Stable,AA-,Stable,2021.06.23,2021.06.24,2000,,,,채권
(주)다우기술,3,SB,정기,A,Stable,A,Stable,2021.06.22,2021.06.23,1500,,,,채권
(주)다우기술,5,SB,본,,,A,Stable,2021.06.22,2021.06.23,1500,,,,채권
(주)체리부로,1,BW,정기,BB-,Negative,B+,Negative,2021.06.22,2021.06.23,150,,,,채권
(주)체리부로,제16회,SB,정기,BB-,Negative,B+,Negative,2021.06.22,2021.06.23,70,,,,채권
(주)한솔홈데코,제42회,SB,정기,BBB,Stable,BBB,Stable,2021.06.22,2021.06.23,150,,,,채권
국도화학(주),55,SB,정기,A+,Stable,A+,Stable,2021.06.23,2021.06.23,200,,,,채권
김해시도시개발공사,2020-01 (장유배후),SB,정기,AA,Stable,AA,Stable,2021.06.22,2021.06.23,1.066,,,,채권
아프로파이낸셜대부(주),제147회,SB,정기,A-,Stable,A-,Stable,2021.06.23,2021.06.23,320,,,,채권
에스케이브로드밴드(주),51,SB,본,,,AA,Stable,2021.06.23,2021.06.23,1000,,,,채권
에스케이텔레시스(주),제7회(SKC 권면보증),SB,정기,A+,Stable,A+,Stable,2021.06.23,2021.06.23,300,,,,채권
에쓰푸드(주),1회,SB,정기,BB,Stable,BB,Stable,2021.06.22,2021.06.23,100,,,,채권
평택에너지서비스(주),제5-2회,SB,정기,A-,Positive,A,Stable,2021.06.22,2021.06.23,300,,,,채권
현대위아(주),84,SB,정기,AA-,Stable,AA-,Stable,2021.06.23,2021.06.23,1800,,,,채권
(주)뉴로스,11,BW,정기,B-↓,,CCC,Stable,2021.06.22,2021.06.22,400,,,,채권
(주)신세계센트럴시티,6,SB,정기,AA-,Stable,AA-,Stable,2021.06.21,2021.06.22,1700,,,,채권
(주)펄어비스,제 1회 선순위 무보증사채,SB,본,,,A-,Stable,2021.06.22,2021.06.22,1470,,,,채권
대보유통(주),7,SB,정기,BBB,Negative,BBB,Stable,2021.06.21,2021.06.22,150,,,,채권
롯데캐피탈(주),416-2,SB,본,,,AA-,Stable,2021.06.21,2021.06.22,500,,,,채권
삼성증권(주),제1700회 외 주가연계파생결합사채,ELB,본,,,AA+,Stable,2021.06.22,2021.06.22,,,,,채권
삼성증권(주),제958회 외 기타파생결합사채,DLB,본,,,AA+,Stable,2021.06.22,2021.06.22,,,,,채권
신한금융투자(주),제21-3회 선순위 무보증사채,SB,정기,AA,Stable,AA,Stable,2021.06.21,2021.06.22,300,,,,채권
한화투자증권(주),제24회 후순위 무보증사채,SB,정기,A,Stable,A,Stable,2021.06.22,2021.06.22,400,,,,채권
현대모비스(주),144-3,SB,본,,,AA+,Stable,2021.06.21,2021.06.22,600,,,,채권
현대삼호중공업(주),16-2,SB,본,,,A-,Stable,2021.06.22,2021.06.22,660,,,,채권
