기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,발행한도(억원),유효기간,요지,재무,보고서,Type
(주)케이씨씨,본,,A1,2021.06.21,2021.06.22,2020.12.31,5000,2022.06.30,,,,전자단기사채
롯데캐피탈(주),본,,A1,2021.06.21,2021.06.22,2020.12.31,10000,2022.06.30,,,,전자단기사채
신성통상(주),정기,A3-,A3-,2021.06.21,2021.06.22,2020.06.30,200,2021.12.31,,,,전자단기사채
신한금융투자(주),본,,A1,2021.06.21,2021.06.22,2020.12.31,30000,2022.06.30,,,,전자단기사채
한화투자증권(주),본,,A1,2021.06.22,2021.06.22,2020.12.31,10000,2022.06.30,,,,전자단기사채
현대캐피탈(주),본,,A1,2021.06.21,2021.06.22,2020.12.31,20000,2022.06.30,,,,전자단기사채
(주)케이씨씨글라스,본,,A1,2021.06.21,2021.06.21,2020.12.31,3000,2022.06.30,,,,전자단기사채
강원도개발공사,본,,A1,2021.06.18,2021.06.21,2020.12.31,2000,2022.06.30,,,,전자단기사채
대신에프앤아이(주),본,,A2,2021.06.21,2021.06.21,2020.12.31,5000,2022.06.30,,,,전자단기사채
미래에셋캐피탈(주),본,,A1,2021.06.21,2021.06.21,2020.12.31,5000,2022.06.30,,,,전자단기사채
엘에스엠트론(주),본,,A2-,2021.06.18,2021.06.21,2020.12.31,500,2022.06.30,,,,전자단기사채
우리에프아이에스(주),본,,A2+,2021.06.18,2021.06.21,2020.12.31,500,2022.06.30,,,,전자단기사채
하나캐피탈(주),본,,A1,2021.06.21,2021.06.21,2020.12.31,10000,2022.06.30,,,,전자단기사채
현대커머셜(주),본,,A1,2021.06.21,2021.06.21,2020.12.31,5000,2022.06.30,,,,전자단기사채
에스케이증권(주),본,,A2+,2021.06.17,2021.06.18,2020.12.31,5000,2022.06.30,,,,전자단기사채
엘지이노텍(주),본,,A1,2021.06.18,2021.06.18,2020.12.31,2000,2022.06.30,,,,전자단기사채
삼성중공업(주),본,,A3,2021.06.16,2021.06.17,2020.12.31,8000,2022.06.30,,,,전자단기사채
인천도시공사,본,,A1,2021.06.17,2021.06.17,2020.12.31,21459,2022.06.30,,,,전자단기사채
제이티비씨(주),본,,A3,2021.06.16,2021.06.17,2020.12.31,900,2022.06.30,,,,전자단기사채
에스케이텔레콤(주),본,,A1,2021.06.15,2021.06.15,2020.12.31,8000,2022.06.30,,,,전자단기사채
엔에이치농협캐피탈(주),본,,A1,2021.06.15,2021.06.15,2020.12.31,9350,2022.06.30,,,,전자단기사채
(주)광주신세계,본,,A1,2021.06.11,2021.06.14,2020.12.31,800,2022.06.30,,,,전자단기사채
(주)신세계동대구복합환승센터,본,,A2+,2021.06.11,2021.06.14,2020.12.31,700,2022.06.30,,,,전자단기사채
(주)아이비케이캐피탈,본,,A1,2021.06.14,2021.06.14,2020.12.31,15000,2022.06.30,,,,전자단기사채
롯데카드(주),본,,A1,2021.06.11,2021.06.11,2020.12.31,10000,2022.06.30,,,,전자단기사채
맥쿼리한국인프라투융자회사,수시,A1,A1,2021.06.11,2021.06.11,2020.12.31,1672,2022.06.30,,,,전자단기사채
