기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,발행한도(억원),유효기간,요지,재무,보고서,Type
(주)예스코,정기,A1,A1,2019.12.20,2019.12.20,2018.12.31,1000,2020.06.30,,,,전자단기사채
에스케이증권(주),정기,A2+,A2+,2019.12.19,2019.12.19,2018.12.31,5000,2020.06.30,,,,전자단기사채
제이티비씨스튜디오(주),본,,A3,2019.12.18,2019.12.19,2018.12.31,200,2020.06.30,,,,전자단기사채
에스케이씨하이테크앤마케팅(주),정기,A3,A3,2019.12.18,2019.12.18,2018.12.31,300,2020.06.30,,,,전자단기사채
엘지이노텍(주),정기,A1,A1,2019.12.18,2019.12.18,2018.12.31,2000,2020.06.30,,,,전자단기사채
(주)신세계센트럴시티,정기,A1,A1,2019.12.16,2019.12.17,2018.12.31,1000,2020.06.30,,,,전자단기사채
롯데지알에스(주),정기,A2,A2,2019.12.16,2019.12.17,2018.12.31,250,2020.06.30,,,,전자단기사채
한국남동발전(주),정기,A1,A1,2019.12.17,2019.12.17,2018.12.31,5000,2020.06.30,,,,전자단기사채
HSD엔진(주),정기,B+,B+,2019.12.13,2019.12.16,2018.12.31,800,2020.06.30,,,,전자단기사채
아시아나항공(주),수시,A3-↑,A3-↑,2019.12.16,2019.12.16,2018.12.31,5000,2020.06.30,,,,전자단기사채
한국서부발전(주),정기,A1,A1,2019.12.13,2019.12.13,2018.12.31,5000,2020.06.30,,,,전자단기사채
한국토지주택공사,정기,A1,A1,2019.12.12,2019.12.12,2018.12.31,50000,2020.06.30,,,,전자단기사채
(주)대원고속((주)신한은행 보증),본,,A1,2019.12.11,2019.12.11,2018.12.31,100,2020.06.30,,,,전자단기사채
롯데카드(주),정기,A1,A1,2019.12.11,2019.12.11,2018.12.31,10000,2020.06.30,,,,전자단기사채
엔에이치투자증권(주),정기,A1,A1,2019.12.10,2019.12.10,2018.12.31,40000,2020.06.30,,,,전자단기사채
하나캐피탈(주),정기,A1,A1,2019.12.10,2019.12.10,2018.12.31,10000,2020.06.30,,,,전자단기사채
한국투자증권(주),수시,A1,A1,2019.12.09,2019.12.09,2018.12.31,40000,2020.06.30,,,,전자단기사채
강원도개발공사,정기,A1,A1,2019.12.05,2019.12.06,2018.12.31,2000,2020.06.30,,,,전자단기사채
에스케이에코플랜트(주),정기,A2-,A2-,2019.12.05,2019.12.06,2018.12.31,5000,2020.06.30,,,,전자단기사채
(주)신세계동대구복합환승센터,정기,A2+,A2+,2019.12.04,2019.12.05,2018.12.31,700,2020.06.30,,,,전자단기사채
깨끗한나라(주),정기,A3,A3,2019.12.04,2019.12.05,2018.12.31,800,2020.06.30,,,,전자단기사채
엠캐피탈(주),정기,A2-,A2-,2019.12.05,2019.12.05,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)광주신세계,정기,A1,A1,2019.12.04,2019.12.04,2018.12.31,800,2020.06.30,,,,전자단기사채
(주)아이비케이캐피탈,정기,A1,A1,2019.12.04,2019.12.04,2018.12.31,15000,2020.06.30,,,,전자단기사채
유진투자증권(주),정기,A2+,A2+,2019.12.04,2019.12.04,2018.12.31,4500,2020.06.30,,,,전자단기사채
유진기업(주),정기,A3-,A3,2019.12.02,2019.12.03,2018.12.31,850,2020.06.30,,,,전자단기사채
(주)서울신문사,정기,A3+,A3+,2019.11.29,2019.12.02,2018.12.31,200,2020.06.30,,,,전자단기사채
(주)케이비국민카드,정기,A1,A1,2019.11.29,2019.12.02,2018.12.31,15000,2020.06.30,,,,전자단기사채
KB캐피탈(주),정기,A1,A1,2019.12.02,2019.12.02,2018.12.31,2000,2020.06.30,,,,전자단기사채
비엔케이캐피탈(주),정기,A1,A1,2019.12.02,2019.12.02,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)우리카드,정기,A1,A1,2019.11.29,2019.11.29,2018.12.31,25000,2020.06.30,,,,전자단기사채
DB금융투자(주),정기,A2+,A2+,2019.11.29,2019.11.29,2018.12.31,5000,2020.06.30,,,,전자단기사채
롯데캐피탈(주),정기,A1,A1,2019.11.29,2019.11.29,2018.12.31,10000,2020.06.30,,,,전자단기사채
삼성카드(주),정기,A1,A1,2019.11.29,2019.11.29,2018.12.31,15000,2020.06.30,,,,전자단기사채
신한카드(주),정기,A1,A1,2019.11.29,2019.11.29,2018.12.31,25000,2020.06.30,,,,전자단기사채
신한캐피탈(주),정기,A1,A1,2019.11.29,2019.11.29,2018.12.31,4000,2020.06.30,,,,전자단기사채
엔에이치농협캐피탈(주),정기,A1,A1,2019.11.29,2019.11.29,2018.12.31,8000,2020.06.30,,,,전자단기사채
케이티비네트워크(주),정기,A3+,A3+,2019.11.29,2019.11.29,2018.12.31,150,2020.06.30,,,,전자단기사채
하나카드(주),정기,A1,A1,2019.11.28,2019.11.29,2018.12.31,14000,2020.06.30,,,,전자단기사채
산은캐피탈(주),정기,A1,A1,2019.11.28,2019.11.28,2018.12.31,5000,2020.06.30,,,,전자단기사채
평택도시공사,정기,A1,A1,2019.11.28,2019.11.28,2018.12.31,800,2019.12.31,,,,전자단기사채
현대카드(주),정기,A1,A1,2019.11.28,2019.11.28,2018.12.31,16000,2020.06.30,,,,전자단기사채
현대캐피탈(주),정기,A1,A1,2019.11.28,2019.11.28,2018.12.31,20000,2020.06.30,,,,전자단기사채
메리츠증권(주),정기,A1,A1,2019.11.27,2019.11.27,2018.12.31,35000,2020.06.30,,,,전자단기사채
미래에셋증권(주),정기,A1,A1,2019.11.27,2019.11.27,2018.12.31,30000,2020.06.30,,,,전자단기사채
아이비케이투자증권(주),정기,A1,A1,2019.11.27,2019.11.27,2018.12.31,5000,2020.06.30,,,,전자단기사채
케이비증권(주),정기,A1,A1,2019.11.27,2019.11.27,2018.12.31,30000,2020.06.30,,,,전자단기사채
한국투자증권(주),정기,A1,A1,2019.11.27,2019.11.27,2018.12.31,40000,2020.06.30,,,,전자단기사채
(주)한화건설,정기,A3+,A2-,2019.11.26,2019.11.26,2018.12.31,3000,2020.06.30,,,,전자단기사채
대신증권(주),정기,A1,A1,2019.11.26,2019.11.26,2018.12.31,20000,2020.06.30,,,,전자단기사채
메리츠캐피탈(주),정기,A2+,A2+,2019.11.22,2019.11.25,2018.12.31,4500,2020.06.30,,,,전자단기사채
키움증권(주),정기,A1,A1,2019.11.25,2019.11.25,2018.12.31,30000,2020.06.30,,,,전자단기사채
(주)애큐온캐피탈,정기,A2,A2,2019.11.22,2019.11.22,2018.12.31,8500,2020.06.30,,,,전자단기사채
미래에셋캐피탈(주),정기,A1,A1,2019.11.22,2019.11.22,2018.12.31,5000,2020.06.30,,,,전자단기사채
현대커머셜(주),정기,A1,A1,2019.11.22,2019.11.22,2018.12.31,5000,2020.06.30,,,,전자단기사채
교보증권(주),정기,A1,A1,2019.11.21,2019.11.21,2018.12.31,7000,2020.06.30,,,,전자단기사채
삼성증권(주),정기,A1,A1,2019.11.21,2019.11.21,2018.12.31,20000,2020.06.30,,,,전자단기사채
유안타증권(주),정기,A1,A1,2019.11.21,2019.11.21,2018.12.31,10000,2020.06.30,,,,전자단기사채
(주)DGB캐피탈,정기,A2,A2,2019.11.20,2019.11.20,2018.12.31,3000,2020.06.30,,,,전자단기사채
(주)케이씨씨건설,정기,A2,A2,2019.11.19,2019.11.20,2018.12.31,1000,2020.06.30,,,,전자단기사채
한국남부발전(주),정기,A1,A1,2019.11.15,2019.11.15,2018.12.31,5000,2020.06.30,,,,전자단기사채
아시아나항공(주),정기,A3-↓,A3-↑,2019.11.14,2019.11.14,2018.12.31,5000,2020.06.30,,,,전자단기사채
부산항만공사,정기,A1,A1,2019.11.13,2019.11.13,2018.12.31,300,2020.06.30,,,,전자단기사채
코리아오토글라스(주),정기,A1,A1,2019.11.11,2019.11.12,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)대원고속((주)신한은행 보증),본,,A1,2019.11.08,2019.11.08,2018.12.31,150,2020.06.30,,,,전자단기사채
(주)대동,정기,A3,A3,2019.10.31,2019.10.31,2018.12.31,200,2020.06.30,,,,전자단기사채
(주)케이씨씨,정기,A1,A1,2019.10.25,2019.10.28,2018.12.31,5000,2020.06.30,,,,전자단기사채
한국가스공사,정기,A1,A1,2019.10.28,2019.10.28,2018.12.31,50000,2020.06.30,,,,전자단기사채
지에스칼텍스(주),정기,A1,A1,2019.10.16,2019.10.16,2018.12.31,8000,2020.06.30,,,,전자단기사채
에스케이텔레콤(주),정기,A1,A1,2019.10.08,2019.10.08,2018.12.31,8000,2020.06.30,,,,전자단기사채
한화종합화학(주),정기,A1,A1,2019.10.02,2019.10.02,2018.12.31,1500,2020.06.30,,,,전자단기사채
키움캐피탈(주),본,,A3+,2019.10.01,2019.10.01,2018.12.31,2000,2020.06.30,,,,전자단기사채
신영증권(주),본,,A1,2019.09.30,2019.09.30,2019.03.31,7000,2020.09.30,,,,전자단기사채
한화투자증권(주),수시,A1,A1,2019.09.24,2019.09.24,2018.12.31,10000,2020.06.30,,,,전자단기사채
(주)경기고속((주)신한은행 보증),본,,A1,2019.09.10,2019.09.11,2018.12.31,100,2020.06.30,,,,전자단기사채
(주)두산,정기,A3+,A3+,2019.09.11,2019.09.11,2018.12.31,2000,2020.06.30,,,,전자단기사채
에스케이브로드밴드(주),정기,A1,A1,2019.09.10,2019.09.10,2018.12.31,2000,2020.06.30,,,,전자단기사채
한국주택금융공사,수시,A1,A1,2019.08.19,2019.08.19,2018.12.31,16500,2020.06.30,,,,전자단기사채
롯데쇼핑(주),정기,A1,A1,2019.08.16,2019.08.16,2018.12.31,10000,2020.06.30,,,,전자단기사채
효성중공업(주),정기,A2,A2,2019.08.16,2019.08.16,2018.12.31,450,2020.06.30,,,,전자단기사채
한화투자증권(주),수시,A2+,A1,2019.08.01,2019.08.01,2018.12.31,10000,2020.06.30,,,,전자단기사채
부산항만공사,본,,A1,2019.07.18,2019.07.18,2018.12.31,300,2020.06.30,,,,전자단기사채
케이티비네트워크(주),본,,A3+,2019.07.08,2019.07.08,2018.12.31,150,2020.06.30,,,,전자단기사채
(주)광주신세계,본,,A1,2019.07.01,2019.07.01,2018.12.31,800,2020.06.30,,,,전자단기사채
(주)BNK투자증권,본,,A2+,2019.06.28,2019.06.28,2018.12.31,10000,2020.06.30,,,,전자단기사채
(주)신한금융지주회사,본,,A1,2019.06.28,2019.06.28,2018.12.31,4000,2020.06.30,,,,전자단기사채
(주)우리카드,본,,A1,2019.06.28,2019.06.28,2018.12.31,25000,2020.06.30,,,,전자단기사채
(주)이랜드리테일,본,,A3+,2019.06.27,2019.06.28,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)이랜드월드,본,,A3,2019.06.27,2019.06.28,2018.12.31,1500,2020.06.30,,,,전자단기사채
(주)지에스리테일,본,,A1,2019.06.28,2019.06.28,2018.12.31,5000,2020.06.30,,,,전자단기사채
(주)현대그린푸드,본,,A1,2019.06.27,2019.06.28,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)현대백화점,본,,A1,2019.06.27,2019.06.28,2018.12.31,5000,2020.06.30,,,,전자단기사채
(주)현대홈쇼핑,본,,A1,2019.06.27,2019.06.28,2018.12.31,4000,2020.06.30,,,,전자단기사채
대신증권(주),본,,A1,2019.06.28,2019.06.28,2018.12.31,20000,2020.06.30,,,,전자단기사채
대한해운(주),본,,A3-,2019.06.28,2019.06.28,2018.12.31,1000,2020.06.30,,,,전자단기사채
롯데지알에스(주),본,,A2,2019.06.27,2019.06.28,2018.12.31,250,2020.06.30,,,,전자단기사채
롯데카드(주),본,,A1,2019.06.28,2019.06.28,2018.12.31,10000,2020.06.30,,,,전자단기사채
부국증권(주),본,,A2+,2019.06.28,2019.06.28,2018.12.31,9000,2020.06.30,,,,전자단기사채
씨제이씨지브이(주),본,,A2+,2019.06.28,2019.06.28,2018.12.31,1000,2020.06.30,,,,전자단기사채
엔에이치투자증권(주),본,,A1,2019.06.28,2019.06.28,2018.12.31,40000,2020.06.30,,,,전자단기사채
예금보험공사,본,,A1,2019.06.28,2019.06.28,2018.12.31,13000,2020.06.30,,,,전자단기사채
유안타증권(주),본,,A1,2019.06.28,2019.06.28,2018.12.31,10000,2020.06.30,,,,전자단기사채
유진기업(주),본,,A3-,2019.06.27,2019.06.28,2018.12.31,850,2020.06.30,,,,전자단기사채
하이투자증권(주),본,,A1,2019.06.28,2019.06.28,2018.12.31,10000,2020.06.30,,,,전자단기사채
한국전력공사,본,,A1,2019.06.28,2019.06.28,2018.12.31,46000,2020.06.30,,,,전자단기사채
한국증권금융(주),본,,A1,2019.06.28,2019.06.28,2018.12.31,20000,2020.06.30,,,,전자단기사채
현대카드(주),본,,A1,2019.06.28,2019.06.28,2018.12.31,16000,2020.06.30,,,,전자단기사채
현대캐피탈(주),본,,A1,2019.06.28,2019.06.28,2018.12.31,20000,2020.06.30,,,,전자단기사채
(주)대원고속((주)신한은행 보증),수시,A1,A1,2019.06.26,2019.06.27,2018.12.31,100,2019.12.18,,,,전자단기사채
(주)케이씨씨,본,,A1,2019.06.27,2019.06.27,2018.12.31,5000,2020.06.30,,,,전자단기사채
신한캐피탈(주),본,,A1,2019.06.27,2019.06.27,2018.12.31,4000,2020.06.30,,,,전자단기사채
엔에이치농협캐피탈(주),본,,A1,2019.06.27,2019.06.27,2018.12.31,8000,2020.06.30,,,,전자단기사채
유진투자증권(주),본,,A2+,2019.06.27,2019.06.27,2018.12.31,4500,2020.06.30,,,,전자단기사채
케이티비투자증권(주),본,,A2-,2019.06.26,2019.06.27,2018.12.31,5000,2020.06.30,,,,전자단기사채
한국투자증권(주),본,,A1,2019.06.27,2019.06.27,2018.12.31,40000,2020.06.30,,,,전자단기사채
미래에셋증권(주),본,,A1,2019.06.26,2019.06.26,2018.12.31,30000,2020.06.30,,,,전자단기사채
신한금융투자(주),본,,A1,2019.06.26,2019.06.26,2018.12.31,30000,2020.06.30,,,,전자단기사채
키움증권(주),본,,A1,2019.06.25,2019.06.26,2018.12.31,30000,2020.06.30,,,,전자단기사채
한국토지주택공사,본,,A1,2019.06.26,2019.06.26,2018.12.31,50000,2020.06.30,,,,전자단기사채
교보증권(주),본,,A1,2019.06.25,2019.06.25,2018.12.31,7000,2020.06.30,,,,전자단기사채
이베스트투자증권(주),본,,A2+,2019.06.25,2019.06.25,2018.12.31,4500,2020.06.30,,,,전자단기사채
케이비증권(주),본,,A1,2019.06.25,2019.06.25,2018.12.31,30000,2020.06.30,,,,전자단기사채
(주)신세계,본,,A1,2019.06.21,2019.06.24,2018.12.31,8000,2020.06.30,,,,전자단기사채
롯데하이마트(주),본,,A1,2019.06.21,2019.06.24,2018.12.31,2000,2020.06.30,,,,전자단기사채
파르나스호텔(주),본,,A2+,2019.06.21,2019.06.24,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)대동,본,,A3,2019.06.21,2019.06.21,2018.12.31,200,2020.06.30,,,,전자단기사채
(주)한라,본,,A3,2019.06.21,2019.06.21,2018.12.31,500,2020.06.30,,,,전자단기사채
두산중공업(주),본,,A3,2019.06.21,2019.06.21,2018.12.31,10000,2020.06.30,,,,전자단기사채
롯데쇼핑(주),본,,A1,2019.06.21,2019.06.21,2018.12.31,10000,2020.06.30,,,,전자단기사채
한화종합화학(주),본,,A1,2019.06.21,2019.06.21,2018.12.31,1500,2020.06.30,,,,전자단기사채
한화투자증권(주),본,,A2+,2019.06.21,2019.06.21,2018.12.31,10000,2020.06.30,,,,전자단기사채
(주)신원,본,,A3-,2019.06.20,2019.06.20,2018.12.31,200,2020.06.30,,,,전자단기사채
엠캐피탈(주),본,,A2-,2019.06.20,2019.06.20,2018.12.31,1000,2020.06.30,,,,전자단기사채
하나캐피탈(주),본,,A1,2019.06.20,2019.06.20,2018.12.31,10000,2020.06.30,,,,전자단기사채
삼성증권(주),본,,A1,2019.06.18,2019.06.18,2018.12.31,20000,2020.06.30,,,,전자단기사채
아시아나항공(주),본,,A3-↓,2019.06.18,2019.06.18,2018.12.31,5000,2020.06.30,,,,전자단기사채
지에스칼텍스(주),본,,A1,2019.06.18,2019.06.18,2018.12.31,8000,2020.06.30,,,,전자단기사채
한국가스공사,본,,A1,2019.06.14,2019.06.17,2018.12.31,50000,2020.06.30,,,,전자단기사채
(주)DGB캐피탈,본,,A2,2019.06.14,2019.06.14,2018.12.31,3000,2020.06.30,,,,전자단기사채
미래에셋캐피탈(주),본,,A1,2019.06.14,2019.06.14,2018.12.31,5000,2020.06.30,,,,전자단기사채
(주)대원고속((주)신한은행 보증),본,,A1,2019.06.12,2019.06.13,2018.12.31,100,2019.12.18,,,,전자단기사채
(주)서울신문사,본,,A3+,2019.06.12,2019.06.13,2018.12.31,200,2020.06.30,,,,전자단기사채
(주)애큐온캐피탈,본,,A2,2019.06.13,2019.06.13,2018.12.31,8500,2020.06.30,,,,전자단기사채
코리아오토글라스(주),본,,A1,2019.06.12,2019.06.13,2018.12.31,1000,2020.06.30,,,,전자단기사채
한국주택금융공사,본,,A1,2019.06.12,2019.06.13,2018.12.31,16500,2020.06.30,,,,전자단기사채
(주)경기고속((주)신한은행 보증),본,,A1,2019.06.12,2019.06.12,2018.12.31,100,2019.09.20,,,,전자단기사채
(주)동방,본,,A3-,2019.06.12,2019.06.12,2018.12.31,120,2020.06.30,,,,전자단기사채
(주)아이비케이캐피탈,본,,A1,2019.06.12,2019.06.12,2018.12.31,15000,2020.06.30,,,,전자단기사채
비엔케이캐피탈(주),본,,A1,2019.06.12,2019.06.12,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)두산,본,,A3+,2019.06.11,2019.06.11,2018.12.31,2000,2020.06.30,,,,전자단기사채
삼성중공업(주),본,,A3+,2019.06.11,2019.06.11,2018.12.31,8000,2020.06.30,,,,전자단기사채
(주)호텔롯데,본,,A1,2019.06.07,2019.06.10,2018.12.31,5000,2020.06.30,,,,전자단기사채
KB캐피탈(주),본,,A1,2019.06.10,2019.06.10,2018.12.31,2000,2020.06.30,,,,전자단기사채
에스케이증권(주),본,,A2+,2019.06.07,2019.06.10,2018.12.31,5000,2020.06.30,,,,전자단기사채
메리츠캐피탈(주),본,,A2+,2019.06.07,2019.06.07,2018.12.31,4500,2020.06.30,,,,전자단기사채
아이비케이투자증권(주),본,,A1,2019.06.07,2019.06.07,2018.12.31,5000,2020.06.30,,,,전자단기사채
(주)신세계센트럴시티,본,,A1,2019.06.05,2019.06.05,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)예스코,본,,A1,2019.06.05,2019.06.05,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)예스코홀딩스,본,,A1,2019.06.05,2019.06.05,2018.12.31,1000,2020.06.30,,,,전자단기사채
한국남부발전(주),본,,A1,2019.06.05,2019.06.05,2018.12.31,5000,2020.06.30,,,,전자단기사채
에스케이텔레콤(주),본,,A1,2019.06.04,2019.06.04,2018.12.31,8000,2020.06.30,,,,전자단기사채
한국남동발전(주),본,,A1,2019.06.04,2019.06.04,2018.12.31,5000,2020.06.30,,,,전자단기사채
(주)신세계동대구복합환승센터,본,,A2+,2019.05.31,2019.06.03,2018.12.31,700,2020.06.30,,,,전자단기사채
(주)케이비국민카드,본,,A1,2019.05.31,2019.05.31,2018.12.31,15000,2020.06.30,,,,전자단기사채
산은캐피탈(주),본,,A1,2019.05.31,2019.05.31,2018.12.31,5000,2020.06.30,,,,전자단기사채
삼성카드(주),본,,A1,2019.05.31,2019.05.31,2018.12.31,15000,2020.06.30,,,,전자단기사채
신한카드(주),본,,A1,2019.05.31,2019.05.31,2018.12.31,25000,2020.06.30,,,,전자단기사채
에스케이브로드밴드(주),본,,A1,2019.05.31,2019.05.31,2018.12.31,2000,2020.06.30,,,,전자단기사채
에스케이씨하이테크앤마케팅(주),본,,A3,2019.05.31,2019.05.31,2018.12.31,300,2020.06.30,,,,전자단기사채
하나카드(주),본,,A1,2019.05.31,2019.05.31,2018.12.31,14000,2020.06.30,,,,전자단기사채
한국서부발전(주),본,,A1,2019.05.31,2019.05.31,2018.12.31,5000,2020.06.30,,,,전자단기사채
DB금융투자(주),본,,A2+,2019.05.28,2019.05.29,2018.12.31,5000,2020.06.30,,,,전자단기사채
대신에프앤아이(주),본,,A2,2019.05.24,2019.05.24,2018.12.31,5000,2020.06.30,,,,전자단기사채
현대커머셜(주),본,,A1,2019.05.24,2019.05.24,2018.12.31,5000,2020.06.30,,,,전자단기사채
롯데캐피탈(주),본,,A1,2019.05.22,2019.05.22,2018.12.31,10000,2020.06.30,,,,전자단기사채
두산중공업(주),수시,A3+↓,A3,2019.05.17,2019.05.17,2018.12.31,10000,2019.06.30,,,,전자단기사채
서진산업(주),본,,A3-,2019.05.14,2019.05.14,2018.12.31,100,2020.06.30,,,,전자단기사채
중앙일보(주),본,,A3,2019.05.13,2019.05.14,2018.12.31,1000,2020.06.30,,,,전자단기사채
에스케이인천석유화학(주),본,,A1,2019.05.10,2019.05.10,2018.12.31,5000,2020.06.30,,,,전자단기사채
(주)이마트,본,,A1,2019.05.07,2019.05.08,2018.12.31,8000,2020.06.30,,,,전자단기사채
유안타증권(주),수시,A2+,A1,2019.05.07,2019.05.08,2018.12.31,10000,2019.06.30,,,,전자단기사채
한양증권(주),본,,A2,2019.05.07,2019.05.07,2018.12.31,2000,2020.06.30,,,,전자단기사채
(주)케이씨씨건설,본,,A2,2019.05.02,2019.05.02,2018.12.31,1000,2020.06.30,,,,전자단기사채
(주)경농((주)신한은행 보증),본,,A1,2019.04.26,2019.04.26,2018.12.31,200,2020.04.24,,,,전자단기사채
강원도개발공사,본,,A1,2019.04.25,2019.04.25,2018.12.31,2000,2020.06.30,,,,전자단기사채
에스케이에코플랜트(주),본,,A2-,2019.04.23,2019.04.23,2018.12.31,5000,2020.06.30,,,,전자단기사채
평택도시공사,본,,A1,2019.04.23,2019.04.23,2018.12.31,800,2019.12.31,,,,전자단기사채
HSD엔진(주),본,,B+,2019.04.15,2019.04.16,2018.12.31,800,2020.06.30,,,,전자단기사채
(주)한화건설,본,,A3+,2019.04.10,2019.04.11,2018.12.31,3000,2020.06.30,,,,전자단기사채
메리츠증권(주),본,,A1,2019.04.11,2019.04.11,2018.12.31,35000,2020.06.30,,,,전자단기사채
깨끗한나라(주),본,,A3,2019.04.01,2019.04.01,2018.12.31,800,2020.06.30,,,,전자단기사채
신영증권(주),정기,A1,A1,2019.03.29,2019.03.29,2018.03.31,7000,2019.09.30,,,,전자단기사채
신성통상(주),정기,A3-,A3-,2019.03.27,2019.03.27,2018.06.30,150,2019.12.31,,,,전자단기사채
엘지이노텍(주),본,,A1,2019.03.25,2019.03.25,2018.12.31,2000,2020.06.30,,,,전자단기사채
효성중공업(주),본,,A2,2019.03.25,2019.03.25,2018.12.31,450,2020.06.30,,,,전자단기사채
아시아나항공(주),수시,A3-,A3-↓,2019.03.22,2019.03.22,2017.12.31,1500,2019.06.30,,,,전자단기사채
케이비증권(주),수시,A1,A1,2019.03.22,2019.03.22,2017.12.31,30000,2019.06.30,,,,전자단기사채
두산중공업(주),수시,A3+↓,A3+↓,2019.03.13,2019.03.13,2017.12.31,10000,2019.06.30,,,,전자단기사채
(주)동방,본,,A3-,2019.02.28,2019.02.28,2017.12.31,120,2019.06.30,,,,전자단기사채
엔에이치농협캐피탈(주),수시,A1,A1,2019.02.28,2019.02.28,2017.12.31,8400,2019.06.30,,,,전자단기사채
두산중공업(주),수시,A3+,A3+↓,2019.02.14,2019.02.14,2017.12.31,10000,2019.06.30,,,,전자단기사채
부국증권(주),수시,A2+,A2+,2019.01.30,2019.01.30,2017.12.31,9000,2019.06.30,,,,전자단기사채
하나카드(주),수시,A1,A1,2019.01.08,2019.01.08,2017.12.31,14000,2019.06.30,,,,전자단기사채
(주)우리카드,수시,A1,A1,2019.01.02,2019.01.02,2017.12.31,22000,2019.06.30,,,,전자단기사채
DB금융투자(주),정기,A2+,A2+,2018.12.31,2018.12.31,2017.12.31,5000,2019.06.30,,,,전자단기사채
대한해운(주),정기,A3-,A3-,2018.12.31,2018.12.31,2017.12.31,1000,2019.06.30,,,,전자단기사채
롯데쇼핑(주),정기,A1,A1,2018.12.31,2018.12.31,2017.12.31,10000,2019.06.30,,,,전자단기사채
(주)BNK투자증권,정기,A2+,A2+,2018.12.27,2018.12.28,2017.12.31,10000,2019.06.30,,,,전자단기사채
(주)현대미포조선,정기,A3+,A3+,2018.12.27,2018.12.28,2017.12.31,3000,2019.06.30,,,,전자단기사채
(주)호텔롯데,정기,A1,A1,2018.12.27,2018.12.28,2017.12.31,5000,2019.06.30,,,,전자단기사채
DB캐피탈(주),정기,A3,A3,2018.12.27,2018.12.28,2017.12.31,200,2019.06.30,,,,전자단기사채
대신증권(주),정기,A1,A1,2018.12.28,2018.12.28,2017.12.31,20000,2019.06.30,,,,전자단기사채
부국증권(주),정기,A2+,A2+,2018.12.27,2018.12.28,2017.12.31,9000,2019.06.30,,,,전자단기사채
예금보험공사,정기,A1,A1,2018.12.28,2018.12.28,2017.12.31,8500,2019.06.30,,,,전자단기사채
지에스칼텍스(주),정기,A1,A1,2018.12.28,2018.12.28,2017.12.31,8000,2019.06.30,,,,전자단기사채
키움증권(주),정기,A1,A1,2018.12.28,2018.12.28,2017.12.31,20000,2019.06.30,,,,전자단기사채
한양증권(주),정기,A2,A2,2018.12.28,2018.12.28,2017.12.31,1000,2019.06.30,,,,전자단기사채
한화투자증권(주),정기,A2+,A2+,2018.12.28,2018.12.28,2017.12.31,5000,2019.06.30,,,,전자단기사채
현대커머셜(주),정기,A1,A1,2018.12.28,2018.12.28,2017.12.31,5000,2019.06.30,,,,전자단기사채
(주)대우건설,정기,A2-,A2-,2018.12.26,2018.12.27,2017.12.31,2000,2019.06.30,,,,전자단기사채
(주)한섬,정기,A1,A1,2018.12.26,2018.12.27,2017.12.31,1000,2019.06.30,,,,전자단기사채
(주)현대그린푸드,정기,A1,A1,2018.12.26,2018.12.27,2017.12.31,1000,2019.06.30,,,,전자단기사채
(주)현대백화점,정기,A1,A1,2018.12.26,2018.12.27,2017.12.31,5000,2019.06.30,,,,전자단기사채
(주)현대홈쇼핑,정기,A1,A1,2018.12.26,2018.12.27,2017.12.31,4000,2019.06.30,,,,전자단기사채
롯데지알에스(주),정기,A2+,A2+,2018.12.27,2018.12.27,2017.12.31,250,2019.06.30,,,,전자단기사채
신한금융투자(주),정기,A1,A1,2018.12.27,2018.12.27,2017.12.31,30000,2019.06.30,,,,전자단기사채
아시아나항공(주),정기,A3-,A3-,2018.12.27,2018.12.27,2017.12.31,1500,2019.06.30,,,,전자단기사채
에스케이증권(주),정기,A2,A2,2018.12.27,2018.12.27,2017.12.31,5000,2019.06.30,,,,전자단기사채
케이티비투자증권(주),정기,A2-,A2-,2018.12.27,2018.12.27,2017.12.31,5000,2019.06.30,,,,전자단기사채
한국증권금융(주),정기,A1,A1,2018.12.27,2018.12.27,2017.12.31,20000,2019.06.30,,,,전자단기사채
(주)신원,정기,A3,A3,2018.12.26,2018.12.26,2017.12.31,200,2019.06.30,,,,전자단기사채
(주)케이씨씨건설,정기,A2,A2,2018.12.26,2018.12.26,2017.12.31,1000,2019.06.30,,,,전자단기사채
롯데건설(주),정기,A2,A2,2018.12.26,2018.12.26,2017.12.31,1000,2019.06.30,,,,전자단기사채
신성통상(주),본,,A3-,2018.12.26,2018.12.26,2018.06.30,150,2019.12.31,,,,전자단기사채
에스케이에코플랜트(주),정기,A2-,A2-,2018.12.26,2018.12.26,2017.12.31,5000,2019.06.30,,,,전자단기사채
중앙일보(주),정기,A3,A3,2018.12.26,2018.12.26,2017.12.31,1000,2019.06.30,,,,전자단기사채
(주)신세계,정기,A1,A1,2018.12.21,2018.12.21,2017.12.31,8000,2019.06.30,,,,전자단기사채
(주)이마트,정기,A1,A1,2018.12.21,2018.12.21,2017.12.31,8000,2019.06.30,,,,전자단기사채
