기업명,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,유효기간,요지,재무,보고서,Type
하이트진로홀딩스(주),정기,A,Stable,A,Stable,2010.06.25,2010.06.25,2014.04.25,,,,기업신용평가
한국가스공사,정기,AAA,Stable,AAA,Stable,2010.06.25,2010.06.25,2044.08.22,,,,기업신용평가
한국토지주택공사,정기,AAA,Stable,AAA,Stable,2010.06.25,2010.06.25,2034.01.28,,,,기업신용평가
(주)STX,정기,A-,Stable,A-,Stable,2010.06.24,2010.06.24,2010.12.05,,,,기업신용평가
(주)유한양행,정기,AA-,Stable,AA-,Stable,2010.06.24,2010.06.24,2010.09.25,,,,기업신용평가
대봉엘에스(주),정기,BB,Stable,BB,Stable,2010.06.24,2010.06.24,2013.02.25,,,,기업신용평가
에스티엑스조선해양(주),정기,A-,Stable,A-,Stable,2010.06.24,2010.06.24,2015.09.06,,,,기업신용평가
에스티엑스중공업(주),본,,,BBB+,Stable,2010.06.24,2010.06.24,2014.10.25,,,,기업신용평가
전남개발공사,정기,AA+,Stable,AA+,Stable,2010.06.24,2010.06.24,2019.07.17,,,,기업신용평가
충청남도개발공사,정기,AA+,Stable,AA+,Stable,2010.06.24,2010.06.24,2011.11.30,,,,기업신용평가
(주)동양,정기,BB+,Stable,BB+,Stable,2010.06.23,2010.06.23,2015.02.28,,,,기업신용평가
벽산건설(주),정기,BBB-,Negative,BB+,Stable,2010.06.23,2010.06.23,2010.07.04,,,,기업신용평가
하나심비디움(유),정기,A+,Stable,A+,Stable,2010.06.23,2010.06.23,2013.07.12,,,,기업신용평가
한국도로공사,정기,AAA,Stable,AAA,Stable,2010.06.23,2010.06.23,2047.02.17,,,,기업신용평가
한국서부발전(주),정기,AAA,Stable,AAA,Stable,2010.06.23,2010.06.23,2037.07.21,,,,기업신용평가
한국전력공사,정기,AAA,Stable,AAA,Stable,2010.06.23,2010.06.23,2029.08.27,,,,기업신용평가
(주)두산캐피탈,정기,A+,Stable,A+,Stable,2010.06.22,2010.06.22,2018.08.27,,,,기업신용평가
유니온스틸(주),정기,BBB+,Stable,BBB+,Positive,2010.06.22,2010.06.22,2017.02.24,,,,기업신용평가
티유미디어(주),정기,BBB+,Stable,BBB+,Stable,2010.06.22,2010.06.22,2011.07.16,,,,기업신용평가
현대파워텍(주),정기,A,Stable,A,Stable,2010.06.22,2010.06.22,2018.02.27,,,,기업신용평가
(주)세계투어,정기,B-,Stable,B-,Stable,2010.06.21,2010.06.21,2012.11.06,,,,기업신용평가
(주)에스비에스,정기,AA,Stable,AA,Stable,2010.06.21,2010.06.21,2012.05.19,,,,기업신용평가
(주)포스코,정기,AAA,Stable,AAA,Stable,2010.06.21,2010.06.21,2023.10.04,,,,기업신용평가
경남개발공사,정기,AA+,Stable,AA+,Stable,2010.06.21,2010.06.21,2012.08.31,,,,기업신용평가
경상북도개발공사,정기,AA+,Stable,AA+,Stable,2010.06.21,2010.06.21,2019.05.31,,,,기업신용평가
부산항만공사,정기,AAA,Stable,AAA,Stable,2010.06.21,2010.06.21,2036.09.06,,,,기업신용평가
에스케이이노베이션(주),정기,AA+,Stable,AA+,Stable,2010.06.21,2010.06.21,2011.01.17,,,,기업신용평가
울산광역시도시공사,본,,,AA+,Stable,2010.06.21,2010.06.21,2016.04.30,,,,기업신용평가
하나금융투자(주),본,,,AA,Stable,2010.06.21,2010.06.21,2011.06.21,,,,기업신용평가
한국산업단지공단,정기,AAA,Stable,AAA,Stable,2010.06.21,2010.06.21,2019.02.18,,,,기업신용평가
(주)녹십자셀,정기,B,Stable,B,Stable,2010.06.18,2010.06.18,2012.09.04,,,,기업신용평가
(주)와이즈파워,본,,,B+,Stable,2010.06.18,2010.06.18,2015.08.10,,,,기업신용평가
강원도개발공사,정기,AA+,Stable,AA+,Stable,2010.06.18,2010.06.18,2019.05.22,,,,기업신용평가
에스케이루브리컨츠(주),정기,AA-,Stable,AA-,Stable,2010.06.18,2010.06.18,2010.10.01,,,,기업신용평가
제넥셀세인(주),수시,CC,Negative,C,,2010.06.18,2010.06.18,2011.12.14,,,,기업신용평가
(주)제이튠엔터테인먼트,정기,B-,Stable,B-,Stable,2010.06.17,2010.06.17,2010.07.22,,,,기업신용평가
(주)피더블유제네틱스,수시,C,,취소,,2010.06.17,2010.06.17,2011.08.13,,,,기업신용평가
(주)후성,정기,BB,Stable,BB,Stable,2010.06.17,2010.06.17,2011.02.28,,,,기업신용평가
산은캐피탈(주),정기,A+,Stable,A+,Stable,2010.06.17,2010.06.17,2011.06.17,,,,기업신용평가
현대엘리베이터(주),정기,A,Stable,A,Stable,2010.06.16,2010.06.16,2015.10.22,,,,기업신용평가
(주)바른테크놀로지,정기,B,Stable,B+,Stable,2010.06.15,2010.06.15,2013.07.06,,,,기업신용평가
롯데카드(주),정기,AA,Stable,AA,Stable,2010.06.15,2010.06.15,2018.04.29,,,,기업신용평가
산양전기(주),수시,C,,D,,2010.06.15,2010.06.15,2011.06.09,,,,기업신용평가
트루프렌드제오차(주),정기,AA-,,AA-,Stable,2010.06.15,2010.06.15,2012.04.26,,,,기업신용평가
두산메카텍(주),정기,BBB+,Stable,BBB+,Stable,2010.06.14,2010.06.14,2013.07.23,,,,기업신용평가
현대오일뱅크(주),정기,A,Stable,A,Stable,2010.06.14,2010.06.14,2011.03.13,,,,기업신용평가
(주)디비메탈,정기,BBB+,Stable,BBB+,Stable,2010.06.11,2010.06.11,2022.09.12,,,,기업신용평가
(주)케이피케미칼,본,,,AA-,Stable,2010.06.11,2010.06.11,2011.06.11,,,,기업신용평가
(주)팜한농,본,,,BBB,Stable,2010.06.11,2010.06.11,2022.02.16,,,,기업신용평가
동국제강(주),정기,A,Stable,A,Stable,2010.06.11,2010.06.11,2010.11.18,,,,기업신용평가
한성기업(주),본,,,BBB-,Stable,2010.06.11,2010.06.11,2011.06.11,,,,기업신용평가
(주)크라운해태홀딩스,본,,,A-,Stable,2010.06.10,2010.06.10,2011.06.10,,,,기업신용평가
엘지에릭슨(주),본,,,A+,Stable,2010.06.10,2010.06.10,2011.06.09,,,,기업신용평가
해태제과식품(주),본,,,A-,Stable,2010.06.10,2010.06.10,2011.10.09,,,,기업신용평가
(주)전북은행,본,,,AA+,Stable,2010.06.09,2010.06.09,2011.06.08,,,,기업신용평가
