회사명,종류,구분,회차,발행액,직전등급(Outlook),현재등급(Outlook),평가일,공시일,평가의견,보고서,Type,평가기준일,직전등급,현재등급,한도설정일,발행한도
(주)JB금융지주,FB,정기,12-2,300.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,12-1,400.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,11-2,2100.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,11-1,1200.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,008,1300.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,"FB(Sub, Cocos)",정기,005,600.0,AA-(안정적),AA- (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,FB,정기,005,1000.0,AA+(안정적),AA+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,HB(Cocos),정기,004,2550.0,A+(안정적),A+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,HB(Cocos),정기,003,800.0,A+(안정적),A+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
(주)JB금융지주,HB(Cocos),정기,002,680.0,A+(안정적),A+ (안정적),2021.06.29,2021.06.29 ( 17 : 52 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-5,200.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-4,100.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-3,400.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-2,200.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,426-1,100.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,425-2,100.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
JB우리캐피탈(주),FB,본,425-1,200.0,,AA- (안정적),2021.06.25,2021.06.25 ( 16 : 30 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-7,200.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-6,300.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-5,500.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-4,200.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-3,700.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-2,500.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
KB캐피탈(주),FB,본,476-1,600.0,,AA- (안정적),2021.07.06,2021.07.06 ( 14 : 37 ),,,전자단기사채,,,,,
LG이노텍(주),SB,정기,43-3,700.0,AA-(안정적),AA- (안정적),2021.06.23,2021.06.24 ( 18 : 11 ),,,전자단기사채,,,,,
LG이노텍(주),SB,정기,43-2,600.0,AA-(안정적),AA- (안정적),2021.06.23,2021.06.24 ( 18 : 11 ),,,전자단기사채,,,,,
LG이노텍(주),SB,정기,43-1,700.0,AA-(안정적),AA- (안정적),2021.06.23,2021.06.24 ( 18 : 11 ),,,전자단기사채,,,,,
LG이노텍(주),SB,정기,41-2,1000.0,AA-(안정적),AA- (안정적),2021.06.23,2021.06.24 ( 18 : 11 ),,,전자단기사채,,,,,
LG이노텍(주),SB,정기,39-2,1000.0,AA-(안정적),AA- (안정적),2021.06.23,2021.06.24 ( 18 : 11 ),,,전자단기사채,,,,,
M캐피탈(주),FB,본,엠캐피탈283-3,600.0,,A- (안정적),2021.07.08,2021.07.08 ( 14 : 35 ),,,전자단기사채,,,,,
M캐피탈(주),FB,본,엠캐피탈283-2,100.0,,A- (안정적),2021.07.08,2021.07.08 ( 14 : 35 ),,,전자단기사채,,,,,
M캐피탈(주),FB,본,엠캐피탈283-1,100.0,,A- (안정적),2021.07.08,2021.07.08 ( 14 : 35 ),,,전자단기사채,,,,,
가온미디어(주),SB(P),정기,010,150.0,BBB-(안정적),BBB- (안정적),2021.06.23,2021.06.23 ( 17 : 11 ),,,전자단기사채,,,,,
경기주택도시공사,PFB,본,보상 21-07-02가,,,AAA (안정적),2021.07.05,2021.07.05 ( 16 : 09 ),,,전자단기사채,,,,,
(주)경남은행,FB,본,2021-07,,,AA+ (안정적),2021.06.30,2021.06.30 ( 14 : 58 ),,,전자단기사채,,,,,
고양도시관리공사,PFB,본,001,420.0,,AA (안정적),2021.06.23,2021.06.24 ( 13 : 09 ),,,전자단기사채,,,,,
(주)광주은행,FB(FRN),본,광주은행2021-7이(변)1갑9(지),500.0,,AA+ (안정적),2021.06.30,2021.06.30 ( 16 : 15 ),,,전자단기사채,,,,,
(주)광주은행,FB,본,광주은행2021-07이2갑-09(지),500.0,,AA+ (안정적),2021.06.30,2021.06.30 ( 16 : 15 ),,,전자단기사채,,,,,
(주)광주은행,FB,본,광주은행2021-07이(변)1갑-06,1500.0,,AA+ (안정적),2021.06.30,2021.06.30 ( 16 : 15 ),,,전자단기사채,,,,,
(주)국민은행,FB,본,국민은행4107이(01)1변-5,3700.0,,AAA (안정적),2021.06.30,2021.06.30 ( 14 : 58 ),,,전자단기사채,,,,,
(주)국민은행,FB(FRN),본,국민은행4107이(01)1변-13,3800.0,,AAA (안정적),2021.06.30,2021.06.30 ( 14 : 58 ),,,전자단기사채,,,,,
금강공업(주),SB,정기,046,200.0,BBB-(안정적),BBB- (안정적),2021.06.28,2021.06.28 ( 17 : 12 ),,,전자단기사채,,,,,
금호전기(주),BW,정기,031,200.0,B-(안정적),B- (부정적),2021.07.09,2021.07.09 ( 15 : 07 ),,,전자단기사채,,,,,
기아(주),SB,정기,284-3,500.0,AA(안정적),AA (안정적),2021.06.23,2021.06.24 ( 14 : 17 ),,,전자단기사채,,,,,
기아(주),SB,정기,284-2,1500.0,AA(안정적),AA (안정적),2021.06.23,2021.06.24 ( 14 : 17 ),,,전자단기사채,,,,,
기아(주),SB,정기,284-1,1000.0,AA(안정적),AA (안정적),2021.06.23,2021.06.24 ( 14 : 17 ),,,전자단기사채,,,,,
기아(주),SB,정기,283-3,700.0,AA(안정적),AA (안정적),2021.06.23,2021.06.24 ( 14 : 17 ),,,전자단기사채,,,,,
기아(주),SB,정기,283-2,500.0,AA(안정적),AA (안정적),2021.06.23,2021.06.24 ( 14 : 17 ),,,전자단기사채,,,,,
기아(주),SB,정기,283-1,4800.0,AA(안정적),AA (안정적),2021.06.23,2021.06.24 ( 14 : 17 ),,,전자단기사채,,,,,
기아(주),SB,정기,281-2,1300.0,AA(안정적),AA (안정적),2021.06.23,2021.06.24 ( 14 : 17 ),,,전자단기사채,,,,,
기아(주),SB,정기,280-2,2500.0,AA(안정적),AA (안정적),2021.06.23,2021.06.24 ( 14 : 17 ),,,전자단기사채,,,,,
(주)까스텔바작,SB(P),정기,001,100.0,BB(안정적),BB (안정적),2021.06.29,2021.06.30 ( 15 : 30 ),,,전자단기사채,,,,,
농협은행(주),FB,본,2021-07,,,AAA (안정적),2021.07.09,2021.07.09 ( 14 : 06 ),,,전자단기사채,,,,,
(주)대웅제약,SB,본,015,900.0,,A+ (안정적),2021.07.09,2021.07.09 ( 17 : 35 ),,,전자단기사채,,,,,
(주)대웅제약,SB,정기,014,1000.0,A+(안정적),A+ (안정적),2021.07.09,2021.07.09 ( 17 : 35 ),,,전자단기사채,,,,,
(주)대웅제약,SB,정기,013,1000.0,A+(안정적),A+ (안정적),2021.07.09,2021.07.09 ( 17 : 35 ),,,전자단기사채,,,,,
(주)대웅제약,SB,정기,012,900.0,A+(안정적),A+ (안정적),2021.07.09,2021.07.09 ( 17 : 35 ),,,전자단기사채,,,,,
동두천드림파워(주),SB(P),정기,10-2,100.0,A-(안정적),A- (안정적),2021.07.09,2021.07.09 ( 16 : 02 ),,,전자단기사채,,,,,
동두천드림파워(주),SB(P),정기,10-1,50.0,A-(안정적),A- (안정적),2021.07.09,2021.07.09 ( 16 : 02 ),,,전자단기사채,,,,,
동두천드림파워(주),SB(P),정기,017,200.0,A-(안정적),A- (안정적),2021.07.09,2021.07.09 ( 16 : 02 ),,,전자단기사채,,,,,
동두천드림파워(주),SB(P),정기,016,100.0,A-(안정적),A- (안정적),2021.07.09,2021.07.09 ( 16 : 02 ),,,전자단기사채,,,,,
(주)동방,SB(P),정기,101,255.0,BBB-(안정적),BBB- (안정적),2021.06.28,2021.06.29 ( 15 : 50 ),,,전자단기사채,,,,,
(주)동방,SB(P),정기,095,100.0,BBB-(안정적),BBB- (안정적),2021.06.28,2021.06.29 ( 15 : 50 ),,,전자단기사채,,,,,
두산인프라코어(주),SB,본,079,800.0,,BBB↑(없음),2021.07.15,2021.07.15 ( 15 : 48 ),,,전자단기사채,,,,,
두산인프라코어(주),SB,수시,078,600.0,BBB↑(없음),BBB↑(없음),2021.07.15,2021.07.15 ( 15 : 48 ),,,전자단기사채,,,,,
두산인프라코어(주),SB,수시,075,1760.0,BBB↑(없음),BBB↑(없음),2021.07.15,2021.07.15 ( 15 : 48 ),,,전자단기사채,,,,,
두산인프라코어(주),BW,수시,031,5000.0,BBB↑(없음),BBB↑(없음),2021.07.15,2021.07.15 ( 15 : 48 ),,,전자단기사채,,,,,
두산퓨얼셀(주)(주)두산 연대보증,SB,정기,001,990.0,BBB(부정적),BBB (부정적),2021.06.29,2021.06.29 ( 15 : 16 ),,,전자단기사채,,,,,
디엘(주)디엘이앤씨(주) 연대보증,SB,정기,264-1,1200.0,AA-(안정적),AA- (안정적),2021.06.29,2021.06.30 ( 14 : 54 ),,,전자단기사채,,,,,
디엘(주)디엘이앤씨(주) 연대보증,SB,정기,263-2,1500.0,AA-(안정적),AA- (안정적),2021.06.29,2021.06.30 ( 14 : 54 ),,,전자단기사채,,,,,
디엘(주)디엘이앤씨(주) 연대보증,SB,정기,260-2,310.0,AA-(안정적),AA- (안정적),2021.06.29,2021.06.30 ( 14 : 54 ),,,전자단기사채,,,,,
디엘(주)디엘이앤씨(주) 연대보증,SB,정기,258-2,540.0,AA-(안정적),AA- (안정적),2021.06.29,2021.06.30 ( 14 : 54 ),,,전자단기사채,,,,,
(주)디지비캐피탈,FB,본,DGB캐피탈73-4,200.0,,A+ (안정적),2021.07.14,2021.07.14 ( 15 : 39 ),,,전자단기사채,,,,,
(주)디지비캐피탈,FB,본,DGB캐피탈73-3,100.0,,A+ (안정적),2021.07.14,2021.07.14 ( 15 : 39 ),,,전자단기사채,,,,,
(주)디지비캐피탈,FB,본,DGB캐피탈73-2,600.0,,A+ (안정적),2021.07.14,2021.07.14 ( 15 : 39 ),,,전자단기사채,,,,,
(주)디지비캐피탈,FB,본,DGB캐피탈73-1,300.0,,A+ (안정적),2021.07.14,2021.07.14 ( 15 : 39 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,63-4,400.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,63-3,400.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,63-2,500.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,63-1,200.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,62-3,200.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,62-2,500.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,62-1,800.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,52-2,300.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,52-1,700.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,46-2,600.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,46-1,700.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,45-2,600.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
(주)디지비캐피탈(주)DGB금융지주 지급보증,FB,정기,44-2,500.0,AAA(안정적),AAA (안정적),2021.06.28,2021.06.28 ( 16 : 56 ),,,전자단기사채,,,,,
롯데건설(주),SB,정기,133-2,250.0,A+(안정적),A+ (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
롯데건설(주),SB,정기,133-1,1100.0,A+(안정적),A+ (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
롯데건설(주),SB,정기,132-1,1250.0,A+(안정적),A+ (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
롯데건설(주),SB,정기,131-2,1400.0,A+(안정적),A+ (안정적),2021.06.28,2021.06.29 ( 18 : 01 ),,,전자단기사채,,,,,
롯데렌탈(주),SB,정기,54-3,700.0,AA-(부정적),AA- (부정적),2021.06.30,2021.06.30 ( 18 : 00 ),,,전자단기사채,,,,,
롯데렌탈(주),SB,정기,54-2,1200.0,AA-(부정적),AA- (부정적),2021.06.30,2021.06.30 ( 18 : 00 ),,,전자단기사채,,,,,
롯데렌탈(주),SB,정기,54-1,600.0,AA-(부정적),AA- (부정적),2021.06.30,2021.06.30 ( 18 : 00 ),,,전자단기사채,,,,,
롯데렌탈(주),SB,정기,52-2,1230.0,AA-(부정적),AA- (부정적),2021.06.30,2021.06.30 ( 18 : 00 ),,,전자단기사채,,,,,
롯데렌탈(주),SB,정기,52-1,1770.0,AA-(부정적),AA- (부정적),2021.06.30,2021.06.30 ( 18 : 00 ),,,전자단기사채,,,,,
롯데렌탈(주),SB,정기,47-3,1000.0,AA-(부정적),AA- (부정적),2021.06.30,2021.06.30 ( 18 : 00 ),,,전자단기사채,,,,,
롯데렌탈(주),SB,정기,45-2,1100.0,AA-(부정적),AA- (부정적),2021.06.30,2021.06.30 ( 18 : 00 ),,,전자단기사채,,,,,
롯데쇼핑(주)롯데지주(주) 연대보증,SB,정기,73-2,1500.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데쇼핑(주)롯데지주(주) 연대보증,SB,정기,70-3,700.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데쇼핑(주)롯데지주(주) 연대보증,SB,정기,66-3,1400.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데쇼핑(주)롯데지주(주) 연대보증,SB,정기,66-2,500.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데제과(주),SB,정기,64-2,400.0,AA(안정적),AA (안정적),2021.06.28,2021.06.29 ( 15 : 50 ),,,전자단기사채,,,,,
롯데제과(주),SB,정기,64-1,800.0,AA(안정적),AA (안정적),2021.06.28,2021.06.29 ( 15 : 50 ),,,전자단기사채,,,,,
롯데제과(주)롯데지주(주) 연대보증,SB,정기,63-2,1700.0,AA(안정적),AA (안정적),2021.06.28,2021.06.29 ( 15 : 50 ),,,전자단기사채,,,,,
롯데제과(주)롯데지주(주) 연대보증,SB,정기,61-2,500.0,AA(안정적),AA (안정적),2021.06.28,2021.06.29 ( 15 : 50 ),,,전자단기사채,,,,,
롯데지주(주),SB,정기,4-3,800.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데지주(주),SB,정기,4-2,2200.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데지주(주),SB,정기,4-1,2000.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데지주(주),SB,정기,10-3,600.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데지주(주),SB,정기,10-2,1900.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데지주(주),SB,정기,10-1,1500.0,AA(안정적),AA (안정적),2021.06.22,2021.06.22 ( 16 : 13 ),,,전자단기사채,,,,,
롯데칠성음료(주)롯데지주(주) 연대보증,SB,정기,47-3,500.0,AA(안정적),AA (안정적),2021.06.28,2021.06.29 ( 13 : 50 ),,,전자단기사채,,,,,
롯데칠성음료(주)롯데지주(주) 연대보증,SB,정기,47-2,1300.0,AA(안정적),AA (안정적),2021.06.28,2021.06.29 ( 13 : 50 ),,,전자단기사채,,,,,
롯데칠성음료(주)롯데지주(주) 연대보증,SB,정기,45-3,600.0,AA(안정적),AA (안정적),2021.06.28,2021.06.29 ( 13 : 50 ),,,전자단기사채,,,,,
롯데칠성음료(주)롯데지주(주) 연대보증,SB,정기,45-2,500.0,AA(안정적),AA (안정적),2021.06.28,2021.06.29 ( 13 : 50 ),,,전자단기사채,,,,,
롯데카드(주),FB,본,442,,,AA- (안정적),2021.07.14,2021.07.14 ( 15 : 39 ),,,전자단기사채,,,,,
롯데카드(주),FB,본,441-3,200.0,,AA- (안정적),2021.06.30,2021.06.30 ( 18 : 02 ),,,전자단기사채,,,,,
롯데카드(주),FB,본,441-2,800.0,,AA- (안정적),2021.06.30,2021.06.30 ( 18 : 02 ),,,전자단기사채,,,,,
롯데카드(주),FB,본,441-1,1000.0,,AA- (안정적),2021.06.30,2021.06.30 ( 18 : 02 ),,,전자단기사채,,,,,
롯데캐피탈(주),FB,본,416-3,300.0,,AA- (안정적),2021.07.02,2021.07.02 ( 16 : 26 ),,,전자단기사채,,,,,
롯데캐피탈(주),FB,본,416-2,500.0,,AA- (안정적),2021.07.02,2021.07.02 ( 16 : 26 ),,,전자단기사채,,,,,
롯데캐피탈(주),FB,본,416-1,500.0,,AA- (안정적),2021.07.02,2021.07.02 ( 16 : 26 ),,,전자단기사채,,,,,
메가박스중앙(주),SB(P),정기,004,350.0,BBB+(부정적),BBB (안정적),2021.06.29,2021.06.30 ( 15 : 57 ),,,전자단기사채,,,,,
메가박스중앙(주),SB(P),정기,003,200.0,BBB+(부정적),BBB (안정적),2021.06.29,2021.06.30 ( 15 : 57 ),,,전자단기사채,,,,,
(주)바디프랜드,SB(P),정기,001,150.0,BBB+(안정적),BBB+ (안정적),2021.06.29,2021.06.30 ( 15 : 30 ),,,전자단기사채,,,,,
(주)부산은행,FB,본,2021-07,,,AAA (안정적),2021.06.30,2021.06.30 ( 15 : 07 ),,,전자단기사채,,,,,
(주)비보존 헬스케어,BW,정기,005,50.0,B-(안정적),B- (부정적),2021.06.24,2021.06.25 ( 15 : 12 ),,,전자단기사채,,,,,
산은캐피탈(주),FB,본,671,,,AA- (안정적),2021.07.13,2021.07.13 ( 14 : 31 ),,,전자단기사채,,,,,
산은캐피탈(주),FB,본,670-2,400.0,,AA- (안정적),2021.06.28,2021.06.28 ( 16 : 05 ),,,전자단기사채,,,,,
산은캐피탈(주),FB,본,670-1,300.0,,AA- (안정적),2021.06.28,2021.06.28 ( 16 : 05 ),,,전자단기사채,,,,,
삼보모터스(주),SB(P),정기,010,100.0,BB(안정적),BB (안정적),2021.06.29,2021.06.29 ( 18 : 04 ),,,전자단기사채,,,,,
삼성증권(주),FB,본,16-2,2700.0,,AA+ (안정적),2021.06.25,2021.06.25 ( 17 : 40 ),,,전자단기사채,,,,,
